query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
ClericalAdministrativeRegion_left.csv,title,Latin Patriarch of Jerusalem,ClericalAdministrativeRegion_right.csv,title,Latin Patriarchate of Jerusalem,0.7479
ClericalAdministrativeRegion_left.csv,title,Anglican Diocese of New Westminster,ClericalAdministrativeRegion_right.csv,title,Diocese of New Westminster,0.7479
ClericalAdministrativeRegion_left.csv,title,Diocese in Europe,ClericalAdministrativeRegion_right.csv,title,Diocese of Gibraltar in Europe,0.7479
ClericalAdministrativeRegion_left.csv,title,Patriarchate of Lisbon,ClericalAdministrativeRegion_right.csv,title,Patriarch of Lisbon,0.7479
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Kontum,ClericalAdministrativeRegion_right.csv,title,Roman Catholic Diocese of Kon Tum,0.7479
ClericalAdministrativeRegion_left.csv,title,Syro-Malabar Catholic Archdiocese of Changanassery,ClericalAdministrativeRegion_right.csv,title,Syro-Malabar Catholic Archeparchy of Changanassery,0.7479
ClericalAdministrativeRegion_left.csv,title,Syro-Malabar Catholic Archdiocese of Ernakulam-Angamaly,ClericalAdministrativeRegion_right.csv,title,Syro-Malabar Catholic Major Archeparchy of Ernakulam-Angamaly,0.7479
ClericalAdministrativeRegion_left.csv,title,Anglican Diocese of Niassa,ClericalAdministrativeRegion_right.csv,title,Diocese of Niassa,0.7479
ClericalAdministrativeRegion_left.csv,title,St. Thomas Syro-Malabar Catholic Diocese of Chicago,ClericalAdministrativeRegion_right.csv,title,Syro-Malabar Catholic Eparchy of St. Thomas of Chicago,0.7479
ClericalAdministrativeRegion_left.csv,title,St. Thomas Syro-Malabar Catholic Diocese of Chicago,ClericalAdministrativeRegion_right.csv,title,St. Thomas Syro-Malabar Catholic Eparchy of Chicago,0.7479
ClericalAdministrativeRegion_left.csv,title,Zahle and Forzol,ClericalAdministrativeRegion_right.csv,title,Melkite Greek Catholic Archeparchy of Zahle and Forzol,0.7479
ClericalAdministrativeRegion_left.csv,title,Diocese of Eastern Newfoundland and Labrador,ClericalAdministrativeRegion_right.csv,title,Anglican Diocese of Eastern Newfoundland and Labrador,0.7479
ClericalAdministrativeRegion_left.csv,title,Diocese of Central Newfoundland,ClericalAdministrativeRegion_right.csv,title,Anglican Diocese of Central Newfoundland,0.7479
ClericalAdministrativeRegion_left.csv,title,Diocese of Western Newfoundland,ClericalAdministrativeRegion_right.csv,title,Anglican Diocese of Western Newfoundland,0.7479
ClericalAdministrativeRegion_left.csv,title,Diocese of Nova Scotia and Prince Edward Island,ClericalAdministrativeRegion_right.csv,title,Anglican Diocese of Nova Scotia and Prince Edward Island,0.7479
ClericalAdministrativeRegion_left.csv,title,Diocese of Ripon and Leeds,ClericalAdministrativeRegion_right.csv,title,Diocese of Ripon,0.7479
ClericalAdministrativeRegion_left.csv,title,Diocese of Niagara,ClericalAdministrativeRegion_right.csv,title,Anglican Diocese of Niagara,0.7479
ClericalAdministrativeRegion_left.csv,title,Diocese of Qu'Appelle,ClericalAdministrativeRegion_right.csv,title,Anglican Diocese of Qu'Appelle,0.7479
ClericalAdministrativeRegion_left.csv,title,Ukrainian Catholic Eparchy of Saints Peter and Paul,ClericalAdministrativeRegion_right.csv,title,Ukrainian Catholic Eparchy of Saints Peter and Paul of Melbourne,0.7479
ClericalAdministrativeRegion_left.csv,title,Anglican Diocese of Jos,ClericalAdministrativeRegion_right.csv,title,Diocese of Jos,0.7479
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Makurdi,ClericalAdministrativeRegion_right.csv,title,Diocese of Makurdi,0.7479
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Yola,ClericalAdministrativeRegion_right.csv,title,Diocese of Yola,0.7479
ClericalAdministrativeRegion_left.csv,title,Syro-Malabar Catholic Archdiocese of Tellicherry,ClericalAdministrativeRegion_right.csv,title,Syro-Malabar Catholic Archeparchy of Tellicherry,0.7479
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Archdiocese of Valencia,ClericalAdministrativeRegion_right.csv,title,Roman Catholic Archdiocese of Valencia in Spain,0.7479
ClericalAdministrativeRegion_left.csv,title,Episcopal Diocese of Minnesota,ClericalAdministrativeRegion_right.csv,title,Episcopal Church in Minnesota,0.7479
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Archdiocese of Kingston,ClericalAdministrativeRegion_right.csv,title,Roman Catholic Archdiocese of Kingston in Canada,0.7479
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Vicariate Apostolic of Southern Arabia,ClericalAdministrativeRegion_right.csv,title,Apostolic Vicariate of Southern Arabia,0.7479
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Vicariate Apostolic of Iles Saint Pierre and Miquelon,ClericalAdministrativeRegion_right.csv,title,Apostolic Vicariate of Iles Saint Pierre and Miquelon,0.7479
ClericalAdministrativeRegion_left.csv,title,Anglican Diocese of Namibia,ClericalAdministrativeRegion_right.csv,title,Diocese of Namibia,0.7479
