query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
ClericalAdministrativeRegion_left.csv,title,Anglican Diocese of Angola,Country_left.csv,title,Angola,0.5484
ClericalAdministrativeRegion_left.csv,title,Apostolic Administration of Southern Albania,Country_left.csv,title,Albania,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Belgium,Country_left.csv,title,Belgium,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Brazil,Country_left.csv,title,Brazil,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Archdiocese of Benin City,Country_left.csv,title,Benin,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Belize City-Belmopan,Country_left.csv,title,Belize,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Hamilton in Bermuda,Country_left.csv,title,Bermuda,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Bishopric of Bolivia,Country_left.csv,title,Bolivia,0.5484
ClericalAdministrativeRegion_left.csv,title,Apostolic Vicariate of Brunei Darussalam,Country_left.csv,title,Brunei,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Bishopric of Colombia,Country_left.csv,title,Colombia,0.5484
ClericalAdministrativeRegion_left.csv,title,Apostolic Exarchate in the Czech Republic,Country_left.csv,title,Czech Republic,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Bishopric of Chile,Country_left.csv,title,Chile,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Cartago in Costa Rica,Country_left.csv,title,Costa Rica,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Croatia,Country_left.csv,title,Croatia,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Bishopric of the Dominican Republic,Country_left.csv,title,Dominican Republic,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Bishopric of Ecuador,Country_left.csv,title,Ecuador,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of San Miguel (El Salvador),Country_left.csv,title,El Salvador,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Germany,Country_left.csv,title,Germany,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Hungary,Country_left.csv,title,Hungary,0.5484
ClericalAdministrativeRegion_left.csv,title,Episcopal Diocese of Haiti,Country_left.csv,title,Haiti,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Trujillo (Honduras),Country_left.csv,title,Honduras,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Hong Kong,Country_left.csv,title,Hong Kong,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate in Italy,Country_left.csv,title,Italy,0.5484
ClericalAdministrativeRegion_left.csv,title,Jaffna Diocese of the Church of South India,Country_left.csv,title,India,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Indonesia,Country_left.csv,title,Indonesia,0.5484
ClericalAdministrativeRegion_left.csv,title,Anglican Diocese of Iran,Country_left.csv,title,Iran,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Archdiocese of Kingston in Jamaica,Country_left.csv,title,Jamaica,0.5484
ClericalAdministrativeRegion_left.csv,title,Episcopal Diocese of New Jersey,Country_left.csv,title,Jersey,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Archdiocese of Luxembourg,Country_left.csv,title,Luxembourg,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Lithuania,Country_left.csv,title,Lithuania,0.5484
ClericalAdministrativeRegion_left.csv,title,Diocese of Lesotho,Country_left.csv,title,Lesotho,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Macau,Country_left.csv,title,Macau,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Apostolic Prefecture of the Marshall Islands,Country_left.csv,title,Marshall Islands,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Archdiocese of Malta,Country_left.csv,title,Malta,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Archdiocese of Monaco,Country_left.csv,title,Monaco,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Montenegro,Country_left.csv,title,Montenegro,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of the Netherlands,Country_left.csv,title,Netherlands,0.5484
ClericalAdministrativeRegion_left.csv,title,Anglican Diocese of Namibia,Country_left.csv,title,Namibia,0.5484
ClericalAdministrativeRegion_left.csv,title,Diocese of Caledonia,Country_left.csv,title,New Caledonia,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Poland,Country_left.csv,title,Poland,0.5484
ClericalAdministrativeRegion_left.csv,title,Episcopal Diocese of Puerto Rico,Country_left.csv,title,Puerto Rico,0.5484
ClericalAdministrativeRegion_left.csv,title,"Roman Catholic Diocese of Porto, Portugal",Country_left.csv,title,Portugal,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Hyderabad in Pakistan,Country_left.csv,title,Pakistan,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Bishopric of Paraguay,Country_left.csv,title,Paraguay,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of the Philippines,Country_left.csv,title,Philippines,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Diocese of Vallo della Lucania,Country_left.csv,title,Romania,0.5484
ClericalAdministrativeRegion_left.csv,title,Episcopal Diocese of Taiwan,Country_left.csv,title,Taiwan,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Bishopric of the Dominican Republic,Country_left.csv,title,Roman Republic,0.5484
ClericalAdministrativeRegion_left.csv,title,Roman Catholic Archdiocese of Port of Spain,Country_left.csv,title,Spain,0.5484
ClericalAdministrativeRegion_left.csv,title,Military Ordinariate of Slovakia,Country_left.csv,title,Slovakia,0.5484
