query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Country_left.csv,title,Elymais,Monarch_left.csv,title,Emperor Seiwa,0.7415
Country_left.csv,title,Sparta,Monarch_left.csv,title,Asparukh of Bulgaria,0.7415
Country_left.csv,title,Russia,Monarch_left.csv,title,Josiah,0.7415
Country_left.csv,title,Armenia,Monarch_left.csv,title,Agesipolis I,0.7415
Country_left.csv,title,Allied-occupied Germany,Monarch_left.csv,title,Al-Adil I,0.7415
Country_left.csv,title,Oman,Monarch_left.csv,title,Thomas Palaiologos,0.7415
Country_left.csv,title,Albania,Monarch_left.csv,title,Ahmad Alaq,0.7415
Country_left.csv,title,Kummuh,Monarch_left.csv,title,"Yusuf II, Almohad Caliph",0.7415
Country_left.csv,title,Kushan Empire,Monarch_left.csv,title,Suleyman Shah,0.7415
Country_left.csv,title,Russia,Monarch_left.csv,title,Ramsingh I,0.7415
Country_left.csv,title,Fatimid Caliphate,Monarch_left.csv,title,Azarmidokht,0.7415
Country_left.csv,title,Tamilakam,Monarch_left.csv,title,Ahmose-Henuttamehu,0.7415
Country_left.csv,title,Roman Republic,Monarch_left.csv,title,Man Singh Tomar,0.7415
Country_left.csv,title,Qin Dynasty,Monarch_left.csv,title,Henutwati,0.7415
