query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Enzyme_left.csv,title,Subtilisin,Drug_left.csv,title,Lidocaine,0.6781
Enzyme_left.csv,title,Actinidain,Drug_left.csv,title,Dextrorphan,0.6781
Enzyme_left.csv,title,Glycogenin,Drug_left.csv,title,Cethromycin,0.6781
Enzyme_left.csv,title,Actinidain,Drug_left.csv,title,2C-YN,0.6781
Enzyme_left.csv,title,Actinidain,Drug_left.csv,title,Balofloxacin,0.6781
Enzyme_left.csv,title,5-alpha reductase,Drug_left.csv,title,Alpha-Methylserotonin,0.6781
Enzyme_left.csv,title,Lysin,Drug_left.csv,title,Panuramine,0.6781
Enzyme_left.csv,title,Lysin,Drug_left.csv,title,Cyanodothiepin,0.6781
Enzyme_left.csv,title,Aconitase,Drug_left.csv,title,Apixaban,0.6781
Enzyme_left.csv,title,Precorrin-2 dehydrogenase,Drug_left.csv,title,PRT064445,0.6781
