query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,1998 African Cup of Nations,0.7106
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,1998 UEFA European Under-21 Football Championship,0.7106
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,Umbro Cup,0.7106
FootballMatch_left.csv,title,1999 Heineken Cup Final,SoccerTournament_left.csv,title,1999 COSAFA Cup,0.7106
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,1998 COSAFA Cup,0.7106
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,1998 African Women's Championship,0.7106
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,1998 Caribbean Cup,0.7106
FootballMatch_left.csv,title,1998 Intercontinental Cup,SoccerTournament_left.csv,title,1998 Commonwealth of Independent States Cup,0.7106
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,1998 Baltic Cup,0.7106
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,1998 Copa CONMEBOL,0.7106
FootballMatch_left.csv,title,1998 UEFA Super Cup,SoccerTournament_left.csv,title,1998 Euro Beach Soccer Cup,0.7106
FootballMatch_left.csv,title,2014 FIFA World Cup Final,SoccerTournament_left.csv,title,2014 CFU Club Championship,0.7106
