query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Race_left.csv,title,Appalachian Stakes,SportsLeague_left.csv,title,Appalachian League,0.6067
Race_left.csv,title,North America Cup,SportsLeague_left.csv,title,America's Cup,0.6067
Race_left.csv,title,Commonwealth Stakes,SportsLeague_left.csv,title,Commonwealth Bank Trophy,0.6067
Race_left.csv,title,Tour of Japan,SportsLeague_left.csv,title,LPGA of Japan Tour,0.6067
Race_left.csv,title,La Coupe,SportsLeague_left.csv,title,Coupe de la Jeunesse,0.6067
Race_left.csv,title,Cathay Pacific Gold Cup,SportsLeague_left.csv,title,Pacific Cup,0.6067
Race_left.csv,title,Australian Cup,SportsLeague_left.csv,title,Australian Football International Cup,0.6067
Race_left.csv,title,Singapore Gold Cup,SportsLeague_left.csv,title,Singapore Cup,0.6067
Race_left.csv,title,Leicestershire Stakes,SportsLeague_left.csv,title,Leicestershire Senior League,0.6067
Race_left.csv,title,Welsh National,SportsLeague_left.csv,title,Welsh National League (Wrexham Area),0.6067
Race_left.csv,title,North America Cup,SportsLeague_left.csv,title,North America 4,0.6067
Race_left.csv,title,All American Stakes,SportsLeague_left.csv,title,All American Football League,0.6067
Race_left.csv,title,Euro-Cup,SportsLeague_left.csv,title,FIBA EuroCup Challenge,0.6067
Race_left.csv,title,Pan American Stakes,SportsLeague_left.csv,title,PARA Pan American Championship,0.6067
Race_left.csv,title,SAJC Queen's Cup,SportsLeague_left.csv,title,Queen's Cup,0.6067
Race_left.csv,title,Euro-Cup,SportsLeague_left.csv,title,EuroCup Women,0.6067
Race_left.csv,title,Grosser Preis der Freien Hansestadt Bremen,SportsLeague_left.csv,title,Bremen,0.6067
Race_left.csv,title,New York Stakes,SportsLeague_left.csv,title,New York State League,0.6067
Race_left.csv,title,World Trophy,SportsLeague_left.csv,title,IRB Junior World Rugby Trophy,0.6067
Race_left.csv,title,Charles Town Classic,SportsLeague_left.csv,title,Charleston Classic,0.6067
Race_left.csv,title,Sussex Stakes,SportsLeague_left.csv,title,Sussex Spitfire 1,0.6067
Race_left.csv,title,National Competition of Horsemen,SportsLeague_left.csv,title,National Competition,0.6067
Race_left.csv,title,La Coupe,SportsLeague_left.csv,title,Coupe de la Ligue (ice hockey),0.6067
Race_left.csv,title,Liberty Classic,SportsLeague_left.csv,title,Liberty Bell Classic (baseball),0.6067
Race_left.csv,title,Pan American Stakes,SportsLeague_left.csv,title,Pan American Junior Championship,0.6067
