query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Song_left.csv,title,"Matthew, Mark, Luke and John",GivenName_left.csv,title,Luke,0.597
Song_left.csv,title,Howard's Tale,GivenName_left.csv,title,Howard,0.597
Song_left.csv,title,Charles Guiteau (song),GivenName_left.csv,title,Charles,0.597
Song_left.csv,title,Chloe Dancer/Crown of Thorns,GivenName_left.csv,title,Chloe,0.597
Song_left.csv,title,Catherine (song),GivenName_left.csv,title,Catherine,0.597
Song_left.csv,title,Astronomy Domine,GivenName_left.csv,title,Dominic,0.597
Song_left.csv,title,Edward The Bear,GivenName_left.csv,title,Edward,0.597
Song_left.csv,title,Stephen (song),GivenName_left.csv,title,Stephen,0.597
Song_left.csv,title,Melancolie,GivenName_left.csv,title,Melanie,0.597
Song_left.csv,title,Anywhere I Wander,GivenName_left.csv,title,Anders,0.597
Song_left.csv,title,Jack and Jill (nursery rhyme),GivenName_left.csv,title,Jill,0.597
Song_left.csv,title,Lucy Locket,GivenName_left.csv,title,Lucy,0.597
Song_left.csv,title,Kempy Kay,GivenName_left.csv,title,Kay,0.597
Song_left.csv,title,Soy de San Luis,GivenName_left.csv,title,Luis,0.597
Song_left.csv,title,Mary Ann (song),GivenName_left.csv,title,Anne,0.597
Song_left.csv,title,When Joanna Loved Me,GivenName_left.csv,title,Joanna,0.597
Song_left.csv,title,Prince Robert,GivenName_left.csv,title,Robert,0.597
Song_left.csv,title,Bonnie Annie,GivenName_left.csv,title,Bonnie,0.597
Song_left.csv,title,Wendy (song),GivenName_left.csv,title,Wendy,0.597
Song_left.csv,title,Amanece,GivenName_left.csv,title,Amane,0.597
Song_left.csv,title,Richard Cory (song),GivenName_left.csv,title,Richard,0.597
Song_left.csv,title,Julianne (song),GivenName_left.csv,title,Julian,0.597
Song_left.csv,title,Lady Isabel and the Elf Knight,GivenName_left.csv,title,Isabel,0.597
Song_left.csv,title,Dinata,GivenName_left.csv,title,Dina,0.597
Song_left.csv,title,Fernando en Filippo,GivenName_left.csv,title,Fernando,0.597
Song_left.csv,title,Mere Sapno Ki Rani,GivenName_left.csv,title,Rani,0.597
Song_left.csv,title,Sheila Ki Jawani,GivenName_left.csv,title,Sheila,0.597
Song_left.csv,title,Ben Adam,GivenName_left.csv,title,Ben,0.597
Song_left.csv,title,Jacky (Jacques Brel song),GivenName_left.csv,title,Jacques,0.597
Song_left.csv,title,Samantha (Hole song),GivenName_left.csv,title,Samantha,0.597
Song_left.csv,title,Brodovi,GivenName_left.csv,title,Brodie,0.597
Song_left.csv,title,Maahi,GivenName_left.csv,title,Masashi,0.597
Song_left.csv,title,Show Me Your Love (Tina Karol song),GivenName_left.csv,title,Karol,0.597
Song_left.csv,title,Gwendolyne,GivenName_left.csv,title,Gwendolyn,0.597
Song_left.csv,title,Brian Song,GivenName_left.csv,title,Brian,0.597
Song_left.csv,title,Visions of Johanna,GivenName_left.csv,title,Johanna,0.597
