candidate_table,candidate_column,similarity_score
Wrestler_right,title,0.5267547369003296
ChristianBishop_right,title,0.5021823644638062
MemberOfParliament_left,title,0.4938720166683197
MemberOfParliament_right,title,0.4911109507083893
ChristianBishop_left,title,0.48360535502433777
GivenName_left,title,0.4827367663383484
GivenName_right,title,0.4823036193847656
Noble_left,title,0.47798073291778564
Race_right,title,0.4759555160999298
Monarch_left,title,0.4753614664077759
Race_left,title,0.47415629029273987
BasketballTeam_left,title,0.47019702196121216
EthnicGroup_left,title,0.46846532821655273
Award_left,title,0.4667913019657135
TelevisionStation_left,title,0.46608737111091614
Tournament_left,title,0.46598416566848755
BasketballTeam_right,title,0.46590933203697205
SportFacility_left,title,0.4658776521682739
Noble_right,title,0.46559804677963257
Stadium_left,title,0.46525365114212036
EthnicGroup_right,title,0.4649023711681366
Song_left,title,0.4648929834365845
Magazine_left,title,0.463979035615921
Magazine_right,title,0.4638076424598694
RailwayLine_left,title,0.4629768431186676
Device_right,title,0.4617263376712799
Artwork_left,title,0.4616049528121948
Country_left,title,0.4606062173843384
Tournament_right,title,0.4602885842323303
Reptile_left,title,0.460216760635376
Venue_left,title,0.45973238348960876
Device_left,title,0.4593769311904907
Monarch_right,title,0.45869943499565125
RugbyLeague_left,title,0.4586024880409241
Reptile_right,title,0.45832112431526184
Award_right,title,0.4572867155075073
SportsLeague_left,title,0.456841379404068
TelevisionStation_right,title,0.4566092789173126
SoccerLeague_left,title,0.45510610938072205
Song_right,title,0.4541224539279938
Museum_left,title,0.454098105430603
RailwayLine_right,title,0.4535098075866699
Country_right,title,0.45316970348358154
Amphibian_left,title,0.45248910784721375
PoliticalParty_left,title,0.4517025053501129
HistoricBuilding_left,title,0.4513171315193176
SportFacility_right,title,0.45071834325790405
Amphibian_right,title,0.4498741030693054
Stadium_right,title,0.4498039186000824
Artwork_right,title,0.4484308362007141
