candidate_table,candidate_column,similarity_score
SoccerTournament_right,title,0.6115484085519743
FootballMatch_left,title,0.5587640318739281
Tournament_right,title,0.5481505349408641
FootballLeagueSeason_right,title,0.5392775998459993
TennisTournament_left,title,0.532671229703716
SoccerLeague_right,title,0.5274156336231763
SportsLeague_right,title,0.5246622911784441
FootballMatch_right,title,0.5179363521277053
SoccerClubSeason_right,title,0.5170586605148961
FootballLeagueSeason_left,title,0.515917188291251
SoccerClubSeason_left,title,0.5144041186318482
MotorsportSeason_right,title,0.5129176566356114
RugbyLeague_right,title,0.5127768437657622
SoccerLeague_left,title,0.512448996600813
MotorsportSeason_left,title,0.5118972217324705
RugbyLeague_left,title,0.5060744620065104
TennisTournament_right,title,0.5022317643868818
Tournament_left,title,0.49938970283689676
SportsLeague_left,title,0.49254450255805815
NationalFootballLeagueSeason_left,title,0.4881497656476637
NCAATeamSeason_left,title,0.4804912353545377
Race_right,title,0.46224299742451314
BasketballTeam_right,title,0.45469229538628825
Award_right,title,0.454149429221854
NCAATeamSeason_right,title,0.4523131227590319
Award_left,title,0.4490444320455659
Election_right,title,0.4478689870950863
Election_left,title,0.44775864482864786
Race_left,title,0.4451319488373365
Stadium_right,title,0.4389618468942128
BasketballTeam_left,title,0.43750716600057127
Drug_right,id,0.4366606795441457
Monarch_left,id,0.4364034511800762
GivenName_right,id,0.43634264035674425
NationalFootballLeagueSeason_left,id,0.4360117558501772
Country_left,id,0.43598492233273206
Race_right,id,0.4353701430269592
BasketballTeam_right,id,0.43536909121951534
ShoppingMall_left,id,0.43530231140951936
TelevisionStation_right,title,0.4352061060277935
SportFacility_right,title,0.4351194097827539
Legislature_right,id,0.4349339043153327
ShoppingMall_right,id,0.43475934065031463
ClericalAdministrativeRegion_right,id,0.4346007206856893
SoccerLeague_right,id,0.4342552334568379
Monarch_right,id,0.4342552334568379
Magazine_right,id,0.4342029707590868
UnitOfWork_left,id,0.43415360058173175
FootballLeagueSeason_right,id,0.4341160671993984
TelevisionStation_left,title,0.43409939480368726
