candidate_table,candidate_column,similarity_score
NationalFootballLeagueSeason_left,title,0.6492887735366821
FootballLeagueSeason_right,title,0.6406608819961548
NationalFootballLeagueSeason_right,title,0.6148500442504883
SoccerClubSeason_right,title,0.5736280679702759
SoccerClubSeason_left,title,0.565811038017273
SoccerLeague_right,title,0.5651769638061523
MotorsportSeason_right,title,0.5471537709236145
TennisTournament_right,title,0.5468291640281677
MotorsportSeason_left,title,0.5418424010276794
NCAATeamSeason_right,title,0.5374408960342407
SoccerTournament_right,title,0.5346810221672058
SoccerLeague_left,title,0.533017098903656
SoccerTournament_left,title,0.5297424793243408
FootballMatch_left,title,0.5285216569900513
SportsLeague_right,title,0.5280683040618896
TennisTournament_left,title,0.5278257131576538
NCAATeamSeason_left,title,0.5260496735572815
FootballMatch_right,title,0.5201237797737122
Tournament_right,title,0.5071115493774414
RugbyLeague_right,title,0.5063703060150146
SportsLeague_left,title,0.5044744610786438
RugbyLeague_left,title,0.4989834427833557
Race_right,title,0.49630916118621826
Election_right,title,0.49531814455986023
Hospital_left,id,0.4895974099636078
Award_left,id,0.4894126057624817
Tournament_left,title,0.489056795835495
Drug_left,id,0.4872925877571106
ChristianBishop_left,id,0.4872925877571106
Monarch_left,id,0.4872571527957916
RailwayLine_left,id,0.4871389865875244
SoccerTournament_left,id,0.487015962600708
UnitOfWork_left,id,0.4868467450141907
Country_left,id,0.48662060499191284
Enzyme_left,id,0.4865609109401703
Case_left,id,0.4860183596611023
SportsLeague_left,id,0.4857860803604126
Artwork_left,id,0.4857860803604126
NationalFootballLeagueSeason_left,id,0.48556387424468994
ClericalAdministrativeRegion_left,id,0.48541373014450073
Race_left,id,0.4851551651954651
Magazine_left,id,0.48514240980148315
GovernmentAgency_left,id,0.4850577116012573
Museum_left,id,0.4850577116012573
GivenName_left,id,0.4848198890686035
GovernmentAgency_right,id,0.48479217290878296
FootballMatch_left,id,0.48477405309677124
Wrestler_left,id,0.484666109085083
Drug_right,id,0.48457255959510803
NCAATeamSeason_left,id,0.48447632789611816
