candidate_table,candidate_column,similarity_score
ClericalAdministrativeRegion_right,title,0.6495331525802612
HistoricBuilding_right,title,0.4991532266139984
HistoricBuilding_left,title,0.4784829020500183
Legislature_right,title,0.4781755208969116
Legislature_left,title,0.46955442428588867
Country_right,title,0.4530883729457855
EthnicGroup_right,title,0.4509008824825287
Country_left,title,0.4508671164512634
ChristianBishop_right,title,0.4492265582084656
EthnicGroup_left,title,0.44867628812789917
Hospital_right,title,0.44861483573913574
ChristianBishop_left,title,0.4433341324329376
PoliticalParty_right,title,0.4417803883552551
Hospital_left,title,0.437842458486557
NationalFootballLeagueSeason_right,id,0.4370248019695282
GivenName_left,title,0.4367339015007019
TennisTournament_right,id,0.4357669949531555
NaturalEvent_right,title,0.43571141362190247
Election_right,title,0.4356589913368225
RailwayLine_left,title,0.4355197846889496
Monarch_left,title,0.43548011779785156
BasketballTeam_right,title,0.4352624714374542
RugbyLeague_right,id,0.43403470516204834
NCAATeamSeason_right,id,0.4336931109428406
Enzyme_right,id,0.43356120586395264
SoccerClubSeason_right,id,0.43352001905441284
NaturalEvent_right,id,0.43352001905441284
Galaxy_right,id,0.433502197265625
PoliticalParty_left,title,0.43332287669181824
FootballMatch_right,id,0.4332759976387024
SportsLeague_left,id,0.4332551062107086
Artwork_left,id,0.4332551062107086
Hospital_left,id,0.43318602442741394
Election_left,title,0.43299829959869385
HistoricBuilding_left,id,0.4323236644268036
GivenName_right,title,0.4322853684425354
HistoricBuilding_right,id,0.4322800636291504
ArtificialSatellite_left,id,0.4320998191833496
Stadium_left,id,0.4319370985031128
MotorsportSeason_left,id,0.43178412318229675
Amphibian_left,id,0.43178075551986694
MemberOfParliament_left,id,0.43176841735839844
GovernmentAgency_left,title,0.4316989779472351
ShoppingMall_right,title,0.43168991804122925
ShoppingMall_left,title,0.43163585662841797
GivenName_left,id,0.43160465359687805
BasketballTeam_left,id,0.43149733543395996
NationalFootballLeagueSeason_left,id,0.4314478635787964
Wrestler_left,id,0.43136632442474365
Museum_left,id,0.43133997917175293
