candidate_table,candidate_column,similarity_score
NationalFootballLeagueSeason_left,title,0.6978291273117065
FootballLeagueSeason_right,title,0.658558189868927
SoccerLeague_right,title,0.6070235967636108
SoccerLeague_left,title,0.6008936762809753
SoccerClubSeason_right,title,0.5989616513252258
NationalFootballLeagueSeason_right,title,0.5970187187194824
SoccerClubSeason_left,title,0.5897559523582458
TennisTournament_right,title,0.5769093632698059
SportsLeague_right,title,0.574036717414856
FootballMatch_left,title,0.5718725919723511
SoccerTournament_right,title,0.5691997408866882
MotorsportSeason_right,title,0.5657348036766052
SoccerTournament_left,title,0.5654841065406799
TennisTournament_left,title,0.5631991624832153
MotorsportSeason_left,title,0.5606955885887146
Tournament_right,title,0.5580570697784424
SportsLeague_left,title,0.5573668479919434
NCAATeamSeason_left,id,0.5523447394371033
NCAATeamSeason_left,title,0.546940267086029
FootballMatch_right,title,0.5462149977684021
Device_left,id,0.5436283349990845
RailwayLine_left,id,0.5436223745346069
RugbyLeague_left,title,0.5423987507820129
Monarch_left,id,0.5420072078704834
Race_left,id,0.541495680809021
ArtificialSatellite_left,id,0.5408852100372314
NationalFootballLeagueSeason_left,id,0.5408730506896973
Award_left,id,0.539074182510376
RugbyLeague_right,title,0.5382584929466248
SportsLeague_left,id,0.5380692481994629
Artwork_left,id,0.5380692481994629
Country_left,id,0.5379917621612549
SoccerTournament_left,id,0.5379917621612549
NCAATeamSeason_right,title,0.5358795523643494
UnitOfWork_left,id,0.5351203083992004
GivenName_left,id,0.5335972309112549
ChristianBishop_left,id,0.5320624113082886
Drug_left,id,0.5320624113082886
Magazine_left,id,0.5312759876251221
SportFacility_left,id,0.5310793519020081
EthnicGroup_left,id,0.5301387906074524
Election_left,id,0.5294260382652283
Hospital_left,id,0.5293756723403931
MemberOfParliament_left,id,0.529334545135498
Case_left,id,0.5290557146072388
TelevisionStation_left,id,0.528985857963562
Wrestler_left,id,0.5286415815353394
Enzyme_left,id,0.5286355018615723
HistoricBuilding_left,id,0.5284334421157837
PoliticalParty_left,id,0.5265927314758301
