candidate_table,candidate_column,similarity_score
SoccerTournament_left,title,0.5996290445327759
SoccerTournament_right,title,0.5906371474266052
Tournament_right,title,0.5873124599456787
TennisTournament_left,title,0.5866491198539734
TennisTournament_right,title,0.5628401786088943
FootballMatch_left,title,0.5413222014904022
SportsLeague_right,title,0.5344267189502716
SoccerLeague_right,title,0.5320931375026703
RugbyLeague_right,title,0.5252044349908829
FootballLeagueSeason_right,title,0.5250445455312729
RugbyLeague_left,title,0.5245316028594971
SoccerLeague_left,title,0.5219693779945374
MotorsportSeason_right,title,0.518125370144844
SportsLeague_left,title,0.5157168656587601
MotorsportSeason_left,title,0.515196830034256
FootballLeagueSeason_left,title,0.5138750821352005
FootballMatch_right,title,0.5077268183231354
SoccerClubSeason_left,title,0.5047434419393539
Race_right,title,0.5015034675598145
SoccerClubSeason_right,title,0.49866487085819244
NationalFootballLeagueSeason_left,title,0.4962395578622818
Race_left,title,0.4822796881198883
NCAATeamSeason_left,title,0.47692061960697174
BasketballTeam_right,title,0.4759412109851837
Award_left,title,0.4732745736837387
Award_right,title,0.4724358767271042
SportFacility_right,title,0.4689929336309433
BasketballTeam_left,title,0.46795542538166046
Stadium_right,title,0.4678696393966675
TelevisionStation_left,title,0.4671848863363266
Venue_right,title,0.4633084684610367
TelevisionStation_right,title,0.4597651958465576
Magazine_right,title,0.45803841948509216
Wrestler_right,title,0.4576297551393509
GivenName_right,id,0.4575599730014801
Stadium_left,title,0.4571886211633682
Drug_right,id,0.4570145606994629
SportFacility_left,title,0.4567026346921921
ClericalAdministrativeRegion_right,id,0.456402912735939
RailwayLine_left,title,0.45630741119384766
Race_right,id,0.45605163276195526
Legislature_right,id,0.4559854716062546
ShoppingMall_left,id,0.45594318211078644
BasketballTeam_right,id,0.4557003080844879
ShoppingMall_right,id,0.4556680917739868
SoccerLeague_right,id,0.4555687755346298
Monarch_right,id,0.45556876063346863
Artwork_right,id,0.45510008931159973
Election_left,title,0.45509791374206543
SoccerTournament_right,id,0.4547932296991348
