candidate_table,candidate_column,similarity_score
NationalFootballLeagueSeason_left,title,0.5843929648399353
FootballLeagueSeason_left,title,0.5427783727645874
FootballLeagueSeason_right,title,0.5029425024986267
NCAATeamSeason_left,title,0.4839814305305481
SoccerClubSeason_left,title,0.4834253787994385
MotorsportSeason_left,title,0.46652886271476746
SoccerClubSeason_right,title,0.4634230434894562
Award_left,title,0.44224417209625244
SoccerTournament_right,title,0.44109442830085754
FootballMatch_left,title,0.43500179052352905
MotorsportSeason_right,title,0.43229639530181885
SportsLeague_left,title,0.4308348596096039
SoccerLeague_left,title,0.430781751871109
Tournament_left,title,0.4301490783691406
TennisTournament_left,title,0.42989280819892883
NCAATeamSeason_right,title,0.42956748604774475
SoccerTournament_left,title,0.42952272295951843
Tournament_right,title,0.4256649613380432
SoccerLeague_right,title,0.4246205687522888
BasketballTeam_left,title,0.42388927936553955
BasketballTeam_right,title,0.4205738604068756
SportsLeague_right,title,0.42001107335090637
Wrestler_right,title,0.41881000995635986
RugbyLeague_left,title,0.41775643825531006
NationalFootballLeagueSeason_right,title,0.41189369559288025
RailwayLine_left,title,0.4115216135978699
Election_left,title,0.40827876329421997
Venue_left,title,0.40769532322883606
Race_right,title,0.40531688928604126
Wrestler_left,title,0.4046516418457031
ChristianBishop_right,title,0.4031021296977997
SportFacility_right,title,0.4030858874320984
Magazine_right,title,0.4002957344055176
FootballMatch_right,title,0.39997541904449463
Election_right,title,0.3998256027698517
TelevisionStation_right,title,0.3989085853099823
RailwayLine_right,title,0.3986978232860565
Song_left,title,0.3978329300880432
Artwork_left,title,0.39708778262138367
Stadium_right,title,0.3969751000404358
Race_left,title,0.3964857757091522
MemberOfParliament_right,title,0.39623939990997314
TennisTournament_right,title,0.3960423767566681
TelevisionStation_left,title,0.39543667435646057
ChristianBishop_left,title,0.3920181095600128
Device_left,title,0.3912680447101593
Device_right,title,0.3912096321582794
GovernmentAgency_left,title,0.3905979096889496
MemberOfParliament_left,title,0.3903501629829407
Venue_right,title,0.3879038095474243
