candidate_table,candidate_column,similarity_score
Drug_right,title,0.568699300289154
Drug_left,title,0.5627429485321045
Enzyme_left,title,0.5187711715698242
Country_left,title,0.4767612814903259
Amphibian_left,title,0.4712909460067749
GivenName_left,title,0.47031164169311523
Reptile_left,title,0.4700622856616974
ArtificialSatellite_left,title,0.469061940908432
Device_right,title,0.4596625864505768
Enzyme_right,title,0.4586482644081116
Monarch_left,title,0.4585931599140167
Device_left,title,0.45807647705078125
Magazine_left,title,0.45511817932128906
TelevisionStation_left,title,0.45491284132003784
BasketballTeam_left,title,0.4531477391719818
Song_left,title,0.450396865606308
GovernmentAgency_left,title,0.4499998390674591
Reptile_right,title,0.44850894808769226
EthnicGroup_right,title,0.4480994939804077
GovernmentAgency_right,title,0.44803741574287415
Wrestler_left,title,0.4470939636230469
Amphibian_right,title,0.4468493163585663
EthnicGroup_left,title,0.44628554582595825
MemberOfParliament_left,title,0.4455747604370117
RailwayLine_left,title,0.445337176322937
TelevisionStation_right,title,0.44422829151153564
SportFacility_left,title,0.443071186542511
ChristianBishop_left,title,0.4424234926700592
Monarch_right,title,0.4421314001083374
Artwork_left,title,0.4398808181285858
SportsLeague_left,title,0.4397810995578766
Magazine_right,title,0.4396607279777527
Hospital_left,title,0.4390541613101959
Wrestler_right,title,0.4387504458427429
ArtificialSatellite_right,title,0.43864649534225464
Stadium_left,title,0.43761733174324036
BasketballTeam_right,title,0.4375956356525421
GivenName_right,title,0.4367397725582123
Race_left,title,0.4366629123687744
PoliticalParty_left,title,0.43545135855674744
Museum_left,title,0.4353877305984497
Country_right,title,0.43438106775283813
Venue_left,title,0.43393969535827637
PoliticalParty_right,title,0.4317700266838074
Tournament_left,title,0.4315080940723419
ChristianBishop_right,title,0.43051204085350037
Galaxy_left,title,0.42832431197166443
RailwayLine_right,title,0.42677730321884155
Hospital_right,title,0.4267611503601074
MemberOfParliament_right,title,0.4255273640155792
