candidate_table,candidate_column,similarity_score
Enzyme_right,title,0.6496362090110779
Drug_right,title,0.4930559992790222
Drug_left,title,0.4923967570066452
Reptile_left,title,0.4558742791414261
Amphibian_left,title,0.44938695430755615
Amphibian_right,title,0.4449298083782196
ArtificialSatellite_left,title,0.4413352459669113
GivenName_left,title,0.43848370015621185
Reptile_right,title,0.43824851512908936
Country_left,title,0.42811647057533264
ArtificialSatellite_right,title,0.42762432992458344
Device_left,title,0.42565716803073883
GivenName_right,title,0.4252929389476776
GovernmentAgency_right,title,0.42473267018795013
Monarch_left,title,0.4237604886293411
GovernmentAgency_left,title,0.4221603572368622
Tournament_left,title,0.42208096385002136
EthnicGroup_left,title,0.4219219237565994
Device_right,title,0.42169657349586487
Wrestler_left,title,0.4185951054096222
Legislature_right,title,0.41640594601631165
EthnicGroup_right,title,0.4158513695001602
TelevisionStation_right,title,0.4154883474111557
Museum_left,title,0.4150474965572357
MemberOfParliament_left,title,0.4144462049007416
Wrestler_right,title,0.4142817109823227
Song_left,title,0.4139515906572342
ChristianBishop_right,title,0.4135362058877945
BasketballTeam_right,title,0.4133654534816742
TelevisionStation_left,title,0.41215790808200836
Country_right,title,0.4121377617120743
HistoricBuilding_left,title,0.4120800793170929
Galaxy_left,title,0.4119075536727905
Monarch_right,title,0.411778062582016
ChristianBishop_left,title,0.4102359265089035
BasketballTeam_left,title,0.4100206345319748
Magazine_right,title,0.40930742025375366
ClericalAdministrativeRegion_left,title,0.4082425832748413
SportsLeague_right,title,0.4081452637910843
Magazine_left,title,0.40736523270606995
RugbyLeague_left,title,0.4073529988527298
Tournament_right,title,0.4072679579257965
SoccerLeague_right,title,0.4066629260778427
RailwayLine_right,title,0.40650391578674316
RugbyLeague_right,title,0.40597236156463623
MemberOfParliament_right,title,0.40564151108264923
PoliticalParty_right,title,0.40535952150821686
SportFacility_left,title,0.4051719158887863
Race_left,title,0.40467189252376556
Award_left,title,0.40438520908355713
