candidate_table,candidate_column,similarity_score
Election_right,title,0.5455177277326584
Legislature_right,title,0.4289175868034363
GovernmentAgency_right,title,0.40341708064079285
Legislature_left,title,0.3936268836259842
PoliticalParty_right,title,0.39221759140491486
FootballLeagueSeason_left,title,0.38718411326408386
FootballLeagueSeason_right,title,0.38168250024318695
RugbyLeague_left,title,0.378655344247818
NationalFootballLeagueSeason_left,title,0.37775154411792755
TennisTournament_right,title,0.37747372686862946
FootballMatch_left,title,0.37614142894744873
TennisTournament_left,title,0.37505653500556946
NaturalEvent_right,title,0.37504662573337555
MemberOfParliament_right,title,0.37378576397895813
SoccerLeague_left,title,0.3734893202781677
SoccerLeague_right,title,0.3731457591056824
ClericalAdministrativeRegion_left,title,0.3730493038892746
GovernmentAgency_left,title,0.37301525473594666
PoliticalParty_left,id,0.37260960042476654
Tournament_left,title,0.3725401759147644
Monarch_left,id,0.37193039059638977
FootballMatch_left,id,0.37136900424957275
HistoricBuilding_left,id,0.37090374529361725
Stadium_left,id,0.37090374529361725
GovernmentAgency_right,id,0.3707463890314102
Tournament_left,id,0.3704812377691269
SportsLeague_right,title,0.3702177107334137
PoliticalParty_left,title,0.36997415125370026
GivenName_left,id,0.3697061389684677
HistoricBuilding_right,id,0.36968202888965607
MotorsportSeason_left,title,0.36965133249759674
Country_left,id,0.36964400112628937
SoccerTournament_left,id,0.36964400112628937
BasketballTeam_left,id,0.3695235997438431
Galaxy_left,id,0.3692929744720459
NationalFootballLeagueSeason_left,id,0.36915892362594604
Drug_right,id,0.3686322271823883
SoccerClubSeason_left,title,0.36855652928352356
MotorsportSeason_right,id,0.3685149848461151
Country_right,title,0.3684784322977066
NaturalEvent_left,title,0.36833687126636505
FootballLeagueSeason_left,id,0.3682577311992645
Device_left,id,0.3682560920715332
ClericalAdministrativeRegion_left,id,0.3682510405778885
Device_right,id,0.3681291490793228
BasketballTeam_left,title,0.3680981546640396
SoccerLeague_left,id,0.36791667342185974
Legislature_left,id,0.36791667342185974
SportsLeague_left,title,0.3678049296140671
Stadium_right,id,0.36756008863449097
