query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Galaxy_left.csv,title,malin 1,Wrestler_left,title,konnan,0.7239233255386353
Galaxy_left.csv,title,maffei 2,Wrestler_left,title,makoto hashi,0.692500650882721
Galaxy_left.csv,title,leda 074886,Wrestler_left,title,arisa nakajima,0.6873805522918701
Galaxy_left.csv,title,maffei 1,Wrestler_left,title,alireza soleimani,0.6847478151321411
Galaxy_left.csv,title,sombrero galaxy,Wrestler_left,title,el solitario,0.6847475171089172
Galaxy_left.csv,title,virgohi21,Wrestler_left,title,soslan gattsiev,0.6638741493225098
Galaxy_left.csv,title,i zwicky 18,Wrestler_left,title,wladek zbyszko,0.6619908809661865
Galaxy_left.csv,title,ugca 86,Wrestler_left,title,mschif,0.65913987159729
Galaxy_left.csv,title,rd1,Wrestler_left,title,riho,0.6410585045814514
Galaxy_left.csv,title,ugc 9618,Wrestler_left,title,dru onyx,0.6405773162841797
Galaxy_left.csv,title,eso 306-17,Wrestler_left,title,espectrito ii,0.6377416849136353
Galaxy_left.csv,title,leo a,Wrestler_left,title,jun kasai,0.6336978673934937
Galaxy_left.csv,title,cassiopeia dwarf,Wrestler_left,title,cassandro,0.632516622543335
Galaxy_left.csv,title,ugc 5692,Wrestler_left,title,sobhan rouhi,0.6312707662582397
Galaxy_left.csv,title,willman 1,Wrestler_left,title,willi bock,0.6300749182701111
Galaxy_left.csv,title,ugc 8091,Wrestler_left,title,umanosuke ueda,0.6233817934989929
Galaxy_left.csv,title,markarian 501,Wrestler_left,title,mark jindrak,0.6233577728271484
Galaxy_left.csv,title,markarian 231,Wrestler_left,title,mark lewin,0.6231008172035217
Galaxy_left.csv,title,sextans a,Wrestler_left,title,adama diatta,0.6181292533874512
Galaxy_left.csv,title,hudf-jd2,Wrestler_left,title,ebrahim javadi,0.6175188422203064
Galaxy_left.csv,title,iok-1,Wrestler_left,title,tom zenk,0.6150138974189758
Galaxy_left.csv,title,dwingeloo 2,Wrestler_left,title,dejima takeharu,0.6130496859550476
Galaxy_left.csv,title,dwingeloo 1,Wrestler_left,title,ikuzo saito,0.6080573797225952
Galaxy_left.csv,title,a1689-zd1,Wrestler_left,title,rahim aliabadi,0.6050747036933899
