query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Monarch_left.csv,title,mattan i,GivenName_left,title,mattan,0.9156620502471924
Monarch_left.csv,title,gofraid donn,GivenName_left,title,gofraid,0.8870924115180969
Monarch_left.csv,title,mir qasim,GivenName_left,title,qasim,0.8558671474456787
Monarch_left.csv,title,kukailani,GivenName_left,title,kiyoaki,0.8524268269538879
Monarch_left.csv,title,jehu,GivenName_left,title,jamileh,0.8271708488464355
Monarch_left.csv,title,maatkare b,GivenName_left,title,maarja,0.8238130211830139
Monarch_left.csv,title,khensa,GivenName_left,title,khristo,0.8234401941299438
Monarch_left.csv,title,titu cusi,GivenName_left,title,tiiu,0.8224530220031738
Monarch_left.csv,title,keliiokaloa,GivenName_left,title,kesao,0.8204929828643799
Monarch_left.csv,title,bezprym,GivenName_left,title,behrouz,0.8184958696365356
Monarch_left.csv,title,kanishka,GivenName_left,title,kumiko,0.8183339834213257
Monarch_left.csv,title,jochi,GivenName_left,title,junji,0.8179523944854736
Monarch_left.csv,title,yazid i,GivenName_left,title,yasser,0.8156063556671143
Monarch_left.csv,title,anastasius i (emperor),GivenName_left,title,anastasius,0.8110631108283997
Monarch_left.csv,title,talabuga,GivenName_left,title,terumasa,0.8068346977233887
Monarch_left.csv,title,vasujyeshtha,GivenName_left,title,vaibhav,0.8018729090690613
Monarch_left.csv,title,mieszko i of poland,GivenName_left,title,mieszko,0.8017799854278564
Monarch_left.csv,title,vima takto,GivenName_left,title,takamitsu,0.8000385165214539
Monarch_left.csv,title,khri ma lod,GivenName_left,title,khorshid,0.7989528179168701
Monarch_left.csv,title,lakandula,GivenName_left,title,lata,0.7977824211120605
Monarch_left.csv,title,umadevi,GivenName_left,title,umeko,0.7975946664810181
Monarch_left.csv,title,karomama a,GivenName_left,title,kajsa,0.7975068688392639
Monarch_left.csv,title,visvaldis,GivenName_left,title,miervaldis,0.7966949939727783
Monarch_left.csv,title,ljudevit posavski,GivenName_left,title,slavoljub,0.7956844568252563
Monarch_left.csv,title,yetbarak,GivenName_left,title,yetunde,0.7955763339996338
Monarch_left.csv,title,jovan vladimir,GivenName_left,title,kvetoslav,0.7941132187843323
Monarch_left.csv,title,omri,GivenName_left,title,iori,0.7928895950317383
Monarch_left.csv,title,aktisanes,GivenName_left,title,akimasa,0.7922110557556152
Monarch_left.csv,title,nabopolassar,GivenName_left,title,naomasa,0.7913293838500977
Monarch_left.csv,title,akhraten,GivenName_left,title,akihisa,0.7906373143196106
Monarch_left.csv,title,mihirakula,GivenName_left,title,michiru,0.7881543636322021
Monarch_left.csv,title,muirchertach mac lochlainn,GivenName_left,title,mac raghnaill,0.7875142693519592
