query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Reptile_left.csv,title,sombrero ameiva,ChristianBishop_left,title,eladio acosta arteaga,0.7898604869842529
Reptile_left.csv,title,agama mwanzae,ChristianBishop_left,title,njongonkulu ndungane,0.77973473072052
Reptile_left.csv,title,sphaerodactylus,ChristianBishop_left,title,spiridon mattar,0.7755785584449768
Reptile_left.csv,title,japalura,ChristianBishop_left,title,jukka paarma,0.7663266658782959
Reptile_left.csv,title,acrantophis,ChristianBishop_left,title,alnothus,0.742948055267334
Reptile_left.csv,title,chamaeleo,ChristianBishop_left,title,toma audo,0.7347111105918884
Reptile_left.csv,title,tachygia,ChristianBishop_left,title,tatnoth,0.724475622177124
Reptile_left.csv,title,eutropis multifasciata,ChristianBishop_left,title,euthymius fadel,0.7195393443107605
Reptile_left.csv,title,ameiva,ChristianBishop_left,title,isak doera,0.7189726829528809
Reptile_left.csv,title,sibon sanniola,ChristianBishop_left,title,antin sielava,0.7146159410476685
Reptile_left.csv,title,morenia,ChristianBishop_left,title,lesslie newbigin,0.712255597114563
Reptile_left.csv,title,phelsuma breviceps,ChristianBishop_left,title,yngve brilioth,0.7070343494415283
Reptile_left.csv,title,darevskia,ChristianBishop_left,title,rrok mirdita,0.6990092396736145
Reptile_left.csv,title,lacertus,ChristianBishop_left,title,marolus,0.6975997090339661
Reptile_left.csv,title,teius,ChristianBishop_left,title,justus,0.6970661878585815
Reptile_left.csv,title,elseya uberima,ChristianBishop_left,title,ellinah wamukoya,0.6962645053863525
Reptile_left.csv,title,crotaphytus,ChristianBishop_left,title,cleophas lunga,0.6906068325042725
Reptile_left.csv,title,dicrodon,ChristianBishop_left,title,diora,0.684718132019043
Reptile_left.csv,title,bachia,ChristianBishop_left,title,sahdona,0.684377908706665
Reptile_left.csv,title,sikkim keelback,ChristianBishop_left,title,paremmakkal thoma kathanar,0.6793659329414368
Reptile_left.csv,title,boulengerina,ChristianBishop_left,title,peter bourgade,0.6775831580162048
Reptile_left.csv,title,hemidactylus,ChristianBishop_left,title,harlardus,0.6749749183654785
Reptile_left.csv,title,emydura,ChristianBishop_left,title,eolla,0.6741735339164734
Reptile_left.csv,title,leptodeira,ChristianBishop_left,title,eduardo hontiveros,0.6715898513793945
Reptile_left.csv,title,epicrates chrysogaster,ChristianBishop_left,title,alherdus,0.6711478233337402
Reptile_left.csv,title,tarentola,ChristianBishop_left,title,nerses bedros xix tarmouni,0.670799732208252
Reptile_left.csv,title,trioceros,ChristianBishop_left,title,heriberto correa yepes,0.667018711566925
Reptile_left.csv,title,roque chico de salmor giant lizard,ChristianBishop_left,title,pedro moya de contreras,0.6661220192909241
Reptile_left.csv,title,elaphe,ChristianBishop_left,title,ealhferth,0.6629481315612793
Reptile_left.csv,title,pedra branca skink,ChristianBishop_left,title,bolly lapok,0.6613236665725708
Reptile_left.csv,title,censky's ameiva,ChristianBishop_left,title,kyprian zochovskyj,0.6612323522567749
Reptile_left.csv,title,phelsuma,ChristianBishop_left,title,philoxenos yuhanon dolabani,0.6596654653549194
Reptile_left.csv,title,lycodon,ChristianBishop_left,title,lanfranc,0.6592892408370972
Reptile_left.csv,title,erg agama,ChristianBishop_left,title,ealhhun,0.6573728919029236
Reptile_left.csv,title,rhampholeon,ChristianBishop_left,title,roolwer,0.6553102731704712
Reptile_left.csv,title,montserrat galliwasp,ChristianBishop_left,title,grigore maior,0.6544218063354492
Reptile_left.csv,title,furcifer antimena,ChristianBishop_left,title,antim i,0.6541488170623779
Reptile_left.csv,title,heloderma horridum charlesbogerti,ChristianBishop_left,title,heahbeorht,0.6521357297897339
Reptile_left.csv,title,dasia subcaerulea,ChristianBishop_left,title,maxime decelles,0.6518926024436951
Reptile_left.csv,title,acontias,ChristianBishop_left,title,audoen,0.6512367129325867
Reptile_left.csv,title,hognose,ChristianBishop_left,title,tunbeorht,0.6504536867141724
Reptile_left.csv,title,meller's chameleon,ChristianBishop_left,title,mellitus,0.649675726890564
Reptile_left.csv,title,saurodactylus,ChristianBishop_left,title,anthony sablan apuron,0.649567723274231
Reptile_left.csv,title,bothrops brazili,ChristianBishop_left,title,eurico dias nogueira,0.6486933827400208
Reptile_left.csv,title,sri lankan krait,ChristianBishop_left,title,samir kafity,0.6457040905952454
Reptile_left.csv,title,filfola lizard,ChristianBishop_left,title,leofsige,0.644679605960846
Reptile_left.csv,title,anguis,ChristianBishop_left,title,gerardus gul,0.6443853974342346
Reptile_left.csv,title,santo stefano lizard,ChristianBishop_left,title,petro parfenii,0.6438153982162476
Reptile_left.csv,title,kirtland's snake,ChristianBishop_left,title,kieran conry,0.6410669088363647
Reptile_left.csv,title,kingsnake,ChristianBishop_left,title,mkrtich khrimian,0.6397041082382202
Reptile_left.csv,title,chelosania,ChristianBishop_left,title,richard cheetham,0.6392436027526855
Reptile_left.csv,title,brigalow scaly-foot,ChristianBishop_left,title,beadwulf,0.6366381049156189
Reptile_left.csv,title,ctenophorus,ChristianBishop_left,title,cyneferth,0.6363353729248047
Reptile_left.csv,title,griswold's ameiva,ChristianBishop_left,title,frank t. griswold,0.6351267099380493
Reptile_left.csv,title,allan's lerista,ChristianBishop_left,title,leuthere,0.6330469250679016
Reptile_left.csv,title,rhamnophis,ChristianBishop_left,title,kevin c. rhoades,0.6317183375358582
Reptile_left.csv,title,varanus albigularis,ChristianBishop_left,title,zlaudus kaplon,0.6311250925064087
Reptile_left.csv,title,epicrates angulifer,ChristianBishop_left,title,athelm,0.6310220956802368
Reptile_left.csv,title,hierophis,ChristianBishop_left,title,higbald of lindisfarne,0.630614161491394
Reptile_left.csv,title,pseustes poecilonotus,ChristianBishop_left,title,salesius lemmens,0.63020920753479
Reptile_left.csv,title,monito gecko,ChristianBishop_left,title,martti simojoki,0.6301794052124023
Reptile_left.csv,title,malpolon,ChristianBishop_left,title,milred,0.6293236017227173
Reptile_left.csv,title,anolis,ChristianBishop_left,title,abune dioskoros,0.629289984703064
Reptile_left.csv,title,calamaria,ChristianBishop_left,title,ubaldo calabresi,0.6289958953857422
Reptile_left.csv,title,letheobia,ChristianBishop_left,title,beorhtheah,0.6289535760879517
Reptile_left.csv,title,liodon,ChristianBishop_left,title,mo chutu of lismore,0.6270115375518799
Reptile_left.csv,title,saint vincent blacksnake,ChristianBishop_left,title,james blenk,0.6255614757537842
Reptile_left.csv,title,st. lucia anole,ChristianBishop_left,title,anselm of st saba,0.625407338142395
Reptile_left.csv,title,pungwe flat lizard,ChristianBishop_left,title,alwig,0.6248871684074402
Reptile_left.csv,title,vipera,ChristianBishop_left,title,leofgar,0.6237104535102844
Reptile_left.csv,title,tantilla,ChristianBishop_left,title,wiremu panapa,0.6223418712615967
Reptile_left.csv,title,jamaican boa,ChristianBishop_left,title,bo giertz,0.6222409009933472
Reptile_left.csv,title,adelphicos,ChristianBishop_left,title,ephraim ademowo,0.6211467385292053
Reptile_left.csv,title,saba least gecko,ChristianBishop_left,title,thabo makgoba,0.6204519867897034
Reptile_left.csv,title,scincopus fasciatus,ChristianBishop_left,title,polycarpus augin (eugene) aydin,0.6202465891838074
Reptile_left.csv,title,savigny's agama,ChristianBishop_left,title,georges gauthier,0.6186783313751221
Reptile_left.csv,title,oligodon,ChristianBishop_left,title,timothy olufosoye,0.6176584959030151
Reptile_left.csv,title,allison's anole,ChristianBishop_left,title,arthur anstey,0.6150594353675842
Reptile_left.csv,title,lycophidion,ChristianBishop_left,title,lysach o'ferrall,0.6132771968841553
Reptile_left.csv,title,lichtenfelder's gecko,ChristianBishop_left,title,arthur c. lichtenberger,0.6128478050231934
Reptile_left.csv,title,redonda anole,ChristianBishop_left,title,remi rabenirina,0.6126099228858948
Reptile_left.csv,title,brookesia lolontany,ChristianBishop_left,title,loras joseph watters,0.611130952835083
Reptile_left.csv,title,madagascarophis,ChristianBishop_left,title,mykola simkaylo,0.6101492643356323
Reptile_left.csv,title,leiolopisma,ChristianBishop_left,title,eulogios kourilas lauriotis,0.6100382804870605
Reptile_left.csv,title,lancelin island skink,ChristianBishop_left,title,seaxwulf,0.6093761324882507
Reptile_left.csv,title,sakashima green snake,ChristianBishop_left,title,peter takaaki hirayama,0.6093376874923706
Reptile_left.csv,title,lamprophis,ChristianBishop_left,title,welbore maccarthy,0.6091644763946533
Reptile_left.csv,title,galapagos land iguana,ChristianBishop_left,title,juan de arechederra,0.6091146469116211
Reptile_left.csv,title,korat supple skink,ChristianBishop_left,title,astrik,0.6089673042297363
Reptile_left.csv,title,terre-de-haut racer,ChristianBishop_left,title,michel-thomas labrecque,0.6082185506820679
Reptile_left.csv,title,el hierro giant lizard,ChristianBishop_left,title,yuhanon mar dioscoros,0.6078627109527588
Reptile_left.csv,title,spider tortoise,ChristianBishop_left,title,torhthere,0.6066586971282959
Reptile_left.csv,title,fraas' lizard,ChristianBishop_left,title,leo frade,0.6065967082977295
Reptile_left.csv,title,fox snake,ChristianBishop_left,title,richard foxe,0.6065417528152466
Reptile_left.csv,title,boettger's lizard,ChristianBishop_left,title,borys gudziak,0.6015187501907349
Reptile_left.csv,title,sibon nebulata,ChristianBishop_left,title,sigeferth,0.6007846593856812
Reptile_left.csv,title,bougainville's skink,ChristianBishop_left,title,paul bouque,0.599604606628418
Reptile_left.csv,title,tropidoclonion,ChristianBishop_left,title,trumhere,0.5976874828338623
Reptile_left.csv,title,pantherophis,ChristianBishop_left,title,walhstod,0.597602128982544
Reptile_left.csv,title,puerto rican boa,ChristianBishop_left,title,charles caruana,0.5975558757781982
Reptile_left.csv,title,balkan green lizard,ChristianBishop_left,title,ghenadie petrescu,0.5949592590332031
Reptile_left.csv,title,lycodonomorphus,ChristianBishop_left,title,egidius junger,0.5945435762405396
Reptile_left.csv,title,st. lucia threadsnake,ChristianBishop_left,title,gerard sithunywa ndlovu,0.594131350517273
Reptile_left.csv,title,gekko,ChristianBishop_left,title,zef gashi,0.5940316915512085
Reptile_left.csv,title,yinnietharra rock dragon,ChristianBishop_left,title,nykanor deyneha,0.5937654972076416
Reptile_left.csv,title,underwood's mussurana,ChristianBishop_left,title,sarah mullally,0.5936117172241211
Reptile_left.csv,title,canopy goanna,ChristianBishop_left,title,gulstan ropert,0.5929186940193176
Reptile_left.csv,title,rubber boa,ChristianBishop_left,title,nicholas chia,0.5919492840766907
Reptile_left.csv,title,japanese rat snake,ChristianBishop_left,title,yasutaro naide,0.5915086269378662
Reptile_left.csv,title,jamaica giant galliwasp,ChristianBishop_left,title,samuel gaumain,0.591168999671936
Reptile_left.csv,title,epicrates cenchria maurus,ChristianBishop_left,title,secundinus,0.5910170674324036
Reptile_left.csv,title,san lucan skink,ChristianBishop_left,title,stylianos harkianakis,0.5907214879989624
Reptile_left.csv,title,soutpansberg flat lizard,ChristianBishop_left,title,wernbeorht,0.5900890231132507
Reptile_left.csv,title,martinique spectacled tegu,ChristianBishop_left,title,thaddeus amat y brusi,0.5896543860435486
Reptile_left.csv,title,sekukhune flat lizard,ChristianBishop_left,title,seffrid i,0.5896005630493164
Reptile_left.csv,title,rankinia,ChristianBishop_left,title,manasses kuria,0.5890246629714966
Reptile_left.csv,title,anguilla bank anole,ChristianBishop_left,title,eanbald (floruit 798),0.5886318683624268
Reptile_left.csv,title,clasmodosaurus,ChristianBishop_left,title,cledan mears,0.5874354839324951
Reptile_left.csv,title,peninsula cooter,ChristianBishop_left,title,charles corfe,0.586886465549469
Reptile_left.csv,title,earless skink,ChristianBishop_left,title,ecgbald,0.5867296457290649
Reptile_left.csv,title,phelsuma sundbergi ladiguensis,ChristianBishop_left,title,petrus canisius van lierde,0.5867016315460205
Reptile_left.csv,title,chinese water snake,ChristianBishop_left,title,tzu kao shen,0.5865410566329956
Reptile_left.csv,title,thorny dragon,ChristianBishop_left,title,sigehelm,0.5854921340942383
Reptile_left.csv,title,nilgiri keelback,ChristianBishop_left,title,nirod biswas,0.5851041674613953
Reptile_left.csv,title,lipinia,ChristianBishop_left,title,hlib lonchyna,0.5839128494262695
Reptile_left.csv,title,large-headed anole,ChristianBishop_left,title,headda,0.5830411911010742
Reptile_left.csv,title,conolophus,ChristianBishop_left,title,william g. connare,0.582710862159729
Reptile_left.csv,title,martinique giant ameiva,ChristianBishop_left,title,rigaud of assier,0.5826584696769714
Reptile_left.csv,title,spanish algyroides,ChristianBishop_left,title,eusebio l. elizondo almaguer,0.5826460123062134
Reptile_left.csv,title,lebombo flat lizard,ChristianBishop_left,title,george lefroy,0.5822944641113281
Reptile_left.csv,title,pygmy copperhead,ChristianBishop_left,title,david pytches,0.5799991488456726
Reptile_left.csv,title,desert kingsnake,ChristianBishop_left,title,tobias el khazen,0.5799390077590942
Reptile_left.csv,title,kikuzato's brook snake,ChristianBishop_left,title,nathaniel makoto uematsu,0.579774022102356
Reptile_left.csv,title,red-headed krait,ChristianBishop_left,title,karekin ii,0.579673171043396
Reptile_left.csv,title,mosor rock lizard,ChristianBishop_left,title,rex donat,0.5795979499816895
Reptile_left.csv,title,platysaurus,ChristianBishop_left,title,petrus torkilsson,0.5786316394805908
Reptile_left.csv,title,la gomera giant lizard,ChristianBishop_left,title,antonio ledesma,0.5783865451812744
Reptile_left.csv,title,tyrrhenian wall lizard,ChristianBishop_left,title,tyrhtel,0.5783728361129761
Reptile_left.csv,title,hawequa flat gecko,ChristianBishop_left,title,eliud wabukala,0.5781435966491699
Reptile_left.csv,title,gomero wall gecko,ChristianBishop_left,title,mikiel gonzi,0.5777231454849243
Reptile_left.csv,title,hispaniolan green anole,ChristianBishop_left,title,juan asenjo pelegrina,0.5775352716445923
Reptile_left.csv,title,striped harlequin snake,ChristianBishop_left,title,haquin spegel,0.5772239565849304
Reptile_left.csv,title,robertson dwarf chameleon,ChristianBishop_left,title,richard challoner,0.5761942863464355
Reptile_left.csv,title,aran rock lizard,ChristianBishop_left,title,aram i,0.5760608911514282
Reptile_left.csv,title,slowinski's corn snake,ChristianBishop_left,title,folliott cornewall,0.5754717588424683
Reptile_left.csv,title,aesculapian snake,ChristianBishop_left,title,arnost,0.575093150138855
Reptile_left.csv,title,uracentron,ChristianBishop_left,title,alojz uran,0.5748944282531738
Reptile_left.csv,title,gargoyle gecko,ChristianBishop_left,title,wigthegn,0.5745611190795898
Reptile_left.csv,title,hamelin ctenotus,ChristianBishop_left,title,k. g. hammar,0.5738827586174011
Reptile_left.csv,title,chameleon,ChristianBishop_left,title,christopher chavasse,0.5735273361206055
Reptile_left.csv,title,antiguan racer,ChristianBishop_left,title,anselmo zarza bernal,0.5733461380004883
Reptile_left.csv,title,zululand dwarf chamaeleon,ChristianBishop_left,title,walter khotso makhulu,0.573302149772644
Reptile_left.csv,title,atractaspididae,ChristianBishop_left,title,athulf,0.571064829826355
Reptile_left.csv,title,round island boa,ChristianBishop_left,title,anthony pilla,0.5704306960105896
Reptile_left.csv,title,adelaide pigmy blue-tongue skink,ChristianBishop_left,title,kay goldsworthy,0.5694931745529175
Reptile_left.csv,title,common krait,ChristianBishop_left,title,karekin i,0.5690922141075134
Reptile_left.csv,title,mclachlan's girdled lizard,ChristianBishop_left,title,gordon mursell,0.5690555572509766
Reptile_left.csv,title,karoo cape tortoise,ChristianBishop_left,title,yoohanon mar chrysostom,0.5690181255340576
Reptile_left.csv,title,swartberg dwarf chameleon,ChristianBishop_left,title,george swartz,0.5670790672302246
Reptile_left.csv,title,hardwicke's bloodsucker,ChristianBishop_left,title,reginald heber weller,0.5670714378356934
Reptile_left.csv,title,pygmy mulga goanna,ChristianBishop_left,title,nourhan manougian,0.5655543804168701
Reptile_left.csv,title,homopus,ChristianBishop_left,title,hrotheweard,0.5651470422744751
Reptile_left.csv,title,rattlesnake,ChristianBishop_left,title,david zubik,0.5651349425315857
Reptile_left.csv,title,cape flat lizard,ChristianBishop_left,title,geoffrey tiarks,0.5647575855255127
Reptile_left.csv,title,be'er sheva fringe-fingered lizard,ChristianBishop_left,title,beorhtred,0.5641745328903198
Reptile_left.csv,title,cunningham's skink,ChristianBishop_left,title,mark sisk,0.5636638402938843
Reptile_left.csv,title,golden gecko,ChristianBishop_left,title,peter leo gerety,0.5636051893234253
Reptile_left.csv,title,rat snake,ChristianBishop_left,title,michael arattukulam,0.5630636215209961
Reptile_left.csv,title,wright's skink,ChristianBishop_left,title,john simkin,0.562715470790863
Reptile_left.csv,title,marine iguana,ChristianBishop_left,title,michael jarboe sheehan,0.5625419616699219
Reptile_left.csv,title,soutpansberg rock lizard,ChristianBishop_left,title,sofron dmyterko,0.5622867345809937
Reptile_left.csv,title,blyth's reticulated snake,ChristianBishop_left,title,john blyth,0.5621324181556702
Reptile_left.csv,title,joan wiffen's theropod,ChristianBishop_left,title,frederick craske,0.5618315935134888
Reptile_left.csv,title,lawrence's girdled lizard,ChristianBishop_left,title,william giffard,0.561712920665741
Reptile_left.csv,title,panamint alligator lizard,ChristianBishop_left,title,panteleimon kotokos,0.5615718960762024
Reptile_left.csv,title,salvadora (genus),ChristianBishop_left,title,salvador q. quizon,0.56058669090271
