query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Wrestler_left.csv,title,askari mohammadian,Monarch_left,title,askia mohammad benkan,0.8898875713348389
Wrestler_left.csv,title,abdel al-rashid,Monarch_left,title,abdallah al-adil,0.8756840825080872
Wrestler_left.csv,title,mohammad ali khojastehpour,Monarch_left,title,mohammed khodabanda,0.8724247813224792
Wrestler_left.csv,title,ashraf el-gharably,Monarch_left,title,mohammed ben aarafa,0.8664072751998901
Wrestler_left.csv,title,mahmoud hassan,Monarch_left,title,uzun hassan,0.861931324005127
Wrestler_left.csv,title,wakahaguro tomoaki,Monarch_left,title,kawaokaohele,0.8572602868080139
Wrestler_left.csv,title,ali asghar bazri,Monarch_left,title,ali shah durrani,0.8509232997894287
Wrestler_left.csv,title,mocho cota,Monarch_left,title,cotiso,0.8506969213485718
Wrestler_left.csv,title,hikaru kawabata,Monarch_left,title,kahokuohua,0.8448676466941833
Wrestler_left.csv,title,vakhtang balavadze,Monarch_left,title,balarama varma,0.8416820168495178
Wrestler_left.csv,title,alireza dabir,Monarch_left,title,gerad ali dable,0.839850664138794
Wrestler_left.csv,title,mohamed nakdali,Monarch_left,title,muhammad al-nasir,0.835350751876831
Wrestler_left.csv,title,ghulam dastagir,Monarch_left,title,gerad dhidhin,0.8301829695701599
Wrestler_left.csv,title,moslem eskandar-filabi,Monarch_left,title,abu yaqub yusuf an-nasr,0.828551173210144
Wrestler_left.csv,title,antonino rocca,Monarch_left,title,sebastiano mocenigo,0.8268896341323853
Wrestler_left.csv,title,ghani yalouz,Monarch_left,title,yahya karawi,0.8240302801132202
Wrestler_left.csv,title,adnan rhimi,Monarch_left,title,alauddin khilji,0.8168662190437317
Wrestler_left.csv,title,amarjit singh,Monarch_left,title,pratap singh of thanjavur,0.8147659301757812
Wrestler_left.csv,title,george zaharias,Monarch_left,title,george ghica,0.8145815134048462
Wrestler_left.csv,title,kemonito,Monarch_left,title,keliiokaloa,0.8105762600898743
Wrestler_left.csv,title,stephen petitpas,Monarch_left,title,stephen lekapenos,0.8105475902557373
Wrestler_left.csv,title,saeid abdevali,Monarch_left,title,abd al-karim sabun,0.8097608685493469
Wrestler_left.csv,title,mehran sheikhi,Monarch_left,title,firuz shah tughlaq,0.8092530965805054
Wrestler_left.csv,title,sione vailahi,Monarch_left,title,vasujyeshtha,0.8082234263420105
Wrestler_left.csv,title,mohammad ali sanatkaran,Monarch_left,title,fath-ali shah qajar,0.8076196312904358
Wrestler_left.csv,title,lee wang pyo,Monarch_left,title,jigme singye wangchuck,0.8032334446907043
Wrestler_left.csv,title,higonoumi naoya,Monarch_left,title,ngamaru rongotini ariki,0.7999457120895386
Wrestler_left.csv,title,eliseo salugta,Monarch_left,title,domenico selvo,0.7982372045516968
Wrestler_left.csv,title,kurohimeyama hideo,Monarch_left,title,kusaila,0.798204243183136
Wrestler_left.csv,title,badri khasaia,Monarch_left,title,newaya krestos,0.7973178625106812
Wrestler_left.csv,title,konnan,Monarch_left,title,kotrag,0.7962396144866943
Wrestler_left.csv,title,taka michinoku,Monarch_left,title,vima takto,0.7953360676765442
Wrestler_left.csv,title,hassan rangraz,Monarch_left,title,abu taghlib,0.7946616411209106
Wrestler_left.csv,title,morad mohammadi,Monarch_left,title,mahamud ibrahim,0.7942315936088562
Wrestler_left.csv,title,mohamed riad louafi,Monarch_left,title,ahmad al-mansur,0.7931838631629944
Wrestler_left.csv,title,jahanbakht tofigh,Monarch_left,title,tokhtamysh,0.7922658920288086
Wrestler_left.csv,title,mohammad bana,Monarch_left,title,muhammad thakurufaanu al auzam,0.7897904515266418
Wrestler_left.csv,title,mostafa mohamed,Monarch_left,title,abu taleb rostam,0.788739025592804
Wrestler_left.csv,title,kasugafuji akihiro,Monarch_left,title,kapohauola,0.7861739993095398
Wrestler_left.csv,title,emiko kado,Monarch_left,title,kanishka,0.7860099673271179
Wrestler_left.csv,title,wladek zbyszko,Monarch_left,title,ljudevit posavski,0.7849013209342957
Wrestler_left.csv,title,abbas dabbaghi,Monarch_left,title,mohammad khan qaraei-torbati,0.7827776670455933
Wrestler_left.csv,title,arvi aavik,Monarch_left,title,arikesari maravarman,0.7824816703796387
Wrestler_left.csv,title,abbas jadidi,Monarch_left,title,abu tahir yazid,0.7819035649299622
Wrestler_left.csv,title,vakhtang blagidze,Monarch_left,title,bhavashankari,0.7814368605613708
Wrestler_left.csv,title,majid khodaei,Monarch_left,title,khalilullah i,0.7810093760490417
Wrestler_left.csv,title,bashir babajanzadeh,Monarch_left,title,shirvanshah ahmad,0.7808926105499268
Wrestler_left.csv,title,dos caras,Monarch_left,title,caracalla,0.7803959846496582
Wrestler_left.csv,title,keita meretana,Monarch_left,title,tinomana mereana ariki,0.7791976928710938
Wrestler_left.csv,title,malia hosaka,Monarch_left,title,malietoa moli,0.7768324613571167
Wrestler_left.csv,title,naidangiin otgonjargal,Monarch_left,title,veerapandiya kattabomman,0.7750824689865112
Wrestler_left.csv,title,marianna komlos,Monarch_left,title,matthew kantakouzenos,0.7728430032730103
Wrestler_left.csv,title,zaza turmanidze,Monarch_left,title,mzilikazi,0.7725026607513428
Wrestler_left.csv,title,kototsubaki katsuyuki,Monarch_left,title,kato kintu,0.7723327875137329
Wrestler_left.csv,title,zied ayet ikram,Monarch_left,title,ahkal mo' naab' i,0.7719013690948486
Wrestler_left.csv,title,kitaseumi hiromitsu,Monarch_left,title,atse iyasu,0.7691619396209717
Wrestler_left.csv,title,kashiwado risuke,Monarch_left,title,prince kinashi no karu,0.7688581347465515
