query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of monaco,Legislature_right,title,national council of monaco,0.778651237487793
ClericalAdministrativeRegion_left.csv,title,eparchy of bratislava,Legislature_right,title,national council of the slovak republic,0.7517958283424377
ClericalAdministrativeRegion_left.csv,title,madhya kerala diocese,Legislature_right,title,chavakacheri divisional council,0.7258216142654419
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of coimbatore,Legislature_right,title,coimbatore municipal corporation,0.708017885684967
ClericalAdministrativeRegion_left.csv,title,military ordinariate of kenya,Legislature_right,title,national assembly of kenya,0.7071669697761536
ClericalAdministrativeRegion_left.csv,title,eparchy of slavonia,Legislature_right,title,soviet of the republic,0.702112078666687
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of luxembourg,Legislature_right,title,chamber of deputies of luxembourg,0.6970366835594177
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of vienna,Legislature_right,title,federal council of austria,0.6885894536972046
ClericalAdministrativeRegion_left.csv,title,diocese of eastern newfoundland and labrador,Legislature_right,title,general assembly of newfoundland and labrador,0.6849313974380493
ClericalAdministrativeRegion_left.csv,title,eparchy of srem,Legislature_right,title,supreme council (transnistria),0.6829996109008789
ClericalAdministrativeRegion_left.csv,title,patriarchate of lisbon,Legislature_right,title,assembly of the republic of portugal,0.6800907850265503
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of benin city,Legislature_right,title,national assembly of benin,0.6699328422546387
ClericalAdministrativeRegion_left.csv,title,anglican diocese of angola,Legislature_right,title,national assembly of angola,0.6685653328895569
ClericalAdministrativeRegion_left.csv,title,military ordinariate of poland,Legislature_right,title,senate of poland,0.6678725481033325
ClericalAdministrativeRegion_left.csv,title,military bishopric of bolivia,Legislature_right,title,general junta of the principality of asturias,0.6635735034942627
ClericalAdministrativeRegion_left.csv,title,military ordinariate of brazil,Legislature_right,title,senate of brazil,0.6543235778808594
ClericalAdministrativeRegion_left.csv,title,"diocese of moray, ross and caithness",Legislature_right,title,mid and east antrim borough council,0.6492749452590942
ClericalAdministrativeRegion_left.csv,title,patriarchate of karlovci,Legislature_right,title,house of peoples of bosnia and herzegovina,0.646599292755127
ClericalAdministrativeRegion_left.csv,title,eparchy of piana degli albanesi,Legislature_right,title,legislative assembly of emilia-romagna,0.6452693939208984
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of salford,Legislature_right,title,wigan metropolitan borough council,0.6428696513175964
ClericalAdministrativeRegion_left.csv,title,diocese of zululand,Legislature_right,title,national council of namibia,0.639257550239563
ClericalAdministrativeRegion_left.csv,title,military ordinariate of canada,Legislature_right,title,general assembly of prince edward island,0.6351997256278992
ClericalAdministrativeRegion_left.csv,title,military ordinariate of belgium,Legislature_right,title,belgian senate,0.6339977979660034
ClericalAdministrativeRegion_left.csv,title,military ordinariate of uganda,Legislature_right,title,national assembly of the democratic republic of the congo,0.6276620030403137
ClericalAdministrativeRegion_left.csv,title,eparchy of upper karlovac,Legislature_right,title,state council of crimea,0.6254663467407227
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of moscow,Legislature_right,title,federation council of russia,0.6235157251358032
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of northern germany,Legislature_right,title,landtag of the free state of saxony,0.6224156618118286
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of northern arabia,Legislature_right,title,consultative council of bahrain,0.6219196319580078
ClericalAdministrativeRegion_left.csv,title,virginia synod,Legislature_right,title,cumberland county council,0.6169142723083496
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of hong kong,Legislature_right,title,urban council (hong kong),0.6098271012306213
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of charlotte,Legislature_right,title,charlotte city council,0.6078574061393738
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of catanduva,Legislature_right,title,chavakacheri urban council,0.6066089868545532
ClericalAdministrativeRegion_left.csv,title,anglican diocese of highveld,Legislature_right,title,ards and north down borough council,0.6061441898345947
ClericalAdministrativeRegion_left.csv,title,patriarchate of the west indies,Legislature_right,title,majlis of the maldives,0.605656623840332
ClericalAdministrativeRegion_left.csv,title,apostolic exarchate of serbia and montenegro,Legislature_right,title,national assembly of serbia,0.6037785410881042
ClericalAdministrativeRegion_left.csv,title,anglican diocese of grahamstown,Legislature_right,title,antrim and newtownabbey borough council,0.6033229827880859
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of nagpur,Legislature_right,title,greater chennai corporation,0.6023320555686951
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of rodrigues,Legislature_right,title,chamber of deputies of haiti,0.5919485092163086
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of cincinnati,Legislature_right,title,"city council of cincinnati, ohio elections",0.5909425020217896
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of abuja,Legislature_right,title,national assembly of nigeria,0.5884807109832764
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of skopje,Legislature_right,title,"assembly of the community of municipalities, autonomous province of kosovo and metohija",0.5868779420852661
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of el beni,Legislature_right,title,chamber of councillors of tunisia,0.5856788158416748
ClericalAdministrativeRegion_left.csv,title,military ordinariate of new zealand,Legislature_right,title,national parliament of the solomon islands,0.5839767456054688
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of mbulu,Legislature_right,title,kwazuluânatal legislature,0.5839524865150452
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of guadalajara,Legislature_right,title,chamber of deputies of mexico,0.5832082629203796
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of acerenza,Legislature_right,title,national council of austria,0.582750678062439
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of malacca-johor,Legislature_right,title,penang island city council,0.5825055837631226
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of botucatu,Legislature_right,title,chamber of deputies of rwanda,0.5819212794303894
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of baghdad,Legislature_right,title,iraqi kurdistan parliament,0.5808086395263672
ClericalAdministrativeRegion_left.csv,title,eparchy of banat,Legislature_right,title,imperial legislative council,0.5776975154876709
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of gibraltar,Legislature_right,title,general council (andorra),0.5769659280776978
ClericalAdministrativeRegion_left.csv,title,"roman catholic diocese of saint john, new brunswick",Legislature_right,title,new brunswick legislature,0.5763251185417175
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of southwark,Legislature_right,title,city of bradford metropolitan district council,0.5743897557258606
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of chongqing,Legislature_right,title,secretariat of the communist party of china,0.5742862820625305
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of venice,Legislature_right,title,parliament of italy,0.5734504461288452
ClericalAdministrativeRegion_left.csv,title,episcopal diocese of new york,Legislature_right,title,city of york council,0.5722376108169556
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of versailles,Legislature_right,title,parliament of france,0.5710827112197876
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of ljubljana,Legislature_right,title,assembly of the community of serbian municipalities,0.5710735321044922
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of bucharest,Legislature_right,title,chamber of deputies of romania,0.5708768963813782
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of willemstad,Legislature_right,title,states general of the netherlands,0.5688189268112183
ClericalAdministrativeRegion_left.csv,title,military ordinariate of the philippines,Legislature_right,title,national assembly of vietnam,0.5685887336730957
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of oliveira,Legislature_right,title,chamber of deputies of brazil,0.5681359767913818
ClericalAdministrativeRegion_left.csv,title,diocese of chichester,Legislature_right,title,borough of poole,0.5680951476097107
ClericalAdministrativeRegion_left.csv,title,military ordinariate of lithuania,Legislature_right,title,federal assembly of russia,0.5598089098930359
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of strasbourg,Legislature_right,title,national council of switzerland,0.5590787529945374
ClericalAdministrativeRegion_left.csv,title,roman catholic apostolic vicariate of anatolia,Legislature_right,title,parliament of the ottoman empire,0.5584017038345337
ClericalAdministrativeRegion_left.csv,title,diocese of gothenburg,Legislature_right,title,parliament of sweden,0.5561301112174988
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of ambatondrazaka,Legislature_right,title,house of assembly of kiribati,0.5541683435440063
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of guatemala,Legislature_right,title,national assembly of belize,0.5541251301765442
ClericalAdministrativeRegion_left.csv,title,military bishopric of argentina,Legislature_right,title,national congress of argentina,0.5538578033447266
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of bologna,Legislature_right,title,italian senate,0.5531774759292603
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of luang prabang,Legislature_right,title,chamber of deputies (equatorial guinea),0.5521689057350159
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of lagos,Legislature_right,title,house of representatives of nigeria,0.5520935654640198
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of antwerp,Legislature_right,title,belgian chamber of representatives,0.5483421087265015
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of natal,Legislature_right,title,national assembly of malawi,0.5478036403656006
ClericalAdministrativeRegion_left.csv,title,diocese of the french armed forces,Legislature_right,title,national assembly of france,0.5465658903121948
ClericalAdministrativeRegion_left.csv,title,diocese of central newfoundland,Legislature_right,title,general assembly of nova scotia,0.5460456609725952
ClericalAdministrativeRegion_left.csv,title,ethiopian catholic archeparchy of addis abeba,Legislature_right,title,national assembly of eritrea,0.5451425313949585
ClericalAdministrativeRegion_left.csv,title,"roman catholic diocese of guarda, portugal",Legislature_right,title,constituent assembly of portugal,0.5432713031768799
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of nottingham,Legislature_right,title,peterborough city council,0.5431423187255859
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of zaragoza,Legislature_right,title,madrid assembly,0.5409396290779114
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of malindi,Legislature_right,title,national assembly of mali,0.5394951105117798
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of cagliari,Legislature_right,title,italian chamber of deputies,0.539107084274292
ClericalAdministrativeRegion_left.csv,title,military bishopric in el salvador,Legislature_right,title,national assembly of ecuador,0.5376089811325073
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of bhagalpur,Legislature_right,title,central commission for discipline inspection,0.536723256111145
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of makassar,Legislature_right,title,supreme council of kyrgyzstan,0.5364677309989929
ClericalAdministrativeRegion_left.csv,title,diocese of pretoria,Legislature_right,title,national assembly of lesotho,0.5358597040176392
ClericalAdministrativeRegion_left.csv,title,syro-malabar catholic eparchy of ujjain,Legislature_right,title,orissa legislative assembly,0.5357832908630371
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of gaborone,Legislature_right,title,national assembly of botswana,0.5353363156318665
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of reyes,Legislature_right,title,legislative assembly of the autonomous region of the azores,0.5349929928779602
ClericalAdministrativeRegion_left.csv,title,anglican diocese of calgary,Legislature_right,title,alberta legislature,0.5347609519958496
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of rijeka,Legislature_right,title,croatian parliament,0.5342718362808228
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of abaetetuba,Legislature_right,title,national assembly of tanzania,0.5342676639556885
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of tshumbe,Legislature_right,title,house of assembly of zimbabwe,0.5318173766136169
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of laohekou,Legislature_right,title,national assembly of laos,0.5299138426780701
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of accra,Legislature_right,title,national assembly of togo,0.5285065174102783
ClericalAdministrativeRegion_left.csv,title,armenian catholic archeparchy of istanbul,Legislature_right,title,national assembly of armenia,0.5284526944160461
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of maiduguri,Legislature_right,title,senate of kenya,0.5256187915802002
ClericalAdministrativeRegion_left.csv,title,anglican diocese of saskatoon,Legislature_right,title,saskatchewan legislature,0.525182843208313
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of edmonton,Legislature_right,title,25th alberta legislature,0.5240166187286377
ClericalAdministrativeRegion_left.csv,title,romanian catholic eparchy of st george's in canton,Legislature_right,title,senate of romania,0.5227182507514954
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of dhaka,Legislature_right,title,national council of bhutan,0.5199217200279236
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of katowice,Legislature_right,title,national assembly of the republic of poland,0.5198732614517212
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of haarlem-amsterdam,Legislature_right,title,house of representatives of the netherlands,0.5194892883300781
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of livingstone,Legislature_right,title,national assembly of zambia,0.5182217955589294
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of calgary,Legislature_right,title,27th alberta legislature,0.5180513858795166
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of shinan,Legislature_right,title,house of councillors (japan),0.517266035079956
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of ibadan,Legislature_right,title,national assembly of niger,0.5171206593513489
ClericalAdministrativeRegion_left.csv,title,melkite greek catholic eparchy of akka,Legislature_right,title,people's assembly (republika srpska),0.5171133279800415
ClericalAdministrativeRegion_left.csv,title,roman catholicism in thailand,Legislature_right,title,national assembly of thailand,0.5162978768348694
ClericalAdministrativeRegion_left.csv,title,roman catholic vicariate apostolic of iles saint pierre and miquelon,Legislature_right,title,senate of haiti,0.5154315829277039
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of lecce,Legislature_right,title,urban council,0.5149693489074707
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of turin,Legislature_right,title,council of states of switzerland,0.5142520666122437
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of comayagua,Legislature_right,title,national assembly of nicaragua,0.5141454935073853
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of pamiers,Legislature_right,title,senate of france,0.5126842260360718
ClericalAdministrativeRegion_left.csv,title,moldovan orthodox church,Legislature_right,title,national assembly of bulgaria,0.5122315883636475
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of bucaramanga,Legislature_right,title,senate of belize,0.5116166472434998
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of athens,Legislature_right,title,house of representatives of cyprus,0.5104069113731384
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of harar,Legislature_right,title,council of representatives of bahrain,0.5099703073501587
ClericalAdministrativeRegion_left.csv,title,diocese of australia and new zealand,Legislature_right,title,new zealand house of representatives,0.5096844434738159
ClericalAdministrativeRegion_left.csv,title,metropolis of bessarabia,Legislature_right,title,parliament of wallonia,0.5089142322540283
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of pretoria,Legislature_right,title,national assembly of namibia,0.5078978538513184
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of palembang,Legislature_right,title,national assembly of cambodia,0.5069989562034607
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of vientiane,Legislature_right,title,senate of liberia,0.5067418813705444
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of northern victoria nyanza,Legislature_right,title,national assembly of seychelles,0.5064558386802673
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of suwon,Legislature_right,title,national assembly of south korea,0.506184458732605
ClericalAdministrativeRegion_left.csv,title,apostolic vicariate of puerto maldonado,Legislature_right,title,national assembly of venezuela,0.5060288906097412
ClericalAdministrativeRegion_left.csv,title,"roman catholic diocese of viana, angola",Legislature_right,title,assembly of the republic of mozambique,0.5056267976760864
ClericalAdministrativeRegion_left.csv,title,roman catholic archdiocese of mendoza,Legislature_right,title,national congress of bolivia,0.5049154162406921
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of mbujimayi,Legislature_right,title,senate of burundi,0.504596471786499
ClericalAdministrativeRegion_left.csv,title,diocese of karlstad,Legislature_right,title,landtag of the saarland,0.5038402676582336
ClericalAdministrativeRegion_left.csv,title,roman catholic diocese of presidente prudente,Legislature_right,title,current members of the bolivian plurinational legislative assembly,0.5036126375198364
