query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Enzyme_left.csv,title,4-sulfomuconolactone hydrolase,Enzyme_right,title,4-sulfomuconolactone hydrolase,1.000000238418579
Enzyme_left.csv,title,carboxypeptidase u,Enzyme_right,title,carboxypeptidase u,1.0000001192092896
Enzyme_left.csv,title,4-hydroxyphenylacetate 3-monooxygenase,Enzyme_right,title,4-hydroxyphenylacetate 3-monooxygenase,0.9999998807907104
Enzyme_left.csv,title,alpha-amylase,Enzyme_right,title,alpha-amylase,0.9999998807907104
Enzyme_left.csv,title,4-cresol dehydrogenase (hydroxylating),Enzyme_right,title,4-cresol dehydrogenase (hydroxylating),0.9999996423721313
Enzyme_left.csv,title,2-hydroxyglutarate dehydrogenase,Enzyme_right,title,l-2-hydroxyglutarate dehydrogenase,0.9754831790924072
Enzyme_left.csv,title,gelatinase b,Enzyme_right,title,gelatinase a,0.9335497617721558
Enzyme_left.csv,title,5-alpha reductase,Enzyme_right,title,5-beta-reductase,0.923524022102356
Enzyme_left.csv,title,ctp synthetase,Enzyme_right,title,ctp synthase,0.917786180973053
Enzyme_left.csv,title,glycerol-3-phosphate dehydrogenase,Enzyme_right,title,sn-glycerol-1-phosphate dehydrogenase,0.9160717725753784
Enzyme_left.csv,title,benzyl-2-methyl-hydroxybutyrate dehydrogenase,Enzyme_right,title,4-hydroxybutyrate dehydrogenase,0.9137394428253174
Enzyme_left.csv,title,17beta hydroxysteroid dehydrogenase,Enzyme_right,title,3beta-hydroxysteroid dehydrogenase,0.8967503309249878
Enzyme_left.csv,title,beta-aspartyl-n-acetylglucosaminidase,Enzyme_right,title,alpha-n-acetylgalactosaminidase,0.889331579208374
Enzyme_left.csv,title,3-keto-steroid reductase,Enzyme_right,title,3-ketosteroid reductase,0.8838465213775635
Enzyme_left.csv,title,protein-methionine-s-oxide reductase,Enzyme_right,title,(methionine synthase) reductase,0.881509006023407
Enzyme_left.csv,title,metionin transaminase,Enzyme_right,title,methionine transaminase,0.8686457872390747
