query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
FootballMatch_left.csv,title,2007 baltic league final,FootballLeagueSeason_right,title,1990 baltic league,0.8982049226760864
FootballMatch_left.csv,title,2010 leinster senior football championship final,FootballLeagueSeason_right,title,meath senior football championship 2010,0.857826828956604
FootballMatch_left.csv,title,1990 soviet cup final,FootballLeagueSeason_right,title,1990 soviet second league,0.8492954969406128
FootballMatch_left.csv,title,2010 turkish super cup,FootballLeagueSeason_right,title,1959 turkish national league,0.8429521322250366
FootballMatch_left.csv,title,2008 munster senior hurling championship final,FootballLeagueSeason_right,title,national hurling league 2008,0.842583417892456
FootballMatch_left.csv,title,2002 asian super cup,FootballLeagueSeason_right,title,2004 super league malaysia,0.8327048420906067
FootballMatch_left.csv,title,2011 a-league grand final,FootballLeagueSeason_right,title,2011 south australian premier league,0.8321206569671631
FootballMatch_left.csv,title,2011 all-ireland senior football championship final,FootballLeagueSeason_right,title,meath senior football championship 2011,0.8320973515510559
FootballMatch_left.csv,title,1989 bulgarian supercup,FootballLeagueSeason_right,title,1990 soviet second league b,0.8314979076385498
FootballMatch_left.csv,title,2009 a-league grand final,FootballLeagueSeason_right,title,2009 south australian premier league,0.8280874490737915
FootballMatch_left.csv,title,2007 all-ireland senior hurling championship final,FootballLeagueSeason_right,title,national hurling league 2007,0.8233692646026611
FootballMatch_left.csv,title,2010 piala indonesia final,FootballLeagueSeason_right,title,2010 indonesia women football tournament,0.8220669031143188
FootballMatch_left.csv,title,2006 all-ireland senior football championship final,FootballLeagueSeason_right,title,meath senior football championship 2012,0.8190377354621887
FootballMatch_left.csv,title,2010 a-league grand final,FootballLeagueSeason_right,title,2010 south australian premier league,0.8161762356758118
FootballMatch_left.csv,title,2009 all-ireland senior ladies' football championship final,FootballLeagueSeason_right,title,meath senior football championship 2009,0.8139593601226807
FootballMatch_left.csv,title,2011 slovenian supercup,FootballLeagueSeason_right,title,slovenian republic league 1946,0.8135823607444763
FootballMatch_left.csv,title,2009 svenska supercupen,FootballLeagueSeason_right,title,2009 swedish football division 2,0.812614381313324
FootballMatch_left.csv,title,2002 norwegian football cup final,FootballLeagueSeason_right,title,2012 norwegian second division,0.8115526437759399
FootballMatch_left.csv,title,2006 ukrainian cup final,FootballLeagueSeason_right,title,ukrainian football amateur league 2002,0.810135006904602
FootballMatch_left.csv,title,2011 svenska supercupen,FootballLeagueSeason_right,title,2011 swedish football division 2,0.8094151020050049
FootballMatch_left.csv,title,2012 svenska supercupen,FootballLeagueSeason_right,title,2012 division 1 (swedish football),0.8083768486976624
FootballMatch_left.csv,title,2000 asian super cup,FootballLeagueSeason_right,title,2005 super league malaysia,0.8079007863998413
FootballMatch_left.csv,title,2013 uefa super cup,FootballLeagueSeason_right,title,2013 v.league 1,0.8025630712509155
FootballMatch_left.csv,title,2009 slovenian supercup,FootballLeagueSeason_right,title,slovenian republic league 1950-51,0.8002916574478149
FootballMatch_left.csv,title,2010 belarusian super cup,FootballLeagueSeason_right,title,1991 soviet second league b,0.7989791631698608
FootballMatch_left.csv,title,2011 bulgarian supercup,FootballLeagueSeason_right,title,1991 soviet second league,0.7969018220901489
FootballMatch_left.csv,title,1988 soviet cup final,FootballLeagueSeason_right,title,1990 soviet first league,0.7967965006828308
FootballMatch_left.csv,title,2012 supercopa argentina,FootballLeagueSeason_right,title,2011 torneo apertura (chile),0.790433406829834
FootballMatch_left.csv,title,2009 liga indonesia premier division final,FootballLeagueSeason_right,title,2009â10 united football league (philippines),0.7886712551116943
FootballMatch_left.csv,title,2009 norwegian football cup final,FootballLeagueSeason_right,title,2012 norwegian third division,0.7876399755477905
FootballMatch_left.csv,title,2010 indonesia super league u-21 final,FootballLeagueSeason_right,title,2009 super league malaysia,0.7865347862243652
FootballMatch_left.csv,title,2007 all-ireland senior football championship final,FootballLeagueSeason_right,title,meath intermediate football championship 2011,0.7860090732574463
FootballMatch_left.csv,title,2012 slovenian supercup,FootballLeagueSeason_right,title,slovenian republic league 1951-52,0.7855575084686279
FootballMatch_left.csv,title,2011 liga indonesia premier division final,FootballLeagueSeason_right,title,2011â12 united football league (philippines),0.7807987928390503
FootballMatch_left.csv,title,2012 leinster senior hurling championship final,FootballLeagueSeason_right,title,meath intermediate football championship 2012,0.7792074084281921
FootballMatch_left.csv,title,2010 bulgarian supercup,FootballLeagueSeason_right,title,1991 soviet first league,0.7761618494987488
FootballMatch_left.csv,title,2005 all-ireland senior football championship final,FootballLeagueSeason_right,title,meath intermediate football championship 2010,0.7760388255119324
FootballMatch_left.csv,title,2009 svenska cupen final,FootballLeagueSeason_right,title,2008 swedish football division 2,0.775259256362915
FootballMatch_left.csv,title,2012 football league two play-off final,FootballLeagueSeason_right,title,2013 v.league 2,0.7740951776504517
FootballMatch_left.csv,title,1995 slovenian supercup,FootballLeagueSeason_right,title,1992 croatian first football league,0.772571325302124
FootballMatch_left.csv,title,2013 svenska cupen final,FootballLeagueSeason_right,title,2013 division 1 (swedish football),0.7713941335678101
FootballMatch_left.csv,title,2005 copa indonesia final,FootballLeagueSeason_right,title,2008 indonesian womens football tournament,0.7708830237388611
FootballMatch_left.csv,title,2007 svenska cupen final,FootballLeagueSeason_right,title,2007 swedish football division 2,0.7699120044708252
FootballMatch_left.csv,title,2008 norwegian football cup final,FootballLeagueSeason_right,title,2013 norwegian first division,0.7684721946716309
FootballMatch_left.csv,title,2010 liga indonesia premier division final,FootballLeagueSeason_right,title,2009 premier league malaysia,0.7673676013946533
FootballMatch_left.csv,title,2010 svenska cupen final,FootballLeagueSeason_right,title,2010 swedish football division 2,0.7672901749610901
FootballMatch_left.csv,title,2004 fa community shield,FootballLeagueSeason_right,title,2004 a-division,0.7642451524734497
FootballMatch_left.csv,title,2004 ukrainian cup final,FootballLeagueSeason_right,title,ukrainian football amateur league 2003,0.7634268999099731
