query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Drug_left.csv,title,girisopam,Drug_left,title,girisopam,1.0000004768371582
Drug_left.csv,title,essentiale,Drug_left,title,essentiale,1.0000004768371582
Drug_left.csv,title,o-1057,Drug_left,title,o-1057,1.0000003576278687
Drug_left.csv,title,"brl-15,572",Drug_left,title,"brl-15,572",1.0000003576278687
Drug_left.csv,title,jwh-398,Drug_left,title,jwh-398,1.0000003576278687
Drug_left.csv,title,tofisopam,Drug_left,title,tofisopam,1.0000003576278687
Drug_left.csv,title,erlizumab,Drug_left,title,erlizumab,1.0000003576278687
Drug_left.csv,title,ceftiofur,Drug_left,title,ceftiofur,1.0000003576278687
Drug_left.csv,title,aderbasib,Drug_left,title,aderbasib,1.0000003576278687
Drug_left.csv,title,etofibrate,Drug_left,title,etofibrate,1.0000003576278687
Drug_left.csv,title,phenibut,Drug_left,title,phenibut,1.000000238418579
Drug_left.csv,title,noretynodrel,Drug_left,title,noretynodrel,1.000000238418579
Drug_left.csv,title,raltitrexed,Drug_left,title,raltitrexed,1.000000238418579
Drug_left.csv,title,kelatorphan,Drug_left,title,kelatorphan,1.000000238418579
Drug_left.csv,title,difluprednate,Drug_left,title,difluprednate,1.000000238418579
Drug_left.csv,title,selamectin,Drug_left,title,selamectin,1.000000238418579
Drug_left.csv,title,pemtumomab,Drug_left,title,pemtumomab,1.000000238418579
Drug_left.csv,title,sucralfate,Drug_left,title,sucralfate,1.000000238418579
Drug_left.csv,title,zolmitriptan,Drug_left,title,zolmitriptan,1.000000238418579
Drug_left.csv,title,raxibacumab,Drug_left,title,raxibacumab,1.000000238418579
Drug_left.csv,title,clofedanol,Drug_left,title,clofedanol,1.000000238418579
Drug_left.csv,title,almorexant,Drug_left,title,almorexant,1.000000238418579
Drug_left.csv,title,minamestane,Drug_left,title,minamestane,1.000000238418579
Drug_left.csv,title,ritipenem,Drug_left,title,ritipenem,1.000000238418579
Drug_left.csv,title,detumomab,Drug_left,title,detumomab,1.000000238418579
Drug_left.csv,title,methoxyflurane,Drug_left,title,methoxyflurane,1.000000238418579
Drug_left.csv,title,bemegride,Drug_left,title,bemegride,1.000000238418579
Drug_left.csv,title,sipuleucel-t,Drug_left,title,sipuleucel-t,1.000000238418579
