query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Drug_left.csv,title,bd1067,TelevisionStation_left,title,w06bd,0.8549604415893555
Drug_left.csv,title,bd1063,TelevisionStation_left,title,w07bp-d,0.8182059526443481
Drug_left.csv,title,jwh-015,TelevisionStation_left,title,k43hn,0.8179535865783691
Drug_left.csv,title,olmesartan,TelevisionStation_left,title,oln,0.8114345073699951
Drug_left.csv,title,ro4491533,TelevisionStation_left,title,k44fk,0.8061509728431702
Drug_left.csv,title,jd5037,TelevisionStation_left,title,k51jf,0.8015098571777344
Drug_left.csv,title,y-23684,TelevisionStation_left,title,yle24,0.7975044250488281
Drug_left.csv,title,jwh-398,TelevisionStation_left,title,k43hb,0.7953864932060242
Drug_left.csv,title,ht-0712,TelevisionStation_left,title,w07bn-d,0.7943239212036133
Drug_left.csv,title,jwh-081,TelevisionStation_left,title,k68dj,0.7935524582862854
Drug_left.csv,title,gts-21,TelevisionStation_left,title,k21gx,0.7919279336929321
Drug_left.csv,title,ro48-8684,TelevisionStation_left,title,k47dr,0.7853085994720459
Drug_left.csv,title,seletracetam,TelevisionStation_left,title,seithigal,0.7848196029663086
Drug_left.csv,title,u0126,TelevisionStation_left,title,k06mu,0.7810289859771729
Drug_left.csv,title,ro60-0213,TelevisionStation_left,title,k56hw,0.7760363817214966
Drug_left.csv,title,jwh-047,TelevisionStation_left,title,w07dp-d,0.773624837398529
Drug_left.csv,title,srt1460,TelevisionStation_left,title,svt24,0.7713010311126709
Drug_left.csv,title,jwh-196,TelevisionStation_left,title,k21jq-d,0.7705695629119873
Drug_left.csv,title,bnc210,TelevisionStation_left,title,w23bc,0.7703599333763123
Drug_left.csv,title,bms-945429,TelevisionStation_left,title,w29cb,0.7660115361213684
Drug_left.csv,title,brl-44408,TelevisionStation_left,title,w47dl-d,0.7647091150283813
Drug_left.csv,title,entacapone,TelevisionStation_left,title,enca,0.7640016674995422
Drug_left.csv,title,sabcomeline,TelevisionStation_left,title,sabc 1,0.7635754346847534
Drug_left.csv,title,jwh-161,TelevisionStation_left,title,w06aw,0.7622876167297363
Drug_left.csv,title,afdx-384,TelevisionStation_left,title,w45dx-d,0.7621392011642456
Drug_left.csv,title,ro10-5824,TelevisionStation_left,title,k54gk,0.7603578567504883
Drug_left.csv,title,bd1052,TelevisionStation_left,title,w67dp,0.7594190239906311
Drug_left.csv,title,motavizumab,TelevisionStation_left,title,mahuaa khobor,0.7592862248420715
Drug_left.csv,title,ah-7921,TelevisionStation_left,title,k67hq,0.7539607286453247
Drug_left.csv,title,valganciclovir,TelevisionStation_left,title,kvnv,0.7477535009384155
Drug_left.csv,title,jwh-185,TelevisionStation_left,title,k17hg,0.7476714253425598
Drug_left.csv,title,elb-139,TelevisionStation_left,title,etb 1,0.745786726474762
Drug_left.csv,title,ver-3323,TelevisionStation_left,title,k04qr,0.745198667049408
Drug_left.csv,title,pf-04457845,TelevisionStation_left,title,k49ff,0.7451300621032715
Drug_left.csv,title,cx-546,TelevisionStation_left,title,w48cx,0.7446681261062622
Drug_left.csv,title,u-50488,TelevisionStation_left,title,k56au,0.7430160045623779
Drug_left.csv,title,sr-48692,TelevisionStation_left,title,k38jk-d,0.7423999309539795
Drug_left.csv,title,zomepirac,TelevisionStation_left,title,zdfkultur,0.7416155934333801
Drug_left.csv,title,jwh-249,TelevisionStation_left,title,k45hw,0.7409461736679077
Drug_left.csv,title,kelatorphan,TelevisionStation_left,title,ketc,0.7400223612785339
Drug_left.csv,title,sdz ser-082,TelevisionStation_left,title,k43gz-d,0.7393907904624939
