query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
EthnicGroup_left.csv,title,tumed,EthnicGroup_left,title,tumed,1.0000005960464478
EthnicGroup_left.csv,title,wathaurong people,EthnicGroup_left,title,wathaurong people,1.0000004768371582
EthnicGroup_left.csv,title,hajjam,EthnicGroup_left,title,hajjam,1.0000004768371582
EthnicGroup_left.csv,title,kashubians,EthnicGroup_left,title,kashubians,1.0000004768371582
EthnicGroup_left.csv,title,arvanites,EthnicGroup_left,title,arvanites,1.0000004768371582
EthnicGroup_left.csv,title,kolla people,EthnicGroup_left,title,kolla people,1.0000003576278687
EthnicGroup_left.csv,title,efik people,EthnicGroup_left,title,efik people,1.0000003576278687
EthnicGroup_left.csv,title,chewa people,EthnicGroup_left,title,chewa people,1.0000003576278687
EthnicGroup_left.csv,title,nigerians in japan,EthnicGroup_left,title,nigerians in japan,1.0000003576278687
EthnicGroup_left.csv,title,lega people,EthnicGroup_left,title,lega people,1.0000003576278687
EthnicGroup_left.csv,title,khagi,EthnicGroup_left,title,khagi,1.0000003576278687
EthnicGroup_left.csv,title,gayonese,EthnicGroup_left,title,gayonese,1.0000003576278687
EthnicGroup_left.csv,title,xueta,EthnicGroup_left,title,xueta,1.0000003576278687
EthnicGroup_left.csv,title,csangos,EthnicGroup_left,title,csangos,1.0000003576278687
EthnicGroup_left.csv,title,nunatukavut people,EthnicGroup_left,title,nunatukavut people,1.0000003576278687
EthnicGroup_left.csv,title,bhatt prabhu,EthnicGroup_left,title,bhatt prabhu,1.000000238418579
EthnicGroup_left.csv,title,hupa,EthnicGroup_left,title,hupa,1.000000238418579
EthnicGroup_left.csv,title,bru people,EthnicGroup_left,title,bru people,1.000000238418579
EthnicGroup_left.csv,title,atsugewi,EthnicGroup_left,title,atsugewi,1.000000238418579
EthnicGroup_left.csv,title,arara people,EthnicGroup_left,title,arara people,1.000000238418579
EthnicGroup_left.csv,title,aweer people,EthnicGroup_left,title,aweer people,1.000000238418579
EthnicGroup_left.csv,title,hawiye,EthnicGroup_left,title,hawiye,1.000000238418579
EthnicGroup_left.csv,title,picayune rancheria of chukchansi indians,EthnicGroup_left,title,picayune rancheria of chukchansi indians,1.000000238418579
EthnicGroup_left.csv,title,fante people,EthnicGroup_left,title,fante people,1.000000238418579
EthnicGroup_left.csv,title,khumra,EthnicGroup_left,title,khumra,1.000000238418579
EthnicGroup_left.csv,title,kadazan people,EthnicGroup_left,title,kadazan people,1.000000238418579
EthnicGroup_left.csv,title,tataviam,EthnicGroup_left,title,tataviam,1.000000238418579
EthnicGroup_left.csv,title,igbo american,EthnicGroup_left,title,igbo american,1.000000238418579
EthnicGroup_left.csv,title,khakas people,EthnicGroup_left,title,khakas people,1.000000238418579
EthnicGroup_left.csv,title,ukit people,EthnicGroup_left,title,ukit people,1.000000238418579
