query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Museum_left.csv,title,archaeological museum of kavala,Museum_left,title,archaeological museum of kavala,1.0000004768371582
Museum_left.csv,title,currency museum of the bank of japan,Museum_left,title,currency museum of the bank of japan,1.0000004768371582
Museum_left.csv,title,n.w.t. mining heritage society,Museum_left,title,n.w.t. mining heritage society,1.0000004768371582
Museum_left.csv,title,nanhai academy,Museum_left,title,nanhai academy,1.0000003576278687
Museum_left.csv,title,myreton motor museum,Museum_left,title,myreton motor museum,1.0000003576278687
Museum_left.csv,title,lambretta scooter museum,Museum_left,title,lambretta scooter museum,1.0000003576278687
Museum_left.csv,title,museum of the order of st john,Museum_left,title,museum of the order of st john,1.0000003576278687
Museum_left.csv,title,princess maha chakri sirindhorn natural history museum,Museum_left,title,princess maha chakri sirindhorn natural history museum,1.0000003576278687
Museum_left.csv,title,haggin museum,Museum_left,title,haggin museum,1.0000003576278687
Museum_left.csv,title,oracabessa bay fish sanctuary,Museum_left,title,oracabessa bay fish sanctuary,1.0000003576278687
Museum_left.csv,title,mccord museum,Museum_left,title,mccord museum,1.0000003576278687
Museum_left.csv,title,the abraham park kenneth vine collection,Museum_left,title,the abraham park kenneth vine collection,1.0000003576278687
Museum_left.csv,title,afif-abad garden,Museum_left,title,afif-abad garden,1.0000003576278687
Museum_left.csv,title,caixaforum barcelona,Museum_left,title,caixaforum barcelona,1.000000238418579
Museum_left.csv,title,coral gables police and fire station,Museum_left,title,coral gables police and fire station,1.000000238418579
Museum_left.csv,title,ruskin museum,Museum_left,title,ruskin museum,1.000000238418579
Museum_left.csv,title,ropkey armor museum,Museum_left,title,ropkey armor museum,1.000000238418579
Museum_left.csv,title,karamanly house museum,Museum_left,title,karamanly house museum,1.000000238418579
Museum_left.csv,title,faena arts center,Museum_left,title,faena arts center,1.000000238418579
Museum_left.csv,title,museum of the american revolution,Museum_left,title,museum of the american revolution,1.000000238418579
Museum_left.csv,title,collings foundation,Museum_left,title,collings foundation,1.000000238418579
Museum_left.csv,title,simferopol art museum,Museum_left,title,simferopol art museum,1.000000238418579
Museum_left.csv,title,national museum soares dos reis,Museum_left,title,national museum soares dos reis,1.000000238418579
Museum_left.csv,title,dr. bhau daji lad museum,Museum_left,title,dr. bhau daji lad museum,1.000000238418579
Museum_left.csv,title,just for laughs museum,Museum_left,title,just for laughs museum,1.000000238418579
Museum_left.csv,title,miller gallery at carnegie mellon university,Museum_left,title,miller gallery at carnegie mellon university,1.000000238418579
Museum_left.csv,title,cokato museum & gust akerlund studio,Museum_left,title,cokato museum & gust akerlund studio,1.000000238418579
Museum_left.csv,title,the education center at the wall,Museum_left,title,the education center at the wall,1.000000238418579
Museum_left.csv,title,glasmuseet ebeltoft,Museum_left,title,glasmuseet ebeltoft,1.000000238418579
Museum_left.csv,title,national center for civil and human rights,Museum_left,title,national center for civil and human rights,1.000000238418579
Museum_left.csv,title,"carnegie public library (tyler, texas)",Museum_left,title,"carnegie public library (tyler, texas)",1.000000238418579
Museum_left.csv,title,dick institute,Museum_left,title,dick institute,1.000000238418579
Museum_left.csv,title,mcmichael canadian art collection,Museum_left,title,mcmichael canadian art collection,1.000000238418579
Museum_left.csv,title,casa buonarroti,Museum_left,title,casa buonarroti,1.000000238418579
