query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
TennisTournament_left.csv,title,2010 aberto de bahia,SoccerTournament_left,title,2011 copa governador do estado da bahia,0.876251757144928
TennisTournament_left.csv,title,2012 siberia cup,SoccerTournament_left,title,2012 tajik cup,0.8702671527862549
TennisTournament_left.csv,title,2012 viccourt cup,SoccerTournament_left,title,2012 vff cup,0.870019793510437
TennisTournament_left.csv,title,2009 mordovia cup,SoccerTournament_left,title,2009 cosafa cup,0.8626575469970703
TennisTournament_left.csv,title,2012 its cup,SoccerTournament_left,title,2012 mff cup,0.8613573312759399
TennisTournament_left.csv,title,2012 copa agco cordoba,SoccerTournament_left,title,2013 copa centroamericana,0.8472801446914673
TennisTournament_left.csv,title,2009 penza cup,SoccerTournament_left,title,2008 cosafa cup,0.8428342342376709
TennisTournament_left.csv,title,2009 oberstaufen cup,SoccerTournament_left,title,2009 cecafa cup,0.8415488004684448
TennisTournament_left.csv,title,2010 oberstaufen cup,SoccerTournament_left,title,2010 cecafa cup,0.8402183055877686
TennisTournament_left.csv,title,2012 fukuoka international women's cup,SoccerTournament_left,title,2012 women's kirin challenge cup,0.839044451713562
TennisTournament_left.csv,title,2010 trani cup,SoccerTournament_left,title,2010 mauritian republic cup,0.8346636295318604
TennisTournament_left.csv,title,2012 empire trnava cup,SoccerTournament_left,title,2012 nbt cup,0.8346378803253174
TennisTournament_left.csv,title,2010 penza cup,SoccerTournament_left,title,2007 cosafa cup,0.8328701853752136
TennisTournament_left.csv,title,2012 copa topper,SoccerTournament_left,title,2012 copa sudamericana,0.8311855792999268
TennisTournament_left.csv,title,2013 torneo internacional agt,SoccerTournament_left,title,2007 copa interclubes uncaf,0.8300766944885254
TennisTournament_left.csv,title,2009 copa sevilla,SoccerTournament_left,title,2009 copa pachuca,0.8276209831237793
TennisTournament_left.csv,title,2008 western & southern financial group masters and women's open,SoccerTournament_left,title,2008 national women's open,0.8248348236083984
TennisTournament_left.csv,title,1991 french open,SoccerTournament_left,title,1991 u.s. open cup,0.8233131170272827
TennisTournament_left.csv,title,2010 mordovia cup,SoccerTournament_left,title,2010 cemac cup,0.8182081580162048
TennisTournament_left.csv,title,2009 regions morgan keegan championships and the cellular south cup,SoccerTournament_left,title,2009 cemac cup,0.816203236579895
TennisTournament_left.csv,title,2008 regions morgan keegan championships and the cellular south cup,SoccerTournament_left,title,2008 cemac cup,0.8159881830215454
TennisTournament_left.csv,title,2005 hopman cup,SoccerTournament_left,title,2005 cemac cup,0.8147517442703247
TennisTournament_left.csv,title,2007 regions morgan keegan championships and the cellular south cup,SoccerTournament_left,title,2007 cemac cup,0.812496542930603
TennisTournament_left.csv,title,2012 lermontov cup,SoccerTournament_left,title,2011 waratah cup,0.812420129776001
TennisTournament_left.csv,title,2009 almaty cup,SoccerTournament_left,title,2009 peace cup,0.811869204044342
TennisTournament_left.csv,title,2012 copa san juan gobierno,SoccerTournament_left,title,copa pachuca 2006,0.8096414804458618
TennisTournament_left.csv,title,2012 qatar airways tournament of champions,SoccerTournament_left,title,2011 sheikh jassem cup,0.8065614700317383
TennisTournament_left.csv,title,2013 vanessa phillips women's tournament,SoccerTournament_left,title,2013 aff women's championship,0.8045767545700073
TennisTournament_left.csv,title,2001 hopman cup,SoccerTournament_left,title,2001 cosafa cup,0.804218590259552
TennisTournament_left.csv,title,2004 hopman cup,SoccerTournament_left,title,2004 cosafa cup,0.8030346632003784
TennisTournament_left.csv,title,2010 copa petrobras montevideo,SoccerTournament_left,title,2010 copa libertadores femenina,0.8025110960006714
TennisTournament_left.csv,title,2009 trani cup,SoccerTournament_left,title,2006 cosafa cup,0.8022934198379517
TennisTournament_left.csv,title,2006 hopman cup,SoccerTournament_left,title,2006 cemac cup,0.7997174263000488
TennisTournament_left.csv,title,2009 rogers cup,SoccerTournament_left,title,2009 uniffac cup,0.7985948324203491
TennisTournament_left.csv,title,2003 hopman cup,SoccerTournament_left,title,2003 cosafa cup,0.7983260154724121
TennisTournament_left.csv,title,2011 commonwealth bank tournament of champions,SoccerTournament_left,title,2011 sultan qaboos cup,0.7968636751174927
TennisTournament_left.csv,title,2010 commonwealth bank tournament of champions,SoccerTournament_left,title,2010 uemoa tournament,0.7958438396453857
TennisTournament_left.csv,title,2011 mubadala world tennis championship (december),SoccerTournament_left,title,2011 consur sevens tournament,0.7953512668609619
TennisTournament_left.csv,title,1999 newsweek champions cup and the evert cup,SoccerTournament_left,title,2000 cosafa cup,0.7922416925430298
