query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
TennisTournament_left.csv,title,2010 pekao szczecin open,Tournament_left,title,2010 pekao szczecin open,1.0000004768371582
TennisTournament_left.csv,title,2011 regions morgan keegan championships and the cellular south cup,Tournament_left,title,2011 regions morgan keegan championships and the cellular south cup,1.0000004768371582
TennisTournament_left.csv,title,2012 john newcombe women's pro challenge,Tournament_left,title,2012 john newcombe women's pro challenge,1.0000003576278687
TennisTournament_left.csv,title,1990 ebel u.s. pro indoor,Tournament_left,title,1990 ebel u.s. pro indoor,1.0000003576278687
TennisTournament_left.csv,title,2010 levene gouldin & thompson tennis challenger,Tournament_left,title,2010 levene gouldin & thompson tennis challenger,1.0000003576278687
TennisTournament_left.csv,title,2009 aon open challenger,Tournament_left,title,2009 aon open challenger,1.0000003576278687
TennisTournament_left.csv,title,2011 aegon classic,Tournament_left,title,2011 aegon classic,1.0000003576278687
TennisTournament_left.csv,title,2010 aon open challenger,Tournament_left,title,2010 aon open challenger,1.000000238418579
TennisTournament_left.csv,title,2011 smart card open monet+,Tournament_left,title,2011 smart card open monet+,1.000000238418579
TennisTournament_left.csv,title,2011 gastein ladies,Tournament_left,title,2011 gastein ladies,1.000000238418579
TennisTournament_left.csv,title,2007 gastein ladies,Tournament_left,title,2007 gastein ladies,1.000000238418579
TennisTournament_left.csv,title,2012 quito challenger,Tournament_left,title,2012 quito challenger,1.000000238418579
TennisTournament_left.csv,title,2011 abn amro world tennis tournament,Tournament_left,title,2011 abn amro world tennis tournament,1.000000238418579
TennisTournament_left.csv,title,2010 aberto de bahia,Tournament_left,title,2010 aberto de bahia,1.000000238418579
TennisTournament_left.csv,title,2009 riviera di rimini challenger,Tournament_left,title,2009 riviera di rimini challenger,1.000000238418579
TennisTournament_left.csv,title,1990 prudential-bache securities classic,Tournament_left,title,1990 prudential-bache securities classic,1.000000238418579
TennisTournament_left.csv,title,2013 mcdonald's burnie international,Tournament_left,title,2013 mcdonald's burnie international,1.000000238418579
TennisTournament_left.csv,title,2012 ningbo challenger,Tournament_left,title,2012 ningbo challenger,1.000000238418579
TennisTournament_left.csv,title,2010 guzzini challenger,Tournament_left,title,2010 guzzini challenger,1.000000238418579
TennisTournament_left.csv,title,2009 black forest open,Tournament_left,title,2009 black forest open,1.0000001192092896
TennisTournament_left.csv,title,2013 open gdf suez seine-et-marne,Tournament_left,title,2013 open gdf suez seine-et-marne,1.0000001192092896
TennisTournament_left.csv,title,2010 trofeo bellaveglia,Tournament_left,title,2010 trofeo bellaveglia,1.0000001192092896
TennisTournament_left.csv,title,2009 comerica bank challenger,Tournament_left,title,2009 comerica bank challenger,1.0000001192092896
TennisTournament_left.csv,title,2012 challenger banque nationale de granby,Tournament_left,title,2012 challenger banque nationale de granby,1.0000001192092896
TennisTournament_left.csv,title,2010 western & southern financial group masters and women's open,Tournament_left,title,2010 western & southern financial group masters and women's open,1.0000001192092896
TennisTournament_left.csv,title,2012 abn amro world tennis tournament,Tournament_left,title,2012 abn amro world tennis tournament,1.0000001192092896
TennisTournament_left.csv,title,2012 odlum brown vancouver open,Tournament_left,title,2012 odlum brown vancouver open,1.0000001192092896
TennisTournament_left.csv,title,2012 moselle open,Tournament_left,title,2012 moselle open,1.0000001192092896
TennisTournament_left.csv,title,2010 samarkand challenger,Tournament_left,title,2010 samarkand challenger,1.0000001192092896
TennisTournament_left.csv,title,2013 charles sturt adelaide international,Tournament_left,title,2013 charles sturt adelaide international,1.0000001192092896
TennisTournament_left.csv,title,2009 tean international,Tournament_left,title,2009 tean international,1.0000001192092896
TennisTournament_left.csv,title,2012 comerica bank challenger,Tournament_left,title,2012 comerica bank challenger,1.0000001192092896
TennisTournament_left.csv,title,2012 men's rimouski challenger,Tournament_left,title,2012 men's rimouski challenger,1.0000001192092896
TennisTournament_left.csv,title,2010 bnp paribas open,Tournament_left,title,2010 bnp paribas open,1.0000001192092896
TennisTournament_left.csv,title,2010 bauer watertechnology cup,Tournament_left,title,2010 bauer watertechnology cup,1.0000001192092896
TennisTournament_left.csv,title,2009 rijeka open,Tournament_left,title,2009 rijeka open,1.0000001192092896
TennisTournament_left.csv,title,2012 aegon pro-series loughborough,Tournament_left,title,2012 aegon pro-series loughborough,1.0
