query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Election_left.csv,title,"new jersey gubernatorial election, 2013",UnitOfWork_left,title,new jersey v. t. l. o.,0.6488381624221802
Election_left.csv,title,"florida gubernatorial election, 2002",UnitOfWork_left,title,bush v. palm beach county canvassing board,0.6400158405303955
Election_left.csv,title,"reform party of new jersey convention, 2012",UnitOfWork_left,title,provident institution for sav. v. mayor of jersey city,0.6262908577919006
Election_left.csv,title,"louisiana attorney general election, 2011",UnitOfWork_left,title,allgeyer v. louisiana,0.6247503757476807
Election_left.csv,title,"hamburg state election, 1993",UnitOfWork_left,title,national socialist party of america v. village of skokie,0.624456524848938
Election_left.csv,title,"navajo nation presidential election, 2006",UnitOfWork_left,title,salazar v. ramah navajo chapter,0.603013277053833
Election_left.csv,title,"virginia gubernatorial election, 2001",UnitOfWork_left,title,lassiter v. northampton county board of elections,0.6012789607048035
Election_left.csv,title,"missouri gubernatorial election, 1820",UnitOfWork_left,title,missouri v. seibert,0.599734902381897
Election_left.csv,title,"oregon gubernatorial election, 2002",UnitOfWork_left,title,apodaca v. oregon,0.5992556810379028
Election_left.csv,title,"north korean parliamentary election, 1972",UnitOfWork_left,title,north korea uncovered,0.5954723358154297
Election_left.csv,title,"north dakota gubernatorial election, 2004",UnitOfWork_left,title,dakota county v. glidden,0.5924819111824036
Election_left.csv,title,"washington attorney general election, 2008",UnitOfWork_left,title,washington v. glucksberg,0.5893657207489014
Election_left.csv,title,"united states senate election in south dakota, 2004",UnitOfWork_left,title,south dakota v. opperman,0.5875251889228821
Election_left.csv,title,"missouri gubernatorial election, 1948",UnitOfWork_left,title,missouri v. mcneely,0.5874727964401245
Election_left.csv,title,"northern territory general election, 1994",UnitOfWork_left,title,bragdon v. abbott,0.582129716873169
Election_left.csv,title,"soviet union legislative election, 1984",UnitOfWork_left,title,communist party v. subversive activities control board,0.5798779726028442
Election_left.csv,title,"illinois gubernatorial election, 2014",UnitOfWork_left,title,illinois v. mcarthur,0.5789411664009094
Election_left.csv,title,"northwest territories general election, 1891",UnitOfWork_left,title,washington v. confederated bands and tribes of the yakima indian nation,0.577194333076477
Election_left.csv,title,"new jersey gubernatorial election, 2005",UnitOfWork_left,title,garrity v. new jersey,0.5734725594520569
Election_left.csv,title,"puerto rico republican primary, 2012",UnitOfWork_left,title,cruz v. beto,0.5724103450775146
Election_left.csv,title,"california state senate elections, 1994",UnitOfWork_left,title,lisenba v. california,0.5714343190193176
Election_left.csv,title,"california superintendent of public instruction election, 2002",UnitOfWork_left,title,forest grove school district v. t. a.,0.5712395906448364
Election_left.csv,title,"minnesota gubernatorial election, 1910",UnitOfWork_left,title,minnesota v. mille lacs band of chippewa indians,0.5688682198524475
Election_left.csv,title,"peoria, illinois city council election, 2001",UnitOfWork_left,title,"city news & novelty, inc. v. waukesha",0.5683512687683105
Election_left.csv,title,"united states senate election in alabama, 1990",UnitOfWork_left,title,alabama v. bozeman,0.5678519010543823
Election_left.csv,title,"elections to the corts of castile-la mancha, 2011",UnitOfWork_left,title,cabell v. chavez-salido,0.5642793774604797
Election_left.csv,title,"puerto rican general election, 2008",UnitOfWork_left,title,posadas de puerto rico associates v. tourism company of puerto rico,0.5638425946235657
Election_left.csv,title,"pennsylvania state treasurer election, 2004",UnitOfWork_left,title,pennsylvania v. mimms,0.5613903999328613
Election_left.csv,title,"connecticut gubernatorial election, 1994",UnitOfWork_left,title,geer v. connecticut,0.5600489974021912
Election_left.csv,title,"united states senate election in georgia, 2004",UnitOfWork_left,title,georgia v. mccollum,0.5597833395004272
Election_left.csv,title,"alabama gubernatorial election, 1994",UnitOfWork_left,title,j.e.b. v. alabama ex rel. t.b.,0.5578746795654297
Election_left.csv,title,"los angeles mayoral election, 1900",UnitOfWork_left,title,city of los angeles v. lyons,0.5546911358833313
Election_left.csv,title,"north carolina lieutenant gubernatorial election, 2004",UnitOfWork_left,title,north carolina v. alford,0.5540604591369629
