query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
NaturalEvent_left.csv,title,1958 lituya bay megatsunami,Wrestler_left,title,misugiiso takuya,0.6391206979751587
NaturalEvent_left.csv,title,1906 meishan earthquake,Wrestler_left,title,feng aigang,0.6073848009109497
NaturalEvent_left.csv,title,1968 tokachi earthquake,Wrestler_left,title,tochinowaka kiyotaka,0.6032909154891968
NaturalEvent_left.csv,title,1945 mikawa earthquake,Wrestler_left,title,shimizugawa motokichi,0.5984746217727661
NaturalEvent_left.csv,title,2000 kipawa earthquake,Wrestler_left,title,hikaru kawabata,0.5904229283332825
NaturalEvent_left.csv,title,2010 yushu earthquake,Wrestler_left,title,yushu kitano,0.5864192843437195
NaturalEvent_left.csv,title,1911 kikai island earthquake,Wrestler_left,title,kisenosato yutaka,0.5851160883903503
NaturalEvent_left.csv,title,1943 tottori earthquake,Wrestler_left,title,tochiazuma tomoyori,0.5832327604293823
NaturalEvent_left.csv,title,1771 great yaeyama tsunami,Wrestler_left,title,masudayama yasuhito,0.5826537013053894
NaturalEvent_left.csv,title,july 2010 iran earthquake,Wrestler_left,title,reza soukhteh-saraei,0.5823713541030884
NaturalEvent_left.csv,title,1889 kumamoto earthquake,Wrestler_left,title,fujiazuma kazuyoshi,0.5818898677825928
NaturalEvent_left.csv,title,1858 hietsu earthquake,Wrestler_left,title,asahiyutaka katsuteru,0.5804541110992432
NaturalEvent_left.csv,title,1964 niigata earthquake,Wrestler_left,title,minoru fujita,0.5787075161933899
NaturalEvent_left.csv,title,1896 meiji-sanriku earthquake,Wrestler_left,title,seiji sakaguchi,0.5756888389587402
NaturalEvent_left.csv,title,1984 otaki earthquake,Wrestler_left,title,masaki okimoto,0.5754097700119019
NaturalEvent_left.csv,title,2001 geiyo earthquake,Wrestler_left,title,mineo fujita,0.5747542381286621
NaturalEvent_left.csv,title,2005 miyagi earthquake,Wrestler_left,title,haguroyama masaji,0.5718387365341187
NaturalEvent_left.csv,title,2001 gujarat earthquake,Wrestler_left,title,gadowar singh sahota,0.5643458366394043
NaturalEvent_left.csv,title,1293 kamakura earthquake,Wrestler_left,title,kayoko haruyama,0.5614336729049683
NaturalEvent_left.csv,title,1974 zhaotong earthquake,Wrestler_left,title,lee wang pyo,0.5600636005401611
NaturalEvent_left.csv,title,1978 miyagi earthquake,Wrestler_left,title,masayoshi motegi,0.5597949028015137
NaturalEvent_left.csv,title,2008 bandar abbas earthquake,Wrestler_left,title,shamseddin seyed-abbasi,0.5594861507415771
NaturalEvent_left.csv,title,2009 shizuoka earthquake,Wrestler_left,title,kazuo yamazaki,0.558946967124939
NaturalEvent_left.csv,title,2008 damxung earthquake,Wrestler_left,title,kim min-chul,0.558941125869751
NaturalEvent_left.csv,title,1868 ecuador earthquakes,Wrestler_left,title,el texano,0.5554898977279663
NaturalEvent_left.csv,title,1979 montenegro earthquake,Wrestler_left,title,ivan poddubny,0.5538755059242249
NaturalEvent_left.csv,title,2012 chiba earthquake,Wrestler_left,title,fujinokawa takeo,0.5497231483459473
NaturalEvent_left.csv,title,2012 kamaishi earthquake,Wrestler_left,title,kohei suwama,0.5479930639266968
NaturalEvent_left.csv,title,2008 chechnya earthquake,Wrestler_left,title,shamil khisamutdinov,0.5454988479614258
NaturalEvent_left.csv,title,2005 fukuoka earthquake,Wrestler_left,title,harashima,0.543930172920227
NaturalEvent_left.csv,title,1894 meiji tokyo earthquake,Wrestler_left,title,kimurayama mamoru,0.5420924425125122
NaturalEvent_left.csv,title,1855 ansei edo earthquake,Wrestler_left,title,yoshiaki fujiwara,0.541861891746521
NaturalEvent_left.csv,title,2012 opunake earthquake,Wrestler_left,title,kintaro ohki,0.5417806506156921
NaturalEvent_left.csv,title,1952 severo-kurilsk tsunami,Wrestler_left,title,kiminishiki toshimasa,0.5412910580635071
NaturalEvent_left.csv,title,1936 miyagi earthquake,Wrestler_left,title,miyabiyama tetsushi,0.5386217832565308
NaturalEvent_left.csv,title,869 jogan sanriku earthquake,Wrestler_left,title,junji hirata,0.5384577512741089
NaturalEvent_left.csv,title,1994 bolivia earthquake,Wrestler_left,title,segundo olmedo,0.5375685691833496
NaturalEvent_left.csv,title,1703 genroku earthquake,Wrestler_left,title,hiroka yaginuma,0.5351210832595825
NaturalEvent_left.csv,title,551 beirut earthquake,Wrestler_left,title,abdulnasser el-oulabi,0.5343492031097412
NaturalEvent_left.csv,title,1969 portugal earthquake,Wrestler_left,title,mosco de la merced,0.534004807472229
NaturalEvent_left.csv,title,1994 mindoro earthquake,Wrestler_left,title,kiyonomori masao,0.533707857131958
NaturalEvent_left.csv,title,1688 izmir earthquake,Wrestler_left,title,ioseb chugoshvili,0.5335201621055603
NaturalEvent_left.csv,title,1983 sea of japan earthquake,Wrestler_left,title,koichiro hirayama,0.5318699479103088
NaturalEvent_left.csv,title,2011 lorca earthquake,Wrestler_left,title,lazaros loizidis,0.531845211982727
NaturalEvent_left.csv,title,2010 kaohsiung earthquakes,Wrestler_left,title,jun kasai,0.5310380458831787
NaturalEvent_left.csv,title,1995 neftegorsk earthquake,Wrestler_left,title,aleksandar kostadinov,0.5308592319488525
NaturalEvent_left.csv,title,1967 caracas earthquake,Wrestler_left,title,gustavo manzur,0.5306639671325684
NaturalEvent_left.csv,title,1981 playa azul earthquake,Wrestler_left,title,filiberto azcuy,0.5298611521720886
NaturalEvent_left.csv,title,1972 ruisui earthquake,Wrestler_left,title,araiwa kamenosuke,0.5279690027236938
NaturalEvent_left.csv,title,1933 sanriku earthquake,Wrestler_left,title,yasaburo sugawara,0.5274839401245117
NaturalEvent_left.csv,title,2012 shwebo earthquake,Wrestler_left,title,kotogahama sadao,0.5256741642951965
NaturalEvent_left.csv,title,1995 guerrero earthquake,Wrestler_left,title,andres labrakis,0.525549054145813
NaturalEvent_left.csv,title,2010 serbia earthquake,Wrestler_left,title,anastasija grigorjeva,0.5254278182983398
NaturalEvent_left.csv,title,2010 afghanistan earthquake,Wrestler_left,title,mohammad ghorbani,0.5253612399101257
NaturalEvent_left.csv,title,2009 izu islands earthquake,Wrestler_left,title,iwakaze kakutaro,0.5252131223678589
NaturalEvent_left.csv,title,1920 garfagnana earthquake,Wrestler_left,title,the great gama,0.5246742963790894
NaturalEvent_left.csv,title,1868 hawaii earthquake,Wrestler_left,title,aobayama hirotoshi,0.5229527354240417
