query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
SportsLeague_left.csv,title,k league,SportsLeague_right,title,k league,1.000000238418579
SportsLeague_left.csv,title,championnat de france amateur 2,SportsLeague_right,title,championnat de france amateur 2,1.0000001192092896
SportsLeague_left.csv,title,gomtv global starcraft ii team league,SportsLeague_right,title,gomtv global starcraft ii team league,1.0000001192092896
SportsLeague_left.csv,title,all stars match,SportsLeague_right,title,all stars match,1.0
SportsLeague_left.csv,title,swedish football division 2,SportsLeague_right,title,swedish football division 2,0.9999999403953552
SportsLeague_left.csv,title,greek men's handball championship,SportsLeague_right,title,greek men's handball championship,0.9999998807907104
SportsLeague_left.csv,title,adriatic water polo league,SportsLeague_right,title,adriatic water polo league,0.9999998807907104
SportsLeague_left.csv,title,gomtv global starcraft ii league,SportsLeague_right,title,gomtv global starcraft ii league,0.9999998211860657
SportsLeague_left.csv,title,slovak 1.liga,SportsLeague_right,title,slovak 1. liga,0.9999996423721313
SportsLeague_left.csv,title,african men's junior handball championship,SportsLeague_right,title,african junior men's handball championship,0.9979763627052307
SportsLeague_left.csv,title,african women's junior handball championship,SportsLeague_right,title,african junior women's handball championship,0.9978487491607666
SportsLeague_left.csv,title,nsw state league division two,SportsLeague_right,title,nsw state league division 2,0.9956071376800537
SportsLeague_left.csv,title,portuguese volleyball second division,SportsLeague_right,title,portuguese volleyball first division,0.9947537183761597
SportsLeague_left.csv,title,naia national women's tennis championship,SportsLeague_right,title,naia women's tennis championship,0.9929397106170654
SportsLeague_left.csv,title,american association (american football),SportsLeague_right,title,american association (football),0.9928334355354309
SportsLeague_left.csv,title,ehf women's champions league,SportsLeague_right,title,women's ehf champions league,0.9917325973510742
SportsLeague_left.csv,title,all-japan university rugby championship,SportsLeague_right,title,all japan university rugby championship,0.9917002320289612
SportsLeague_left.csv,title,naia national women's outdoor track and field championship,SportsLeague_right,title,naia women's outdoor track and field championship,0.9911022782325745
SportsLeague_left.csv,title,fivb volleyball world championship,SportsLeague_right,title,fivb volleyball club world championship,0.9893841743469238
SportsLeague_left.csv,title,naia national softball championship,SportsLeague_right,title,naia softball championship,0.988483190536499
SportsLeague_left.csv,title,naia national volleyball championship,SportsLeague_right,title,naia volleyball championship,0.9865703582763672
SportsLeague_left.csv,title,third macedonian football league,SportsLeague_right,title,macedonian third football league,0.9854567646980286
