query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
NCAATeamSeason_left.csv,title,1934 michigan wolverines football team,SoccerTournament_right,title,football at the 1934 far eastern championship games,0.7134832143783569
NCAATeamSeason_left.csv,title,2002 houston cougars football team,SoccerTournament_right,title,2013 afc u-22 championship,0.7070324420928955
NCAATeamSeason_left.csv,title,2002 canisius golden griffins football team,SoccerTournament_right,title,2010 afl europe championship,0.6929690837860107
NCAATeamSeason_left.csv,title,1965 kentucky wildcats football team,SoccerTournament_right,title,1965 ncaa men's soccer championship,0.6794258952140808
NCAATeamSeason_left.csv,title,2004 east carolina pirates football team,SoccerTournament_right,title,2011 afc beach soccer championship,0.673514187335968
NCAATeamSeason_left.csv,title,1971 usc trojans football team,SoccerTournament_right,title,1971 ncaa men's soccer championship,0.6704508066177368
NCAATeamSeason_left.csv,title,1963 usc trojans football team,SoccerTournament_right,title,1963 ncaa men's soccer championship,0.6677842140197754
NCAATeamSeason_left.csv,title,2002 florida gators football team,SoccerTournament_right,title,2000 aff championship,0.6656310558319092
NCAATeamSeason_left.csv,title,1964 washington state cougars football team,SoccerTournament_right,title,1964 ncaa men's soccer championship,0.6633982062339783
NCAATeamSeason_left.csv,title,1972 usc trojans football team,SoccerTournament_right,title,1972 ncaa university division men's soccer championship,0.6627639532089233
NCAATeamSeason_left.csv,title,1966 notre dame fighting irish football team,SoccerTournament_right,title,1966 ncaa men's soccer championship,0.6624279022216797
NCAATeamSeason_left.csv,title,1962 nebraska cornhuskers football team,SoccerTournament_right,title,1962 ncaa men's soccer championship,0.6600205898284912
NCAATeamSeason_left.csv,title,1967 alabama crimson tide football team,SoccerTournament_right,title,1967 ncaa men's soccer championship,0.6528817415237427
NCAATeamSeason_left.csv,title,1949 wake forest demon deacons football team,SoccerTournament_right,title,nafc championship 1949,0.6516635417938232
NCAATeamSeason_left.csv,title,1968 ucla bruins football team,SoccerTournament_right,title,1968 ncaa men's soccer championship,0.6501803398132324
NCAATeamSeason_left.csv,title,1994 east carolina pirates football team,SoccerTournament_right,title,2013 afc beach soccer championship,0.6495406031608582
NCAATeamSeason_left.csv,title,1969 kansas state wildcats football team,SoccerTournament_right,title,1969 ncaa men's soccer championship,0.6494954824447632
NCAATeamSeason_left.csv,title,1921 centre praying colonels football team,SoccerTournament_right,title,nafc championship 1947,0.6487024426460266
NCAATeamSeason_left.csv,title,1960 the citadel bulldogs football team,SoccerTournament_right,title,1960 ncaa men's soccer championship,0.6483874320983887
NCAATeamSeason_left.csv,title,2006 new mexico lobos football team,SoccerTournament_right,title,2013 south american youth football championship,0.6443250179290771
NCAATeamSeason_left.csv,title,1961 florida state seminoles football team,SoccerTournament_right,title,1961 ncaa men's soccer championship,0.6416926980018616
NCAATeamSeason_left.csv,title,1999 canisius golden griffins football team,SoccerTournament_right,title,1998 aff championship,0.6365563869476318
NCAATeamSeason_left.csv,title,2009 south florida bulls football team,SoccerTournament_right,title,2008 aff championship,0.6353088617324829
NCAATeamSeason_left.csv,title,2009 vmi keydets football team,SoccerTournament_right,title,2009 k-league cup,0.6348512172698975
NCAATeamSeason_left.csv,title,1970 michigan wolverines football team,SoccerTournament_right,title,1970 ncaa men's soccer championship,0.6343574523925781
NCAATeamSeason_left.csv,title,2008 vmi keydets football team,SoccerTournament_right,title,2008 k-league cup,0.6216344833374023
NCAATeamSeason_left.csv,title,2009 new mexico lobos football team,SoccerTournament_right,title,2011 south american under-17 football championship,0.6193089485168457
NCAATeamSeason_left.csv,title,1966 florida gators football team,SoccerTournament_right,title,1996 aff championship,0.6180663108825684
NCAATeamSeason_left.csv,title,2009 unlv rebels football team,SoccerTournament_right,title,2013 ofc u-17 championship,0.6174209117889404
NCAATeamSeason_left.csv,title,1997 canisius golden griffins football team,SoccerTournament_right,title,2000â01 oceania club championship,0.6142634153366089
NCAATeamSeason_left.csv,title,2010 south florida bulls football team,SoccerTournament_right,title,2010 aff championship,0.6116914749145508
NCAATeamSeason_left.csv,title,2012 ucf knights football team,SoccerTournament_right,title,2012 aff championship,0.60962975025177
NCAATeamSeason_left.csv,title,2010 vmi keydets football team,SoccerTournament_right,title,2010 k-league cup,0.6093716621398926
NCAATeamSeason_left.csv,title,2005 florida gators football team,SoccerTournament_right,title,2004 aff championship,0.6088318824768066
NCAATeamSeason_left.csv,title,2002 fresno state bulldogs football team,SoccerTournament_right,title,2002 aff championship,0.6051098108291626
NCAATeamSeason_left.csv,title,2009 southern miss golden eagles football team,SoccerTournament_right,title,2010 south american under-17 women's football championship,0.605021595954895
NCAATeamSeason_left.csv,title,2007 air force falcons football team,SoccerTournament_right,title,2007 aff championship,0.6007838249206543
NCAATeamSeason_left.csv,title,2011 marist red foxes football team,SoccerTournament_right,title,2011 atlantic sun men's soccer tournament,0.5998474359512329
NCAATeamSeason_left.csv,title,2008 new mexico lobos football team,SoccerTournament_right,title,2015 south american youth football championship,0.599748969078064
NCAATeamSeason_left.csv,title,2007 vmi keydets football team,SoccerTournament_right,title,2005â06 ofc club championship,0.5938454866409302
NCAATeamSeason_left.csv,title,2012 fiu panthers football team,SoccerTournament_right,title,2013 afc u-22 championship qualification,0.5868079662322998
NCAATeamSeason_left.csv,title,2011 ucf knights football team,SoccerTournament_right,title,2014 aff championship,0.5866034030914307
NCAATeamSeason_left.csv,title,1991 utah utes football team,SoccerTournament_right,title,north american nations cup 1991,0.5865319967269897
NCAATeamSeason_left.csv,title,1958 notre dame fighting irish football team,SoccerTournament_right,title,dublin super cup,0.5807478427886963
NCAATeamSeason_left.csv,title,2003 southern miss golden eagles football team,SoccerTournament_right,title,2012 south american under-17 women's football championship,0.5748016834259033
NCAATeamSeason_left.csv,title,2003 richmond spiders football team,SoccerTournament_right,title,2004â05 ofc club championship,0.5737580060958862
NCAATeamSeason_left.csv,title,1956 maryland terrapins football team,SoccerTournament_right,title,association football at the 1956 summer olympics,0.5734408497810364
NCAATeamSeason_left.csv,title,2000 southern miss golden eagles football team,SoccerTournament_right,title,2010 south american under-20 women's football championship,0.5726155042648315
NCAATeamSeason_left.csv,title,2011 saint francis red flash football team,SoccerTournament_right,title,2012 south american under-20 women's football championship,0.5637683272361755
NCAATeamSeason_left.csv,title,1988 miami hurricanes football team,SoccerTournament_right,title,1989 caribbean championship,0.5623592138290405
NCAATeamSeason_left.csv,title,2003 georgia tech yellow jackets football team,SoccerTournament_right,title,2003 ofc u-20 championship,0.5583410859107971
NCAATeamSeason_left.csv,title,2011 campbell fighting camels football team,SoccerTournament_right,title,2011â12 united football cup,0.5573097467422485
NCAATeamSeason_left.csv,title,2011 albany great danes football team,SoccerTournament_right,title,2012 sweden invitational (women's football),0.5566757917404175
NCAATeamSeason_left.csv,title,1958 army cadets football team,SoccerTournament_right,title,world military cup 1977,0.5547751784324646
NCAATeamSeason_left.csv,title,1999 miami redhawks football team,SoccerTournament_right,title,1999 beach soccer world championship,0.5538181066513062
NCAATeamSeason_left.csv,title,2011 monmouth hawks football team,SoccerTournament_right,title,2011 conmebol beach soccer championship,0.5521895289421082
NCAATeamSeason_left.csv,title,2008 fiu golden panthers football team,SoccerTournament_right,title,2012 west asian football federation championship,0.5506957769393921
NCAATeamSeason_left.csv,title,2006 hawaii warriors football team,SoccerTournament_right,title,2012 tuvalu independence cup,0.5480871796607971
NCAATeamSeason_left.csv,title,2008 clemson tigers baseball team,SoccerTournament_right,title,2008 caribbean championship,0.5461466312408447
NCAATeamSeason_left.csv,title,2013 florida gators football team,SoccerTournament_right,title,2016 aff championship,0.542838454246521
NCAATeamSeason_left.csv,title,2003 the citadel bulldogs football team,SoccerTournament_right,title,2003 african u-17 championship,0.5414057970046997
NCAATeamSeason_left.csv,title,2000 san jose state spartans football team,SoccerTournament_right,title,2000 beach soccer world championship,0.5407679080963135
NCAATeamSeason_left.csv,title,2011 notre dame fighting irish football team,SoccerTournament_right,title,2011 northern ireland youth soccer tournament,0.5386127233505249
NCAATeamSeason_left.csv,title,1999 east carolina pirates football team,SoccerTournament_right,title,2013 ofc beach soccer championship,0.5380957722663879
NCAATeamSeason_left.csv,title,1977 wake forest demon deacons football team,SoccerTournament_right,title,1977 uefa european under-18 championship,0.5363060832023621
NCAATeamSeason_left.csv,title,2002 memphis tigers football team,SoccerTournament_right,title,2012 j.league cup,0.536014974117279
NCAATeamSeason_left.csv,title,2009 miami hurricanes football team,SoccerTournament_right,title,2010 caribbean championship,0.5359380841255188
NCAATeamSeason_left.csv,title,1997 south carolina gamecocks football team,SoccerTournament_right,title,1997 beach soccer world championship,0.535934329032898
NCAATeamSeason_left.csv,title,2001 south carolina gamecocks football team,SoccerTournament_right,title,2001 beach soccer world championship,0.5354636311531067
NCAATeamSeason_left.csv,title,1907 vmi keydets football team,SoccerTournament_right,title,melanesia cup 1989,0.5325310826301575
NCAATeamSeason_left.csv,title,1998 fresno state bulldogs football team,SoccerTournament_right,title,1998 aff championship qualification,0.5315091013908386
NCAATeamSeason_left.csv,title,1974 wake forest demon deacons football team,SoccerTournament_right,title,1974 uefa european under-18 championship,0.53136146068573
NCAATeamSeason_left.csv,title,1995 east carolina pirates football team,SoccerTournament_right,title,1995 beach soccer world championship,0.530983567237854
NCAATeamSeason_left.csv,title,2010 notre dame fighting irish football team,SoccerTournament_right,title,2010 northern ireland youth soccer tournament,0.5309069156646729
NCAATeamSeason_left.csv,title,2011 north alabama lions football team,SoccerTournament_right,title,2010 african roller hockey club championship,0.5308148860931396
NCAATeamSeason_left.csv,title,1902 vmi keydets football team,SoccerTournament_right,title,melanesia cup 2000,0.5278803110122681
