query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Case_left.csv,title,samuels v. mccurdy,ChristianBishop_left,title,samuel a. mccoskry,0.7058771252632141
Case_left.csv,title,afroyim v. rusk,ChristianBishop_left,title,audishu v khayyath,0.6802093982696533
Case_left.csv,title,cheff v. schnackenberg,ChristianBishop_left,title,james schwebach,0.6551080346107483
Case_left.csv,title,mccleskey v. kemp,ChristianBishop_left,title,william george mccloskey,0.6532915234565735
Case_left.csv,title,conley v. gibson,ChristianBishop_left,title,james d. conley,0.6461207866668701
Case_left.csv,title,ex parte quirin,ChristianBishop_left,title,severo aparicio quispe,0.6371794939041138
Case_left.csv,title,zemel v. rusk,ChristianBishop_left,title,alexander m. zaleski,0.6297642588615417
Case_left.csv,title,superintendent v. hill,ChristianBishop_left,title,william j. kerby,0.6253490447998047
Case_left.csv,title,ricci v. destefano,ChristianBishop_left,title,arthur j. serratelli,0.6250139474868774
Case_left.csv,title,the paquete habana,ChristianBishop_left,title,ercole lupinacci,0.621601939201355
Case_left.csv,title,olmstead v. l.c.,ChristianBishop_left,title,thomas olmsted,0.6203935146331787
Case_left.csv,title,james v. illinois,ChristianBishop_left,title,james l. jelinek,0.619996190071106
Case_left.csv,title,duncan v. kahanamoku,ChristianBishop_left,title,yahballaha v,0.6092790961265564
Case_left.csv,title,gregory v. hartley,ChristianBishop_left,title,gregory john hartmayer,0.6054741740226746
Case_left.csv,title,linda r. s. v. richard d.,ChristianBishop_left,title,richard j. sklba,0.6033759117126465
Case_left.csv,title,lopez v. gonzales,ChristianBishop_left,title,luis rojas mena,0.599183976650238
Case_left.csv,title,mcneil v. wisconsin,ChristianBishop_left,title,john j. mcneill,0.5982489585876465
Case_left.csv,title,schriro v. summerlin,ChristianBishop_left,title,william c. skurla,0.5981729030609131
Case_left.csv,title,healy v. james,ChristianBishop_left,title,james e. kearney,0.5938969850540161
Case_left.csv,title,mazer v. stein,ChristianBishop_left,title,ola m. steinholt,0.5937970876693726
Case_left.csv,title,christensen v. harris county,ChristianBishop_left,title,peter f. christensen,0.5935040712356567
Case_left.csv,title,swain v. alabama,ChristianBishop_left,title,paul j. swain,0.5928395986557007
Case_left.csv,title,commissioner v. sunnen,ChristianBishop_left,title,j. peter sartain,0.591445803642273
Case_left.csv,title,gomez-perez v. potter,ChristianBishop_left,title,pedro moya de contreras,0.5866796970367432
Case_left.csv,title,united states v. montoya de hernandez,ChristianBishop_left,title,juan de arechederra,0.5858570337295532
Case_left.csv,title,caban v. mohammed,ChristianBishop_left,title,riah abu el-assal,0.5857858657836914
Case_left.csv,title,mitchell v. helms,ChristianBishop_left,title,mitchell t. rozanski,0.5855457186698914
Case_left.csv,title,director of revenue of missouri v. cobank acb,ChristianBishop_left,title,charles sumner burch,0.5853714942932129
Case_left.csv,title,shaw v. murphy,ChristianBishop_left,title,john tuohill murphy,0.5844930410385132
