query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
ChristianBishop_left.csv,title,john charles mcquaid,MemberOfParliament_left,title,john mcquade,0.8878006339073181
ChristianBishop_left.csv,title,robert kilgour,MemberOfParliament_left,title,david kilgour,0.867917537689209
ChristianBishop_left.csv,title,michael heiss,MemberOfParliament_left,title,michael shersby,0.8569559454917908
ChristianBishop_left.csv,title,anton vovk,MemberOfParliament_left,title,anton weselak,0.8473992347717285
ChristianBishop_left.csv,title,david lunn,MemberOfParliament_left,title,william lunn,0.8464374542236328
ChristianBishop_left.csv,title,pierre dumaine,MemberOfParliament_left,title,nicolas dufour,0.8456279039382935
ChristianBishop_left.csv,title,peter kwong,MemberOfParliament_left,title,peter chin fah kui,0.8442098498344421
ChristianBishop_left.csv,title,john bokyngham,MemberOfParliament_left,title,john boscawen,0.8431658744812012
ChristianBishop_left.csv,title,michael hannan,MemberOfParliament_left,title,george hannan,0.8405930995941162
ChristianBishop_left.csv,title,geoffrey tiarks,MemberOfParliament_left,title,geoffrey hirst,0.837389349937439
ChristianBishop_left.csv,title,robert wishart,MemberOfParliament_left,title,pete wishart,0.8357601761817932
ChristianBishop_left.csv,title,john jobst,MemberOfParliament_left,title,john mant,0.8344208002090454
ChristianBishop_left.csv,title,peter sugandhar,MemberOfParliament_left,title,r. sampanthan,0.8342071771621704
ChristianBishop_left.csv,title,anthony pilla,MemberOfParliament_left,title,anthony rota,0.8327497243881226
ChristianBishop_left.csv,title,reginald brian,MemberOfParliament_left,title,reginald burchell,0.8299487829208374
ChristianBishop_left.csv,title,robert warelwast,MemberOfParliament_left,title,robert bonnett,0.8265319466590881
ChristianBishop_left.csv,title,paul larocque,MemberOfParliament_left,title,paul lahaye,0.8246641159057617
ChristianBishop_left.csv,title,john gaisford,MemberOfParliament_left,title,john gaha,0.8235703706741333
ChristianBishop_left.csv,title,john timon,MemberOfParliament_left,title,john tia,0.8218709230422974
ChristianBishop_left.csv,title,stuart snell,MemberOfParliament_left,title,stuart ayres,0.8191521167755127
ChristianBishop_left.csv,title,michel pollien,MemberOfParliament_left,title,michel gauthier,0.8191272020339966
ChristianBishop_left.csv,title,richard rawlins,MemberOfParliament_left,title,richard marles,0.8182587623596191
ChristianBishop_left.csv,title,wolfgang nastainczyk,MemberOfParliament_left,title,stefan tymkewycz,0.818058967590332
ChristianBishop_left.csv,title,clive handford,MemberOfParliament_left,title,clive efford,0.8179671764373779
ChristianBishop_left.csv,title,anton schlembach,MemberOfParliament_left,title,frederick schramm,0.816626787185669
ChristianBishop_left.csv,title,louis falk,MemberOfParliament_left,title,franc falkiner,0.8150176405906677
ChristianBishop_left.csv,title,george henry guilfoyle,MemberOfParliament_left,title,george fulford,0.8145748972892761
ChristianBishop_left.csv,title,ebenezer ntlali,MemberOfParliament_left,title,mbali ntuli,0.8143501281738281
ChristianBishop_left.csv,title,leslie stradling,MemberOfParliament_left,title,leslie spriggs,0.8131556510925293
ChristianBishop_left.csv,title,mark pae,MemberOfParliament_left,title,mark prisk,0.8111470937728882
ChristianBishop_left.csv,title,frank whittaker,MemberOfParliament_left,title,frank byers,0.8109023571014404
ChristianBishop_left.csv,title,aberi balya,MemberOfParliament_left,title,vajira abeywardena,0.8107812404632568
ChristianBishop_left.csv,title,gerald vernon,MemberOfParliament_left,title,vernon hartshorn,0.809947669506073
ChristianBishop_left.csv,title,michael manktelow,MemberOfParliament_left,title,michael mackellar,0.8083482384681702
ChristianBishop_left.csv,title,andrew thomas mcdonald,MemberOfParliament_left,title,andrew mcelwee,0.8078357577323914
ChristianBishop_left.csv,title,mathias sigwardt,MemberOfParliament_left,title,markus wiechel,0.8071987628936768
ChristianBishop_left.csv,title,john holbrook,MemberOfParliament_left,title,john goundry holburn,0.8070183992385864
ChristianBishop_left.csv,title,david farrer,MemberOfParliament_left,title,david storrer,0.806442141532898
ChristianBishop_left.csv,title,john sheppey,MemberOfParliament_left,title,john heppell,0.8058942556381226
ChristianBishop_left.csv,title,william whittlesey,MemberOfParliament_left,title,william cautley,0.8058874011039734
ChristianBishop_left.csv,title,john patrick comiskey,MemberOfParliament_left,title,john mcallion,0.8029241561889648
ChristianBishop_left.csv,title,eric mercer,MemberOfParliament_left,title,eric martlew,0.8012464046478271
ChristianBishop_left.csv,title,john favalora,MemberOfParliament_left,title,john panizza,0.8009743094444275
ChristianBishop_left.csv,title,michael gregory campbell,MemberOfParliament_left,title,clem campbell,0.799416184425354
ChristianBishop_left.csv,title,gregory michael aymond,MemberOfParliament_left,title,gregory krumbock,0.7988234758377075
ChristianBishop_left.csv,title,edward joseph hunkeler,MemberOfParliament_left,title,ed husic,0.7985690832138062
ChristianBishop_left.csv,title,leo edward o'neil,MemberOfParliament_left,title,leo mcleay,0.7976617217063904
ChristianBishop_left.csv,title,ernest wilberforce,MemberOfParliament_left,title,ernest wetherell,0.7972822785377502
ChristianBishop_left.csv,title,robert atwell,MemberOfParliament_left,title,bill attewell,0.7967382073402405
ChristianBishop_left.csv,title,robert baird mcclure,MemberOfParliament_left,title,robert mccleave,0.7965616583824158
ChristianBishop_left.csv,title,henry murdac,MemberOfParliament_left,title,henry mcghee,0.7965235114097595
ChristianBishop_left.csv,title,richard swinefield,MemberOfParliament_left,title,richard sleath,0.796299934387207
ChristianBishop_left.csv,title,charles baring,MemberOfParliament_left,title,charles adermann,0.7959425449371338
ChristianBishop_left.csv,title,james magauran,MemberOfParliament_left,title,james cran,0.7944165468215942
ChristianBishop_left.csv,title,cyril mar baselios,MemberOfParliament_left,title,cyril de zoysa,0.7940050363540649
ChristianBishop_left.csv,title,leo binz,MemberOfParliament_left,title,leo abse,0.7932056784629822
ChristianBishop_left.csv,title,henrik reuterdahl,MemberOfParliament_left,title,arild lund,0.7931628823280334
ChristianBishop_left.csv,title,mark sowerby,MemberOfParliament_left,title,mark coulton,0.7924671173095703
ChristianBishop_left.csv,title,john ponet,MemberOfParliament_left,title,john seneviratne,0.7920002937316895
ChristianBishop_left.csv,title,joseph oliver bowers,MemberOfParliament_left,title,john oates bower,0.7917782068252563
ChristianBishop_left.csv,title,nick holtam,MemberOfParliament_left,title,nick raynsford,0.7915009260177612
ChristianBishop_left.csv,title,kevin vann,MemberOfParliament_left,title,dave van kesteren,0.7906541228294373
ChristianBishop_left.csv,title,john chishull,MemberOfParliament_left,title,john gunnell,0.7901502847671509
ChristianBishop_left.csv,title,edward john herrmann,MemberOfParliament_left,title,edward heitmann,0.7901196479797363
ChristianBishop_left.csv,title,tunberht,MemberOfParliament_left,title,thein tun,0.789640486240387
ChristianBishop_left.csv,title,eric pike,MemberOfParliament_left,title,eric deeral,0.7886666059494019
ChristianBishop_left.csv,title,john dauglish,MemberOfParliament_left,title,john dunwoody,0.7876916527748108
ChristianBishop_left.csv,title,kieran conry,MemberOfParliament_left,title,kevin conolly,0.7872685194015503
ChristianBishop_left.csv,title,arthur browne,MemberOfParliament_left,title,arthur blenkinsop,0.7871271371841431
ChristianBishop_left.csv,title,juan de quevedo,MemberOfParliament_left,title,manuel de freitas,0.7867412567138672
