query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
MotorsportSeason_left.csv,title,2009 north american under 21 world qualifier,Tournament_right,title,2012 south american under 17 women championship,0.8430522680282593
MotorsportSeason_left.csv,title,1998 efda nations cup,Tournament_right,title,1998 aff championship qualification,0.8366076946258545
MotorsportSeason_left.csv,title,1991 efda nations cup,Tournament_right,title,north american nations cup 1991,0.8340432047843933
MotorsportSeason_left.csv,title,1992 efda nations cup,Tournament_right,title,melanesia cup 1992,0.8320086002349854
MotorsportSeason_left.csv,title,1990 efda nations cup,Tournament_right,title,melanesia cup 1990,0.8307956457138062
MotorsportSeason_left.csv,title,2007 north american under 21 world qualifier,Tournament_right,title,2007 south american youth championship,0.8165428638458252
MotorsportSeason_left.csv,title,2013 u.s. f2000 national championship,Tournament_right,title,2013 ofc u-17 championship,0.811130940914154
MotorsportSeason_left.csv,title,2008 north american under 21 world qualifier,Tournament_right,title,2010 south american under-17 women's championship,0.8080489635467529
MotorsportSeason_left.csv,title,2009 motocross des nations,Tournament_right,title,2012 challenger banque nationale de saguenay,0.807876467704773
MotorsportSeason_left.csv,title,2011 super copa telcel,Tournament_right,title,2004 copa de tejas,0.8058128356933594
MotorsportSeason_left.csv,title,1996 efda nations cup,Tournament_right,title,melanesia cup 2000,0.7894270420074463
MotorsportSeason_left.csv,title,1995 efda nations cup,Tournament_right,title,1995 african under-17 championship,0.7853010892868042
MotorsportSeason_left.csv,title,2013 campeonato brasileiro de turismo season,Tournament_right,title,campeonato internacional de tenis de santos,0.7839829325675964
MotorsportSeason_left.csv,title,2011 eurocup clio season,Tournament_right,title,2006â07 ofc champions league,0.7809314727783203
MotorsportSeason_left.csv,title,1993 efda nations cup,Tournament_right,title,melanesia cup 1989,0.7781346440315247
MotorsportSeason_left.csv,title,2012 international gt open season,Tournament_right,title,2012 korea open,0.7764067649841309
MotorsportSeason_left.csv,title,2010 team ice racing world championship,Tournament_right,title,2010 rink hockey men's b world championship,0.7583996057510376
MotorsportSeason_left.csv,title,2009 asa midwest tour season,Tournament_right,title,nationwide tour championship,0.7561578154563904
MotorsportSeason_left.csv,title,2008 european touring car cup,Tournament_right,title,mercedescup,0.7469382286071777
MotorsportSeason_left.csv,title,2003 australian under-21 individual speedway championship,Tournament_right,title,2003 ofc u-20 championship,0.7463198900222778
MotorsportSeason_left.csv,title,2013 racecar euro series,Tournament_right,title,2012 challenger banque nationale de rimouski,0.7441449165344238
MotorsportSeason_left.csv,title,2011 international gt open season,Tournament_right,title,tour championship of canada,0.7396072149276733
MotorsportSeason_left.csv,title,2005 european speedway club champions' cup,Tournament_right,title,2005â06 ofc club championship,0.7332611083984375
MotorsportSeason_left.csv,title,2012 copa fiat brasil season,Tournament_right,title,brasil champions,0.7327906489372253
MotorsportSeason_left.csv,title,2013 international gt open season,Tournament_right,title,2013 challenger banque nationale de rimouski,0.7314819097518921
MotorsportSeason_left.csv,title,2004 european speedway club champions' cup,Tournament_right,title,2004â05 ofc club championship,0.7300974130630493
MotorsportSeason_left.csv,title,1999 european speedway club champions' cup,Tournament_right,title,1999 uefa european under-18 championship,0.729034423828125
MotorsportSeason_left.csv,title,2000 australian drivers' championship,Tournament_right,title,2000â01 oceania club championship,0.7285484671592712
MotorsportSeason_left.csv,title,2008 team long track world championship,Tournament_right,title,2008 ofc men's olympic qualifying tournament,0.7262639999389648
MotorsportSeason_left.csv,title,2011 race of champions,Tournament_right,title,2012 arimex challenger trophy,0.7260544300079346
MotorsportSeason_left.csv,title,1997 race of champions,Tournament_right,title,1997 tournoi de france,0.7251180410385132
MotorsportSeason_left.csv,title,2012 u.s. f2000 national championship,Tournament_right,title,2012 aff championship,0.7247391939163208
MotorsportSeason_left.csv,title,1976 golden helmet (poland),Tournament_right,title,world military cup 1977,0.7243402004241943
MotorsportSeason_left.csv,title,2012 dunlop v8 supercar series,Tournament_right,title,2012 aegon pro-series loughborough,0.7232112288475037
MotorsportSeason_left.csv,title,2011 u.s. f2000 national championship,Tournament_right,title,2011 atlantic sun men's soccer tournament,0.7228108048439026
MotorsportSeason_left.csv,title,2009 plfa season,Tournament_right,title,2009 k-league cup,0.7224441766738892
MotorsportSeason_left.csv,title,2001 european speedway club champions' cup,Tournament_right,title,2001 uefa european under-18 championship,0.720811128616333
MotorsportSeason_left.csv,title,2011 gt4 european cup season,Tournament_right,title,2011 k-league cup,0.7190306186676025
MotorsportSeason_left.csv,title,2012 race of champions,Tournament_right,title,2012 caribbean championship,0.7181341648101807
MotorsportSeason_left.csv,title,2009 international gt open season,Tournament_right,title,senior open championship,0.7174767255783081
MotorsportSeason_left.csv,title,2000 sports racing world cup season,Tournament_right,title,2000 beach soccer world championship,0.7169131636619568
MotorsportSeason_left.csv,title,2010 race of champions,Tournament_right,title,2010 caribbean championship,0.7166612148284912
MotorsportSeason_left.csv,title,1989 speedway world team cup,Tournament_right,title,1989 caribbean championship,0.7147983312606812
MotorsportSeason_left.csv,title,2011 plfa season,Tournament_right,title,2011 j.league cup,0.7142519950866699
MotorsportSeason_left.csv,title,2000 european speedway club champions' cup,Tournament_right,title,2000 uefa european under-18 championship,0.7136367559432983
MotorsportSeason_left.csv,title,2003 australian carrera cup championship,Tournament_right,title,2005 setanta cup,0.7129050493240356
MotorsportSeason_left.csv,title,2011 dakar rally,Tournament_right,title,2011 challenger banque nationale de rimouski,0.7100878357887268
MotorsportSeason_left.csv,title,2012 formula 3 brazil open,Tournament_right,title,2011 challenger banque nationale de saguenay,0.7083029747009277
MotorsportSeason_left.csv,title,2007 plfa season,Tournament_right,title,2007 aff championship,0.7063889503479004
MotorsportSeason_left.csv,title,2002 european speedway club champions' cup,Tournament_right,title,2002 uefa european under-21 championship,0.7038568258285522
MotorsportSeason_left.csv,title,2010 asa midwest tour season,Tournament_right,title,wichita open,0.7034786939620972
MotorsportSeason_left.csv,title,2008 race of champions,Tournament_right,title,2008 caribbean championship,0.703376829624176
MotorsportSeason_left.csv,title,2012 australian drivers' championship,Tournament_right,title,2012 commonwealth bank tournament of champions,0.7020282745361328
MotorsportSeason_left.csv,title,1998 race of champions,Tournament_right,title,1998 challenge bell,0.7016575336456299
MotorsportSeason_left.csv,title,2008 plfa season,Tournament_right,title,2008 aff championship,0.7012200355529785
MotorsportSeason_left.csv,title,2009 gt4 european cup season,Tournament_right,title,2009 uefa european under-21 championship,0.6988095045089722
MotorsportSeason_left.csv,title,2000 european super touring cup season,Tournament_right,title,2000 uefa european under-21 championship,0.6981651782989502
MotorsportSeason_left.csv,title,2010 all-japan formula three season,Tournament_right,title,shigeo nagashima invitational sega sammy cup,0.6981251835823059
MotorsportSeason_left.csv,title,2009 race of champions,Tournament_right,title,2009 challenge bell,0.696323037147522
MotorsportSeason_left.csv,title,2008 silver helmet (poland),Tournament_right,title,2010 challenger banque nationale de rimouski,0.6949698328971863
MotorsportSeason_left.csv,title,2011 trofeo linea brasil season,Tournament_right,title,2011 south american under-17 football championship,0.692682683467865
MotorsportSeason_left.csv,title,2012 speedway grand prix qualification,Tournament_right,title,2012 caribbean championship qualification,0.6914039850234985
MotorsportSeason_left.csv,title,2012 plfa season,Tournament_right,title,2012 aff championship qualification,0.6899996995925903
MotorsportSeason_left.csv,title,2001 formula renault 2000 eurocup season,Tournament_right,title,2000 uefa european under-16 championship,0.6894276142120361
MotorsportSeason_left.csv,title,2008 team speedway junior european championship,Tournament_right,title,2008 uefa european under-17 championship,0.689323902130127
MotorsportSeason_left.csv,title,2012 asa midwest tour season,Tournament_right,title,pennsylvania lawn tennis championships,0.6853859424591064
MotorsportSeason_left.csv,title,2004 race of champions,Tournament_right,title,michelob championship,0.6836196780204773
MotorsportSeason_left.csv,title,2003 formula renault v6 eurocup season,Tournament_right,title,2003 uefa european under-19 championship,0.6835397481918335
MotorsportSeason_left.csv,title,2007 european speedway club champions' cup,Tournament_right,title,2007 uefa european under-21 championship,0.683417022228241
MotorsportSeason_left.csv,title,1998 euro open by nissan season,Tournament_right,title,sofia open (tennis),0.6820038557052612
MotorsportSeason_left.csv,title,2013 nascar sprint cup series,Tournament_right,title,at&t byron nelson championship,0.6811983585357666
MotorsportSeason_left.csv,title,2009 european speedway club champions' cup,Tournament_right,title,2009 uefa european under-17 championship,0.6810397505760193
MotorsportSeason_left.csv,title,2010 gt brasil season,Tournament_right,title,2010 viva world cup,0.6809550523757935
MotorsportSeason_left.csv,title,1998 australian formula ford championship,Tournament_right,title,1998 aff championship,0.6802254915237427
MotorsportSeason_left.csv,title,2006 plfa season,Tournament_right,title,2007 aff championship qualification,0.6800196170806885
MotorsportSeason_left.csv,title,2007 race of champions,Tournament_right,title,2008 challenge bell,0.6791232228279114
MotorsportSeason_left.csv,title,2011 team long track world championship,Tournament_right,title,2012 ofc men's olympic qualifying tournament,0.6786402463912964
MotorsportSeason_left.csv,title,2011 eurocup formula renault 2.0 season,Tournament_right,title,2011 uefa european under-21 championship,0.6782374978065491
MotorsportSeason_left.csv,title,2006 european speedway club champions' cup,Tournament_right,title,2006 uefa european under-21 championship,0.6781260967254639
MotorsportSeason_left.csv,title,1999 individual speedway junior european championship,Tournament_right,title,1999 uefa european under-16 championship,0.6756740808486938
MotorsportSeason_left.csv,title,1997 north american touring car championship season,Tournament_right,title,1997 challenge bell,0.6753623485565186
MotorsportSeason_left.csv,title,2011 copa chevrolet montana season,Tournament_right,title,2011 kagame inter-club cup,0.6753126382827759
MotorsportSeason_left.csv,title,2008 european speedway club champions' cup,Tournament_right,title,2008 uefa european under-19 championship,0.6746149659156799
MotorsportSeason_left.csv,title,1999 euro open by nissan season,Tournament_right,title,allianz golf open de lyon,0.6739223003387451
MotorsportSeason_left.csv,title,2007 asa midwest tour season,Tournament_right,title,atp tulsa,0.6721625328063965
MotorsportSeason_left.csv,title,1984 all japan endurance championship season,Tournament_right,title,asian amateur championship,0.6700284481048584
MotorsportSeason_left.csv,title,iroc xiv,Tournament_right,title,insperity invitational,0.668771505355835
MotorsportSeason_left.csv,title,2012 nacam rally championship,Tournament_right,title,the championship at laguna national,0.6677361130714417
MotorsportSeason_left.csv,title,2002 individual speedway junior european championship,Tournament_right,title,2002 uefa european under-17 championship,0.6675226092338562
