query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Award_left.csv,title,omaha trophy,BasketballTeam_right,title,omaha racers,0.7299136519432068
Award_left.csv,title,ekushey padak,BasketballTeam_right,title,kk krka,0.7292919158935547
Award_left.csv,title,georg-christoph-lichtenberg-preis,BasketballTeam_right,title,mhp riesen ludwigsburg,0.7159508466720581
Award_left.csv,title,netet e klipit shqiptar,BasketballTeam_right,title,muba hangtuah sumatera selatan,0.6945256590843201
Award_left.csv,title,premios texas,BasketballTeam_right,title,toros de nuevo laredo,0.6912670135498047
Award_left.csv,title,usila all-american team,BasketballTeam_right,title,al rayan sc basketball team,0.6870875954627991
Award_left.csv,title,state prize of the russian federation,BasketballTeam_right,title,bc minsk-2006,0.6719964742660522
Award_left.csv,title,2001 afl rising star,BasketballTeam_right,title,melbourne united,0.6638495922088623
Award_left.csv,title,paeksang arts awards,BasketballTeam_right,title,satria muda pertamina jakarta,0.6585683822631836
Award_left.csv,title,list of senior class award men's basketball winners,BasketballTeam_right,title,jalaa sc (men's basketball),0.6514610052108765
Award_left.csv,title,kalaimamani,BasketballTeam_right,title,kk olimpija,0.6488137245178223
Award_left.csv,title,list of men's basketball academic all-america team members of the year,BasketballTeam_right,title,u.d. oliveirense (basketball),0.6469181776046753
Award_left.csv,title,prix italia,BasketballTeam_right,title,bc juventus,0.6350992918014526
Award_left.csv,title,bouchercon xxxix,BasketballTeam_right,title,pallacanestro don bosco livorno,0.6288228034973145
Award_left.csv,title,grameenphone prothom-alo sports awards,BasketballTeam_right,title,ezzahra sports,0.6264889240264893
Award_left.csv,title,copa libertadores (trophy),BasketballTeam_right,title,fc porto (basketball),0.6264194250106812
Award_left.csv,title,premios lo nuestro 2006,BasketballTeam_right,title,cb ciudad de algeciras,0.6247938275337219
Award_left.csv,title,bouchercon xxx,BasketballTeam_right,title,somb boulogne-sur-mer,0.6241506338119507
Award_left.csv,title,brunswick-balke collender cup,BasketballTeam_right,title,sporting bc,0.621380090713501
Award_left.csv,title,sporting news men's college basketball player of the year,BasketballTeam_right,title,gigantes de carolina (men's basketball),0.620847225189209
Award_left.csv,title,candide preis,BasketballTeam_right,title,rakvere tarvas,0.6115278005599976
Award_left.csv,title,lennart johanssons pokal,BasketballTeam_right,title,kk slavonski brod,0.6098535060882568
Award_left.csv,title,armia krajowa cross,BasketballTeam_right,title,kk vojvodina srbijagas,0.6073074340820312
Award_left.csv,title,palanca awards,BasketballTeam_right,title,bc palanga,0.6046925187110901
Award_left.csv,title,sprint cup (trophy),BasketballTeam_right,title,galatasaray s.k. (men's basketball),0.6034730672836304
Award_left.csv,title,star awards,BasketballTeam_right,title,belfast star,0.601786732673645
Award_left.csv,title,colonial athletic association men's basketball coach of the year,BasketballTeam_right,title,kent crusaders (basketball),0.5975843071937561
Award_left.csv,title,mtv indonesia movie awards,BasketballTeam_right,title,aspac jakarta,0.597359836101532
Award_left.csv,title,chinese music awards,BasketballTeam_right,title,shandong golden stars,0.5950531363487244
Award_left.csv,title,guldbollen,BasketballTeam_right,title,piimameister otto/rapla,0.5936405658721924
Award_left.csv,title,gold dagger,BasketballTeam_right,title,ulriken elite,0.5918017625808716
Award_left.csv,title,sami rohr prize for jewish literature,BasketballTeam_right,title,maccabi ra'anana,0.587037980556488
Award_left.csv,title,premios tvynovelas,BasketballTeam_right,title,halcones de xalapa,0.5860689878463745
Award_left.csv,title,balkan music awards,BasketballTeam_right,title,sk valmiera,0.5838580131530762
Award_left.csv,title,naismith college player of the year,BasketballTeam_right,title,al ittihad alexandria (basketball),0.5820353031158447
Award_left.csv,title,sanatan sangeet sanskriti,BasketballTeam_right,title,pelita jaya energi mega persada,0.5813606977462769
Award_left.csv,title,seiun award,BasketballTeam_right,title,bnei hasharon,0.5813530683517456
Award_left.csv,title,helms foundation college basketball player of the year,BasketballTeam_right,title,cs otopeni (basketball),0.5779179930686951
Award_left.csv,title,premios oye! 2008,BasketballTeam_right,title,unes fc barcelona,0.5775676965713501
Award_left.csv,title,best overall record trophy (piha),BasketballTeam_right,title,al kuwait sc (basketball),0.5770753622055054
Award_left.csv,title,grey cup,BasketballTeam_right,title,surrey scorchers,0.5770552158355713
Award_left.csv,title,seoul music awards,BasketballTeam_right,title,yongin samsung life bichumi,0.5765528678894043
Award_left.csv,title,bouchercon xli,BasketballTeam_right,title,bc barsy atyrau,0.5753631591796875
Award_left.csv,title,kalakar awards,BasketballTeam_right,title,cls knights surabaya,0.573693037033081
Award_left.csv,title,premier league golden glove,BasketballTeam_right,title,milton keynes lions,0.573657214641571
Award_left.csv,title,gustaf vi adolfs pokal,BasketballTeam_right,title,nuova amg sebastiani basket rieti,0.5680171251296997
Award_left.csv,title,anugerah planet muzik,BasketballTeam_right,title,al riyadi amman,0.5621044635772705
Award_left.csv,title,golden lotus,BasketballTeam_right,title,tanduay light rhum masters,0.5597255229949951
Award_left.csv,title,newron cup,BasketballTeam_right,title,galatasaray s.k. (women's basketball),0.5588626861572266
Award_left.csv,title,premio lo nuestro 2012,BasketballTeam_right,title,universo treviso basket,0.5580205917358398
Award_left.csv,title,sounds of australia,BasketballTeam_right,title,melbourne boomers,0.5578770637512207
Award_left.csv,title,golden bear,BasketballTeam_right,title,stella artois leuven bears,0.5565483570098877
Award_left.csv,title,big south conference men's basketball player of the year,BasketballTeam_right,title,south china aa (basketball),0.5557372570037842
Award_left.csv,title,abebe bikila award,BasketballTeam_right,title,bc budivelnik,0.5539417266845703
Award_left.csv,title,shevchenko national prize,BasketballTeam_right,title,polonia warszawa (basketball),0.5505726933479309
Award_left.csv,title,thompson trophy,BasketballTeam_right,title,edinburgh tigers,0.5495345592498779
Award_left.csv,title,nea jazz masters,BasketballTeam_right,title,kk millenium strumica,0.5471024513244629
Award_left.csv,title,the summit league men's basketball player of the year,BasketballTeam_right,title,el ittihad alexandria (basketball),0.5468457341194153
Award_left.csv,title,william v. campbell trophy,BasketballTeam_right,title,surrey united (basketball),0.5433220267295837
Award_left.csv,title,list of senior class award softball winners,BasketballTeam_right,title,athinaikos women's basketball,0.541800320148468
Award_left.csv,title,chautauqua prize,BasketballTeam_right,title,bc cherkasy,0.5375979542732239
Award_left.csv,title,naismith prep player of the year award,BasketballTeam_right,title,c.d. primeiro de agosto (basketball),0.5353832244873047
Award_left.csv,title,dilys breese medal,BasketballTeam_right,title,bree b.b.c.,0.5346484780311584
Award_left.csv,title,burlsworth trophy,BasketballTeam_right,title,guildford heat,0.5333348512649536
Award_left.csv,title,missouri valley conference men's basketball player of the year,BasketballTeam_right,title,charlotte hornets,0.532280445098877
Award_left.csv,title,premio lo nuestro 2011,BasketballTeam_right,title,cb bilbao berri,0.531601071357727
Award_left.csv,title,inter-allied victory medal (greece),BasketballTeam_right,title,ilissiakos b.c.,0.5307369232177734
Award_left.csv,title,chicago tribune silver football,BasketballTeam_right,title,delaware 87ers,0.5302696824073792
Award_left.csv,title,association of latin entertainment critics,BasketballTeam_right,title,asseco gdynia,0.5301260352134705
Award_left.csv,title,nachingwea medal,BasketballTeam_right,title,bc naglis,0.5297735333442688
Award_left.csv,title,meyenburg prize,BasketballTeam_right,title,enbw ludwigsburg,0.5284806489944458
Award_left.csv,title,stora journalistpriset,BasketballTeam_right,title,elitzur givat shmuel,0.5283567905426025
Award_left.csv,title,r-16 korea,BasketballTeam_right,title,rosasport radom,0.528014063835144
Award_left.csv,title,gagliardi trophy,BasketballTeam_right,title,galatasaray s.k. (wheelchair basketball),0.523926854133606
Award_left.csv,title,atlantic coast conference baseball pitcher of the year,BasketballTeam_right,title,orangeville a's,0.5225405097007751
Award_left.csv,title,kpl awards,BasketballTeam_right,title,kk mega leks,0.5222474932670593
Award_left.csv,title,radiosportens jerringpris,BasketballTeam_right,title,porta xi ensino cbf,0.5210049152374268
Award_left.csv,title,national lifeguard service,BasketballTeam_right,title,blackwater sports,0.5183026790618896
Award_left.csv,title,observeur du design,BasketballTeam_right,title,ab pas,0.5148224830627441
Award_left.csv,title,nevanlinna prize,BasketballTeam_right,title,bc yenisey krasnoyarsk,0.5141353607177734
Award_left.csv,title,premier league manager of the season,BasketballTeam_right,title,leeds force,0.5139700174331665
Award_left.csv,title,national football foundation gold medal winners,BasketballTeam_right,title,galatasaray medical park (women's basketball),0.5127713680267334
Award_left.csv,title,bouchercon xxxiii,BasketballTeam_right,title,bc rå«dupis,0.5126797556877136
Award_left.csv,title,leonardo da vinci international art award,BasketballTeam_right,title,dafni bc,0.5126314759254456
Award_left.csv,title,nikkan sports film award,BasketballTeam_right,title,zamalek (basketball),0.5097594261169434
Award_left.csv,title,animation kobe,BasketballTeam_right,title,veroli basket,0.508166491985321
Award_left.csv,title,tarang cine awards,BasketballTeam_right,title,bc torpan pojat,0.5081064701080322
Award_left.csv,title,2010 polaris music prize,BasketballTeam_right,title,medi bayreuth,0.50804203748703
Award_left.csv,title,lo nuestro awards,BasketballTeam_right,title,tyco rapla,0.508022129535675
Award_left.csv,title,pacific music awards,BasketballTeam_right,title,pacific caesar surabaya,0.50633704662323
Award_left.csv,title,rechter prize,BasketballTeam_right,title,trabzonspor b.k.,0.5063093900680542
