candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values,contributing_entities,num_contributing_entities
Artwork_right,title,0.7276378273963928,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","Portlandia, La Danse (Bouguereau), La Danse, The Return of Spring, The Night Watch (painting)","sundial, boy with spider↔sundial, boy with spider(1.00) | in the loge↔in the loge(1.00) | madonna and child playing with the veil↔madonna and child playing with the veil(1.00) | on the wallaby track↔on the wallaby track(1.00) | st. peter's baldachin↔st. peter's baldachin(1.00) | walking on a mountain path in spring↔walking on a mountain path in spring(1.00) | the great day of girona↔the great day of girona(1.00) | prince balthasar charles with a dwarf↔prince balthasar charles with a dwarf(1.00) | death of sardanapalus↔the death of sardanapalus(0.99) | farmhouse among trees↔farmhouses among trees(0.99)",200
Artwork_left,title,0.7071748375892639,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","old woman cooking eggs↔old woman cooking eggs(1.00) | october 26 1993↔october 26 1993(1.00) | tabernacle of the linaioli↔tabernacle of the linaioli(1.00) | the rocky mountains, lander's peak↔the rocky mountains, lander's peak(1.00) | entangled (partington)↔entangled (partington)(1.00) | ancestor (sculpture)↔ancestor (sculpture)(1.00) | eclipse (sebastian)↔eclipse (sebastian)(1.00) | tea cup ballet↔tea cup ballet(1.00) | major general friedrich wilhelm von steuben↔major general friedrich wilhelm von steuben(1.00) | blue and green music↔blue and green music(1.00)",200
GivenName_right,title,0.5605902671813965,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","Luke (name), Julia, Fatima (name), Fanny (name), Lyfing",adele bloch-bauer ii↔adele(0.76) | sponsa de libano↔ljubica(0.73) | personnage oiseaux↔guillaume(0.70) | bijinga↔bauyrzhan(0.70) | hokusai manga↔harutyun(0.70) | abaporu↔banu(0.69) | marforio↔milica(0.69) | christina's world↔julia(0.68) | madonna and child with st. john the baptist and st. mary magdalene↔mary (name)(0.67) | superlambanana↔sujata (name)(0.67),154
Museum_right,title,0.5531308054924011,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","Louvre, MusÃ©e du Louvre, Doge's Palace, Science Museum (London), National Motor Museum, Beaulieu","salisbury cathedral from the meadows↔the salisbury museum(0.77) | roman capriccio: the pantheon and other monuments↔national roman museum(0.77) | the special warfare memorial statue↔legion of honor (museum)(0.73) | steuben monument↔stedelijk museum(0.72) | house i↔svrzo house(0.71) | aero memorial (manship)↔museum of aviation(0.71) | lansdowne portrait↔hugh lane gallery(0.70) | the jewish cemetery↔london jewish museum(0.70) | st. george (raphael, louvre)↔louvre(0.70) | altarpiece of the saints john↔blessed john paul ii shrine(0.70)",200
Monarch_right,title,0.5332833528518677,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","Emperor Kinmei, Emperor Tenmu, Emperor Monmu, Anastasius I Dicorus, Theodoric the Great",statue of parakramabahu i↔parakramabahu ix of kotte(0.75) | the history of constantine↔constantine doukas(0.71) | augustus of prima porta↔artabanus iv of parthia(0.70) | marriage of the virgin (perugino)↔bridei vi(0.69) | the battle of alexander at issus↔alexander ii mircea(0.69) | maurin quina↔mohammadu maccido(0.69) | indian widow↔keshri singh(0.68) | the bride of the wind↔bridei vii(0.68) | abaporu↔agrasen(0.68) | celebration (tyeb mehta)↔uthram thirunal marthanda varma(0.67),200
BasketballTeam_right,title,0.5293288826942444,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","New Orleans Pelicans, Charlotte Hornets, Polonia Warszawa (basketball), Asseco Gdynia, Melbourne United",borghese gladiator↔gladiators trier(0.79) | sponsa de libano↔pallacanestro don bosco livorno(0.77) | spirit of belfast↔belfast star(0.76) | augustus of prima porta↔ao pagrati bc(0.76) | free basket↔kk mega basket(0.72) | rhein ii↔mhp riesen ludwigsburg(0.72) | the elephant celebes↔incheon electroland elephants(0.71) | barcelona series↔unes fc barcelona(0.69) | the school of athens↔as ionikos neas filadelfeias bc(0.69) | basket of bread↔roseto basket(0.69),166
ChristianBishop_right,title,0.5249329805374146,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","Ealdred (archbishop of York), Saint Matthew, Bartholomew I of Constantinople, Pandulf Verraccio, William Courtenay",jerome connor↔jerome shaw(0.80) | the school of athens↔christodoulos of athens(0.79) | christ of saint john of the cross↔saint matthew(0.78) | the history of constantine↔matthew ii of constantinople(0.77) | martyrdom of saint bartholomew↔bartholomew i of constantinople(0.75) | portrait of cardinal alessandro farnese↔filippo maria visconti (bishop)(0.75) | st. michael (raphael)↔raphael ii of constantinople(0.74) | robert gould shaw memorial↔sebastian francis shaw(0.74) | john rogers herbert↔john habgood(0.74) | augustus of prima porta↔neophytus vi of constantinople(0.74),200
Noble_right,title,0.5240110158920288,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","Humbert I, Count of Savoy, Humbert II, Count of Savoy, Humbert III, Count of Savoy, Thomas, Count of Savoy, William Marshal, 1st Earl of Pembroke (2nd Creation)","portrait of cardinal alessandro farnese↔giovanni visconti (cardinal)(0.78) | count casimir pulaski (kiselewski)↔friedrich casimir, count of hanau-lichtenberg(0.77) | beata beatrix↔beatrix of baden(0.77) | portrait of cosimo i de' medici↔lucrezia de' medici (1545â1561)(0.75) | his highness the prince↔prince abdulaziz bin talal bin abdulaziz al saud(0.73) | el rio de luz↔santiago maria del granado(0.73) | ognissanti madonna↔moisi golemi(0.72) | portrait of guidobaldo da montefeltro↔francisco da silveira, count of amarante(0.70) | manfred on the jungfrau (1837)↔johann philipp of hanau-lichtenberg(0.69) | portrait of a young woman (van der weyden)↔maria van eicken(0.69)",200
Magazine_right,title,0.5172528028488159,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","The Raven: Anarchist Quarterly, Next Magazine (Chinese magazine), Men's Health, Seventeen (American magazine), Liberty (libertarian magazine)",portrait of a collector↔art collector (magazine)(0.81) | guernica (painting)↔guernica (magazine)(0.80) | house i↔house and home(0.75) | the victorious charge↔charge!(0.74) | king fahd's fountain↔the fountain (magazine)(0.71) | the kiss (hayez)↔kiss (japanese magazine)(0.70) | marforio↔mikrobitti(0.70) | madonna della vittoria↔musica e dischi(0.70) | l'asie↔l'obs(0.70) | the family (puccetti)↔familia (magazine)(0.70),200
ChristianBishop_left,title,0.5134933590888977,"David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)","Ambrose, Ealdred (bishop), Absalon, Augustine of Hippo, Antipope John XXIII",surrender of lord cornwallis↔frederick cornwallis(0.81) | benjamin franklin (jouvenal)↔william edwin franklin(0.78) | jerome connor↔jerome (shaw)(0.77) | portrait of gustave geffroy↔gustave maria blanche(0.77) | abbot luigi↔luigi misto(0.77) | capitoline wolf↔geralyn wolf(0.77) | valle romita polyptych↔romulo valles(0.76) | abraham lincoln: the head of state↔alexander of lincoln(0.76) | the raising of lazarus (caravaggio)↔lazarus (bishop of milan)(0.76) | lieutenant general george washington↔f. d. washington(0.75),200
