query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
TennisTournament_left.csv,title,2012 fukuoka international women's cup,RugbyLeague_right,title,asian women's sevens championship,0.7994035482406616
TennisTournament_left.csv,title,2012 ethias trophy,RugbyLeague_right,title,african development trophy,0.7675976157188416
TennisTournament_left.csv,title,2009 manchester trophy,RugbyLeague_right,title,top league champions cup,0.754479169845581
TennisTournament_left.csv,title,1994 newsweek champions cup and the evert cup,RugbyLeague_right,title,the ron coote cup,0.7519737482070923
TennisTournament_left.csv,title,2012 samsung securities cup,RugbyLeague_right,title,saru gold cup,0.7372193336486816
TennisTournament_left.csv,title,2006 hopman cup,RugbyLeague_right,title,bundaberg red cup,0.7354751229286194
TennisTournament_left.csv,title,1999 newsweek champions cup and the evert cup,RugbyLeague_right,title,tom richards cup,0.7153280973434448
TennisTournament_left.csv,title,2010 commonwealth bank tournament of champions,RugbyLeague_right,title,asia rugby championship,0.7098663449287415
TennisTournament_left.csv,title,2010 ipp trophy,RugbyLeague_right,title,world rugby under 20 trophy,0.7031832933425903
TennisTournament_left.csv,title,2010 penza cup,RugbyLeague_right,title,mitre 10 cup,0.700439453125
TennisTournament_left.csv,title,2012 viccourt cup,RugbyLeague_right,title,league cup (rugby league),0.6992392539978027
TennisTournament_left.csv,title,1990 newsweek champions cup and the virginia slims of indian wells,RugbyLeague_right,title,colonial cup,0.6946809887886047
TennisTournament_left.csv,title,2011 commonwealth bank tournament of champions,RugbyLeague_right,title,asian rugby championship,0.6866155862808228
TennisTournament_left.csv,title,2007 rogers cup,RugbyLeague_right,title,sevens world series,0.6848940849304199
TennisTournament_left.csv,title,2007 pacific life open,RugbyLeague_right,title,pacific nations cup,0.6687047481536865
TennisTournament_left.csv,title,2012 al habtoor tennis challenge,RugbyLeague_right,title,african women's sevens championship,0.6675804853439331
TennisTournament_left.csv,title,2008 french open,RugbyLeague_right,title,france sevens,0.6607537269592285
TennisTournament_left.csv,title,2009 penza cup,RugbyLeague_right,title,gio schoolboy cup,0.6586241722106934
TennisTournament_left.csv,title,2012 tetra pak tennis cup,RugbyLeague_right,title,sri lanka sevens,0.6578336954116821
TennisTournament_left.csv,title,2013 vanessa phillips women's tournament,RugbyLeague_right,title,north america and caribbean women's sevens championship,0.6518216133117676
TennisTournament_left.csv,title,2013 hopman cup,RugbyLeague_right,title,anzac day cup,0.6506799459457397
TennisTournament_left.csv,title,2010 queen's club championships,RugbyLeague_right,title,world club series,0.6446447968482971
TennisTournament_left.csv,title,2010 trani cup,RugbyLeague_right,title,national championship of excellence (italian premiership),0.6410327553749084
TennisTournament_left.csv,title,2013 nature's way sydney tennis international,RugbyLeague_right,title,oceania women's sevens championship,0.6331262588500977
TennisTournament_left.csv,title,2012 uruguay open,RugbyLeague_right,title,south american women's sevens,0.624152421951294
TennisTournament_left.csv,title,2010 oberstaufen cup,RugbyLeague_right,title,world rugby nations cup,0.6234258413314819
TennisTournament_left.csv,title,2013 charles sturt adelaide international,RugbyLeague_right,title,oceania rugby cup,0.6221461296081543
TennisTournament_left.csv,title,2009 oberstaufen cup,RugbyLeague_right,title,2. rugby-bundesliga,0.6120439767837524
TennisTournament_left.csv,title,2012 john newcombe women's pro challenge,RugbyLeague_right,title,national women's rugby championship,0.6119605302810669
TennisTournament_left.csv,title,2010 sporting challenger,RugbyLeague_right,title,world rugby under 20 championship,0.6081254482269287
TennisTournament_left.csv,title,2012 empire trnava cup,RugbyLeague_right,title,women's nations cup (rugby union),0.6030336618423462
TennisTournament_left.csv,title,2009 ipp trophy,RugbyLeague_right,title,world rugby pacific nations cup,0.6025325059890747
TennisTournament_left.csv,title,2012 ipp open,RugbyLeague_right,title,pro12,0.5986817479133606
TennisTournament_left.csv,title,2012 mubadala world tennis championship,RugbyLeague_right,title,asia rugby women's championship,0.5978735685348511
TennisTournament_left.csv,title,2011 mubadala world tennis championship (january),RugbyLeague_right,title,all japan university rugby championship,0.5845833420753479
TennisTournament_left.csv,title,2012 lermontov cup,RugbyLeague_right,title,ekstraliga (rugby),0.5812869071960449
TennisTournament_left.csv,title,2010 samarkand challenger,RugbyLeague_right,title,south premier,0.5783100128173828
TennisTournament_left.csv,title,2011 challenger banque nationale de granby,RugbyLeague_right,title,caledonia regional league,0.5778471231460571
TennisTournament_left.csv,title,2011 bell challenge,RugbyLeague_right,title,world rugby pacific challenge,0.5755123496055603
TennisTournament_left.csv,title,2010 tennislife cup,RugbyLeague_right,title,world rugby sevens series,0.5637605786323547
TennisTournament_left.csv,title,2011 hopman cup,RugbyLeague_right,title,rugby league european championship b,0.5637420415878296
TennisTournament_left.csv,title,2013 torneo internacional agt,RugbyLeague_right,title,international origin match,0.5614700317382812
TennisTournament_left.csv,title,1990 holden nsw open,RugbyLeague_right,title,intrust super premiership nsw,0.5594542026519775
TennisTournament_left.csv,title,2012 hopman cup,RugbyLeague_right,title,rugby league european championship c,0.5571262240409851
TennisTournament_left.csv,title,2008 hopman cup,RugbyLeague_right,title,division 1-a rugby,0.5421239733695984
TennisTournament_left.csv,title,2010 zucchetti kos tennis cup,RugbyLeague_right,title,world rugby women's sevens series,0.5412113666534424
TennisTournament_left.csv,title,2006 regions morgan keegan championships and the cellular south cup,RugbyLeague_right,title,rugby league conference south premier,0.5329799056053162
TennisTournament_left.csv,title,2013 dallas tennis classic,RugbyLeague_right,title,all stars match,0.5250396728515625
