query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
MemberOfParliament_left.csv,title,"charles cornwallis, 2nd baron cornwallis",ChristianBishop_left,title,frederick cornwallis,0.8681193590164185
MemberOfParliament_left.csv,title,theo nicholls,ChristianBishop_left,title,jack nicholls,0.8665615916252136
MemberOfParliament_left.csv,title,arthur faulkner,ChristianBishop_left,title,leonard faulkner,0.8649603128433228
MemberOfParliament_left.csv,title,rajen prasad,ChristianBishop_left,title,b. g. prasada rao,0.8533239960670471
MemberOfParliament_left.csv,title,john lloyd wharton,ChristianBishop_left,title,martin wharton,0.8445602655410767
MemberOfParliament_left.csv,title,reg pollard,ChristianBishop_left,title,benjamin pollard,0.828880786895752
MemberOfParliament_left.csv,title,lionel courtenay,ChristianBishop_left,title,peter courtenay,0.8257088661193848
MemberOfParliament_left.csv,title,john lambert gibson,ChristianBishop_left,title,edmund gibson,0.8239830136299133
MemberOfParliament_left.csv,title,james boyden,ChristianBishop_left,title,boyd vincent,0.8212052583694458
MemberOfParliament_left.csv,title,matt robson,ChristianBishop_left,title,stephen robson,0.8204781413078308
MemberOfParliament_left.csv,title,don l. taylor,ChristianBishop_left,title,g. porter taylor,0.820469856262207
MemberOfParliament_left.csv,title,john chapman andrew,ChristianBishop_left,title,john chapman (priest),0.8151096105575562
MemberOfParliament_left.csv,title,craig knowles,ChristianBishop_left,title,graeme knowles,0.8138360977172852
MemberOfParliament_left.csv,title,alex finlay,ChristianBishop_left,title,alex kaliyanil,0.8120026588439941
MemberOfParliament_left.csv,title,alfred bates,ChristianBishop_left,title,gordon bates,0.8095614910125732
MemberOfParliament_left.csv,title,lawrence watson,ChristianBishop_left,title,alfred a. watson,0.8091046214103699
MemberOfParliament_left.csv,title,haidar abbas rizvi,ChristianBishop_left,title,salim ghazal,0.8089464902877808
MemberOfParliament_left.csv,title,malcolm mccolm,ChristianBishop_left,title,malcolm menin,0.8060853481292725
MemberOfParliament_left.csv,title,john saunderson,ChristianBishop_left,title,saunders davies,0.80516517162323
