query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
PoliticalParty_left.csv,title,eusko abertzale ekintza,BasketballTeam_right,title,kk vojvodina srbijagas,0.7678083181381226
PoliticalParty_left.csv,title,hizb ut-tahrir,BasketballTeam_right,title,al riyadi amman,0.7450113296508789
PoliticalParty_left.csv,title,nafarroa bai,BasketballTeam_right,title,muba hangtuah sumatera selatan,0.7331910133361816
PoliticalParty_left.csv,title,lapiang malaya,BasketballTeam_right,title,satria muda pertamina jakarta,0.720047652721405
PoliticalParty_left.csv,title,mapu obrero campesino,BasketballTeam_right,title,pallacanestro don bosco livorno,0.711057186126709
PoliticalParty_left.csv,title,deutscher volksverband,BasketballTeam_right,title,mhp riesen ludwigsburg,0.7070107460021973
PoliticalParty_left.csv,title,democracia cristiana vasca,BasketballTeam_right,title,ao pagrati bc,0.7057757377624512
PoliticalParty_left.csv,title,bharipa bahujan mahasangh,BasketballTeam_right,title,pelita jaya energi mega persada,0.6993266344070435
PoliticalParty_left.csv,title,batkivshchyna,BasketballTeam_right,title,bc budivelnik,0.6926127672195435
PoliticalParty_left.csv,title,inekaren,BasketballTeam_right,title,kk krka,0.6870430707931519
PoliticalParty_left.csv,title,belarusian christian democracy,BasketballTeam_right,title,bc minsk-2006,0.684134840965271
PoliticalParty_left.csv,title,te tiarama,BasketballTeam_right,title,tyco rapla,0.6778765320777893
PoliticalParty_left.csv,title,mykola katerynchuk bloc,BasketballTeam_right,title,kk slavonski brod,0.6700549721717834
PoliticalParty_left.csv,title,cartel des gauches,BasketballTeam_right,title,ca queluz,0.66646409034729
PoliticalParty_left.csv,title,agudat yisrael,BasketballTeam_right,title,maccabi ra'anana,0.6580697298049927
PoliticalParty_left.csv,title,kalibapi,BasketballTeam_right,title,kk olimpija,0.6557576656341553
PoliticalParty_left.csv,title,romanian national committee,BasketballTeam_right,title,bc partizani tirana,0.653455376625061
PoliticalParty_left.csv,title,somali youth league,BasketballTeam_right,title,al-ahli benghazi (basketball club),0.6532267332077026
