query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Tournament_left.csv,title,2001 baltic cup,FootballLeagueSeason_right,title,1990 baltic league,0.8941730260848999
Tournament_left.csv,title,2010 vietnamese cup,FootballLeagueSeason_right,title,2010 vietnamese second division,0.8864593505859375
Tournament_left.csv,title,2013 malaysia fa cup,FootballLeagueSeason_right,title,2005 super league malaysia,0.8844791650772095
Tournament_left.csv,title,2013 vietnamese cup,FootballLeagueSeason_right,title,2009 vietnamese second division,0.8733886480331421
Tournament_left.csv,title,2010 norwegian football cup,FootballLeagueSeason_right,title,2012 norwegian second division,0.8684766292572021
Tournament_left.csv,title,2009 singapore league cup,FootballLeagueSeason_right,title,2009 super league malaysia,0.8633427619934082
Tournament_left.csv,title,2009 norwegian football cup,FootballLeagueSeason_right,title,2012 norwegian third division,0.8538511991500854
Tournament_left.csv,title,2000 korean fa cup,FootballLeagueSeason_right,title,1999 korea semi-professional football league,0.8514710068702698
Tournament_left.csv,title,2013 torneo internacional agt,FootballLeagueSeason_right,title,2011 torneo apertura (chile),0.8412783145904541
Tournament_left.csv,title,2010 thai league cup,FootballLeagueSeason_right,title,2009 thai division 2 league bangkok & field region,0.84027099609375
Tournament_left.csv,title,1999 norwegian football cup,FootballLeagueSeason_right,title,1999 swedish football division 3,0.8237482309341431
Tournament_left.csv,title,2013 malaysia cup,FootballLeagueSeason_right,title,2004 super league malaysia,0.8230266571044922
Tournament_left.csv,title,2007 asean football championship,FootballLeagueSeason_right,title,2009 vietnamese national football first league,0.822928786277771
Tournament_left.csv,title,2012 singapore league cup,FootballLeagueSeason_right,title,2009 premier league malaysia,0.815872073173523
Tournament_left.csv,title,2012 j. league cup,FootballLeagueSeason_right,title,2013 v.league 1,0.8027795553207397
Tournament_left.csv,title,2008 players championship,FootballLeagueSeason_right,title,2008 k league,0.8020192384719849
Tournament_left.csv,title,1994 baltic cup,FootballLeagueSeason_right,title,1991 soviet second league b,0.7990580201148987
Tournament_left.csv,title,2012 ncaa division i men's soccer championship,FootballLeagueSeason_right,title,2013 pac-12 conference men's soccer season,0.7964296340942383
Tournament_left.csv,title,2012 thai league cup,FootballLeagueSeason_right,title,2012 vietnamese super league,0.7951931953430176
Tournament_left.csv,title,1962 norwegian football cup,FootballLeagueSeason_right,title,2013 norwegian first division,0.7928609848022461
Tournament_left.csv,title,2011 kagame interclub cup,FootballLeagueSeason_right,title,2011 k league,0.7809251546859741
Tournament_left.csv,title,2003 gulf club champions cup,FootballLeagueSeason_right,title,2003 malaysia premier league 1,0.7783257365226746
Tournament_left.csv,title,2013 uzbekistan cup,FootballLeagueSeason_right,title,1994 mongolian national championship,0.7782101631164551
Tournament_left.csv,title,2008 australian football international cup,FootballLeagueSeason_right,title,2009 south australian premier league,0.7768828868865967
Tournament_left.csv,title,2012 hong kong women league fa cup,FootballLeagueSeason_right,title,2012 japan women's football league,0.775719165802002
Tournament_left.csv,title,2010 uzbekistan cup,FootballLeagueSeason_right,title,1990 mongolian national championship,0.7702286243438721
Tournament_left.csv,title,2012 uzbekistan cup,FootballLeagueSeason_right,title,1987 mongolian national championship,0.7686429023742676
