query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Tournament_left.csv,title,world of doubles (tennis),Tournament_left,title,world of doubles (tennis),1.0000007152557373
Tournament_left.csv,title,mayflower classic,Tournament_left,title,mayflower classic,1.0000005960464478
Tournament_left.csv,title,ballon d'or 1994,Tournament_left,title,ballon d'or 1994,1.0000004768371582
Tournament_left.csv,title,2012 mac men's soccer tournament,Tournament_left,title,2012 mac men's soccer tournament,1.0000004768371582
Tournament_left.csv,title,2012 copa bimbo,Tournament_left,title,2012 copa bimbo,1.0000004768371582
Tournament_left.csv,title,2011 vodacom challenge,Tournament_left,title,2011 vodacom challenge,1.0000004768371582
Tournament_left.csv,title,2009 billie jean king cup,Tournament_left,title,2009 billie jean king cup,1.0000004768371582
Tournament_left.csv,title,danamon open,Tournament_left,title,danamon open,1.0000004768371582
Tournament_left.csv,title,1963 open championship,Tournament_left,title,1963 open championship,1.0000003576278687
Tournament_left.csv,title,football at the 2001 maccabiah games,Tournament_left,title,football at the 2001 maccabiah games,1.0000003576278687
Tournament_left.csv,title,palm springs open,Tournament_left,title,palm springs open,1.0000003576278687
Tournament_left.csv,title,borniquen classic,Tournament_left,title,borniquen classic,1.0000003576278687
Tournament_left.csv,title,sybase classic,Tournament_left,title,sybase classic,1.0000003576278687
Tournament_left.csv,title,open di puglia e basilicata,Tournament_left,title,open di puglia e basilicata,1.0000003576278687
Tournament_left.csv,title,2012 john newcombe women's pro challenge,Tournament_left,title,2012 john newcombe women's pro challenge,1.0000003576278687
Tournament_left.csv,title,brunei open,Tournament_left,title,brunei open,1.000000238418579
Tournament_left.csv,title,2013 mcdonald's burnie international,Tournament_left,title,2013 mcdonald's burnie international,1.000000238418579
Tournament_left.csv,title,1990 u.s. open cup,Tournament_left,title,1990 u.s. open cup,1.000000238418579
Tournament_left.csv,title,2017 fifa u-17 world cup,Tournament_left,title,2017 fifa u-17 world cup,1.000000238418579
Tournament_left.csv,title,air capital classic,Tournament_left,title,air capital classic,1.000000238418579
Tournament_left.csv,title,handa cup,Tournament_left,title,handa cup,1.000000238418579
Tournament_left.csv,title,1978 masters tournament,Tournament_left,title,1978 masters tournament,1.000000238418579
Tournament_left.csv,title,aami classic,Tournament_left,title,aami classic,1.000000238418579
Tournament_left.csv,title,2013 wgc-accenture match play championship,Tournament_left,title,2013 wgc-accenture match play championship,1.000000238418579
Tournament_left.csv,title,2012 desert diamond cup,Tournament_left,title,2012 desert diamond cup,1.000000238418579
Tournament_left.csv,title,liga primer indonesia pre-season tournament,Tournament_left,title,liga primer indonesia pre-season tournament,1.000000238418579
Tournament_left.csv,title,faber grand prix,Tournament_left,title,faber grand prix,1.000000238418579
Tournament_left.csv,title,rotterdam open,Tournament_left,title,rotterdam open,1.000000238418579
Tournament_left.csv,title,hsbc women's champions,Tournament_left,title,hsbc women's champions,1.000000238418579
Tournament_left.csv,title,1990 belgian indoor championships,Tournament_left,title,1990 belgian indoor championships,1.000000238418579
Tournament_left.csv,title,tampa bay championship,Tournament_left,title,tampa bay championship,1.000000238418579
Tournament_left.csv,title,women's football at the 2011 pacific games,Tournament_left,title,women's football at the 2011 pacific games,1.000000238418579
Tournament_left.csv,title,oldsmobile classic,Tournament_left,title,oldsmobile classic,1.000000238418579
Tournament_left.csv,title,b.c. open,Tournament_left,title,b.c. open,1.000000238418579
Tournament_left.csv,title,1990 norstar bank hamlet challenge cup,Tournament_left,title,1990 norstar bank hamlet challenge cup,1.000000238418579
Tournament_left.csv,title,zambia open,Tournament_left,title,zambia open,1.000000238418579
Tournament_left.csv,title,green world atp challenger,Tournament_left,title,green world atp challenger,1.000000238418579
Tournament_left.csv,title,maybelline classic,Tournament_left,title,maybelline classic,1.000000238418579
Tournament_left.csv,title,1949 nafc championship,Tournament_left,title,1949 nafc championship,1.000000238418579
Tournament_left.csv,title,internationaler apano cup,Tournament_left,title,internationaler apano cup,1.000000238418579
