query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
EthnicGroup_left.csv,title,janjevci,BasketballTeam_right,title,kk vojvodina srbijagas,0.8263781666755676
EthnicGroup_left.csv,title,karakalpaks,BasketballTeam_right,title,kk krka,0.815182626247406
EthnicGroup_left.csv,title,al-akhdam,BasketballTeam_right,title,al riyadi amman,0.7987843751907349
EthnicGroup_left.csv,title,cherkess,BasketballTeam_right,title,bc cherkasy,0.7480944991111755
EthnicGroup_left.csv,title,baraba tatar,BasketballTeam_right,title,bc barsy atyrau,0.7241569757461548
EthnicGroup_left.csv,title,djargurd wurrung,BasketballTeam_right,title,muba hangtuah sumatera selatan,0.7187303304672241
EthnicGroup_left.csv,title,ukrainians in poland,BasketballTeam_right,title,polytekhnika-halychyna lviv,0.7033549547195435
EthnicGroup_left.csv,title,bali aga,BasketballTeam_right,title,satria muda pertamina jakarta,0.6962890625
EthnicGroup_left.csv,title,lipka tatars,BasketballTeam_right,title,sk valmiera,0.6957775950431824
EthnicGroup_left.csv,title,rohilla,BasketballTeam_right,title,rosasport radom,0.6857245564460754
EthnicGroup_left.csv,title,kiskiack,BasketballTeam_right,title,kk olimpija,0.6833464503288269
EthnicGroup_left.csv,title,orang sungai,BasketballTeam_right,title,yongin samsung life bichumi,0.6828498840332031
EthnicGroup_left.csv,title,chaptico,BasketballTeam_right,title,tyco rapla,0.6806790828704834
EthnicGroup_left.csv,title,ngaanyatjarra,BasketballTeam_right,title,pelita jaya energi mega persada,0.6731287240982056
EthnicGroup_left.csv,title,raizal,BasketballTeam_right,title,rakvere tarvas,0.6712290048599243
EthnicGroup_left.csv,title,caldoche,BasketballTeam_right,title,ca queluz,0.6709221601486206
EthnicGroup_left.csv,title,chisca,BasketballTeam_right,title,pallacanestro don bosco livorno,0.6694289445877075
EthnicGroup_left.csv,title,kursenieki,BasketballTeam_right,title,kk slavonski brod,0.6670478582382202
EthnicGroup_left.csv,title,bay miwok,BasketballTeam_right,title,medi bayreuth,0.6549087762832642
EthnicGroup_left.csv,title,tequesta,BasketballTeam_right,title,halcones de xalapa,0.6518762111663818
EthnicGroup_left.csv,title,isaaq,BasketballTeam_right,title,uniqa sopron,0.6505109667778015
EthnicGroup_left.csv,title,gcaleka,BasketballTeam_right,title,asseco gdynia,0.6467792987823486
EthnicGroup_left.csv,title,greeks in egypt,BasketballTeam_right,title,as ionikos neas filadelfeias bc,0.6465854644775391
EthnicGroup_left.csv,title,cholanaikkan,BasketballTeam_right,title,bc budivelnik,0.6446385383605957
EthnicGroup_left.csv,title,pangal,BasketballTeam_right,title,bc palanga,0.6438193321228027
EthnicGroup_left.csv,title,paswan,BasketballTeam_right,title,aspac jakarta,0.6415792107582092
EthnicGroup_left.csv,title,afridi,BasketballTeam_right,title,ezzahra sports,0.6368682980537415
EthnicGroup_left.csv,title,samoan new zealander,BasketballTeam_right,title,otago nuggets,0.6358534097671509
EthnicGroup_left.csv,title,sudeten germans,BasketballTeam_right,title,mhp riesen ludwigsburg,0.6335391402244568
EthnicGroup_left.csv,title,bedoun,BasketballTeam_right,title,bnei hasharon,0.6326301097869873
EthnicGroup_left.csv,title,darkhad,BasketballTeam_right,title,tanduay light rhum masters,0.6322081089019775
EthnicGroup_left.csv,title,csangos,BasketballTeam_right,title,bc naglis,0.6299068927764893
EthnicGroup_left.csv,title,macedonians (greeks),BasketballTeam_right,title,ilissiakos b.c.,0.6291807889938354
EthnicGroup_left.csv,title,pitcairn islanders,BasketballTeam_right,title,bristol flyers,0.6284000277519226
EthnicGroup_left.csv,title,kazakhs,BasketballTeam_right,title,bc yenisey krasnoyarsk,0.6271954774856567
EthnicGroup_left.csv,title,khosa,BasketballTeam_right,title,kk mega leks,0.6256622076034546
EthnicGroup_left.csv,title,tunica-biloxi,BasketballTeam_right,title,toros de nuevo laredo,0.6244041919708252
EthnicGroup_left.csv,title,calusa,BasketballTeam_right,title,pacific caesar surabaya,0.6223211288452148
EthnicGroup_left.csv,title,kuravar,BasketballTeam_right,title,trabzonspor b.k.,0.6219100952148438
EthnicGroup_left.csv,title,pamlico,BasketballTeam_right,title,piimameister otto/rapla,0.62166827917099
