query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
SportFacility_left.csv,title,sartain hall (old trojan arena),Stadium_right,title,sartain hall (old trojan arena),1.0
SportFacility_left.csv,title,sun bowl stadium,Stadium_right,title,sun bowl stadium,0.9999998807907104
SportFacility_left.csv,title,prince abdullah al-faisal stadium,Stadium_right,title,prince abdullah al faisal stadium,0.9959896802902222
SportFacility_left.csv,title,king abdullah stadium,Stadium_right,title,king abdullah ii stadium,0.9847005009651184
SportFacility_left.csv,title,"municipal auditorium (kansas city, missouri)",Stadium_right,title,municipal auditorium (kansas city),0.9840227961540222
SportFacility_left.csv,title,busan asiad main stadium,Stadium_right,title,busan asiad stadium,0.983046293258667
SportFacility_left.csv,title,veterans memorial coliseum (portland),Stadium_right,title,"veterans memorial coliseum (portland, oregon)",0.9777949452400208
SportFacility_left.csv,title,olympic stadium (seoul),Stadium_right,title,seoul olympic stadium,0.9774502515792847
SportFacility_left.csv,title,"victory park, chorley",Stadium_right,title,victory park (chorley),0.9760036468505859
SportFacility_left.csv,title,coliseum at richfield,Stadium_right,title,richfield coliseum,0.9752072095870972
SportFacility_left.csv,title,the sevens (stadium),Stadium_right,title,the sevens stadium,0.9750398397445679
SportFacility_left.csv,title,hellinikon olympic arena,Stadium_right,title,helliniko olympic arena,0.9719399213790894
SportFacility_left.csv,title,civic stadium (eugene),Stadium_right,title,"civic stadium (eugene, oregon)",0.9700058698654175
SportFacility_left.csv,title,lg champions park,Stadium_right,title,lg champion's park,0.968191385269165
SportFacility_left.csv,title,lagos national stadium,Stadium_right,title,"national stadium, lagos",0.9671794176101685
SportFacility_left.csv,title,fifth third field (toledo),Stadium_right,title,"fifth third field (toledo, ohio)",0.9669617414474487
SportFacility_left.csv,title,basket-hall (krasnodar),Stadium_right,title,basket-hall krasnodar,0.9643467664718628
SportFacility_left.csv,title,trevor barker beach oval,Stadium_right,title,trevor barker oval,0.9639449715614319
SportFacility_left.csv,title,dynamo stadium (vladivostok),Stadium_right,title,dynamo stadium (moscow),0.9474402666091919
SportFacility_left.csv,title,spartak stadium (babruysk),Stadium_right,title,spartak stadium (moscow),0.9472583532333374
SportFacility_left.csv,title,aleppo shrine auditorium,Stadium_right,title,aleppo shriners auditorium,0.9425270557403564
SportFacility_left.csv,title,la costa resort and spa,Stadium_right,title,omni la costa resort and spa,0.9326882362365723
SportFacility_left.csv,title,st lomans park,Stadium_right,title,st. loman's park,0.9297863841056824
SportFacility_left.csv,title,indoor stadium huamark,Stadium_right,title,hua mark indoor stadium,0.9225770831108093
SportFacility_left.csv,title,spartak stadium (odessa),Stadium_right,title,spartak stadium (bobruisk),0.9199143052101135
SportFacility_left.csv,title,arena zagreb,Stadium_right,title,belgrade arena,0.9170459508895874
SportFacility_left.csv,title,queensland state hockey centre,Stadium_right,title,state hockey centre (south australia),0.9162919521331787
SportFacility_left.csv,title,roberts municipal stadium,Stadium_right,title,roberts stadium (soccer stadium),0.9160227179527283
SportFacility_left.csv,title,sarawak state stadium,Stadium_right,title,penang state stadium,0.9125206470489502
SportFacility_left.csv,title,incheon asiad main stadium,Stadium_right,title,incheon sungui stadium,0.9093810319900513
SportFacility_left.csv,title,kadriorg stadium,Stadium_right,title,kadrioru stadium,0.9077838659286499
SportFacility_left.csv,title,varsity field (albany baseball),Stadium_right,title,"varsity field (albany, new york)",0.906254768371582
SportFacility_left.csv,title,cairo military academy stadium,Stadium_right,title,al-salam stadium (cairo),0.9036447405815125
