query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
GivenName_left.csv,title,victoria (name),Wrestler_left,title,lady victoria,0.8905891180038452
GivenName_left.csv,title,kelly (given name),Wrestler_left,title,kelly kelly,0.86652010679245
GivenName_left.csv,title,toyoaki,Wrestler_left,title,toyonobori,0.8572410345077515
GivenName_left.csv,title,randy,Wrestler_left,title,randy anderson,0.857185959815979
GivenName_left.csv,title,takayoshi,Wrestler_left,title,isao takagi,0.8550388216972351
GivenName_left.csv,title,masakuni,Wrestler_left,title,masakre,0.8526109457015991
GivenName_left.csv,title,megan,Wrestler_left,title,megan plastic,0.8390583992004395
GivenName_left.csv,title,toni,Wrestler_left,title,toni rose,0.8365684151649475
GivenName_left.csv,title,terri,Wrestler_left,title,terri poch,0.8349525928497314
GivenName_left.csv,title,ilmari,Wrestler_left,title,ilie matei,0.8328211307525635
GivenName_left.csv,title,annie (given name),Wrestler_left,title,annie social,0.8327679634094238
GivenName_left.csv,title,winona (name),Wrestler_left,title,winona littleheart,0.8256270885467529
GivenName_left.csv,title,vladislav,Wrestler_left,title,marcel vlad,0.8253656625747681
GivenName_left.csv,title,kurt,Wrestler_left,title,kurt beyer,0.8229594230651855
GivenName_left.csv,title,bella,Wrestler_left,title,the bella twins,0.8204083442687988
GivenName_left.csv,title,brittany (name),Wrestler_left,title,brittany brown,0.8154312372207642
GivenName_left.csv,title,bonnie,Wrestler_left,title,bonnie maxon,0.8149077296257019
GivenName_left.csv,title,rahman (name),Wrestler_left,title,rahman bilici,0.8144919276237488
GivenName_left.csv,title,katie,Wrestler_left,title,katie glass,0.8134825825691223
GivenName_left.csv,title,raymond,Wrestler_left,title,raymond barry,0.8131345510482788
GivenName_left.csv,title,riku,Wrestler_left,title,riho,0.8107446432113647
GivenName_left.csv,title,abbas (name),Wrestler_left,title,shamseddin seyed-abbasi,0.8094130158424377
GivenName_left.csv,title,ernst,Wrestler_left,title,ernst knoll,0.8067278861999512
GivenName_left.csv,title,ruriko,Wrestler_left,title,rukkus,0.8065931797027588
GivenName_left.csv,title,roderick,Wrestler_left,title,roderick strong,0.8047959208488464
GivenName_left.csv,title,evan,Wrestler_left,title,evan hatch,0.8039654493331909
GivenName_left.csv,title,babak (given name),Wrestler_left,title,babak nourzad,0.8003782033920288
GivenName_left.csv,title,bernard,Wrestler_left,title,brute bernard,0.7991097569465637
GivenName_left.csv,title,jack (given name),Wrestler_left,title,new jack,0.7966079711914062
GivenName_left.csv,title,stacy (given name),Wrestler_left,title,stacy carter,0.7944976687431335
GivenName_left.csv,title,theodoric,Wrestler_left,title,theodoros tounousidis,0.7914630770683289
GivenName_left.csv,title,alicia (given name),Wrestler_left,title,alicia webb,0.7902770638465881
GivenName_left.csv,title,leslie (name),Wrestler_left,title,leslie butterscotch,0.7882401943206787
GivenName_left.csv,title,rashida,Wrestler_left,title,jarlis mosquera,0.7873742580413818
GivenName_left.csv,title,eric,Wrestler_left,title,eric angle,0.7867848873138428
GivenName_left.csv,title,michael,Wrestler_left,title,michael tarver,0.7849434018135071
GivenName_left.csv,title,bruno (name),Wrestler_left,title,bruno lauer,0.7841261625289917
GivenName_left.csv,title,vicente,Wrestler_left,title,"hombre bala, jr.",0.7840437889099121
GivenName_left.csv,title,liliane,Wrestler_left,title,lilian garcia,0.7823465466499329
GivenName_left.csv,title,jean-marie,Wrestler_left,title,camille tourville,0.782151460647583
GivenName_left.csv,title,masaomi,Wrestler_left,title,devil masami,0.7800775170326233
GivenName_left.csv,title,miyuki,Wrestler_left,title,apple miyuki,0.7799599170684814
GivenName_left.csv,title,raven (given name),Wrestler_left,title,raven (wrestler),0.7797613143920898
GivenName_left.csv,title,ernest,Wrestler_left,title,ernest miller,0.7781555652618408
GivenName_left.csv,title,sujata,Wrestler_left,title,princesa sujei,0.7780541181564331
GivenName_left.csv,title,vukan,Wrestler_left,title,volha khilko,0.7770904302597046
GivenName_left.csv,title,michelle (given name),Wrestler_left,title,candice michelle,0.7764155268669128
GivenName_left.csv,title,uno (given name),Wrestler_left,title,player uno,0.7742732763290405
GivenName_left.csv,title,arlo,Wrestler_left,title,arda ocal,0.7741084098815918
GivenName_left.csv,title,kagetaka,Wrestler_left,title,great kabuki,0.7738122940063477
GivenName_left.csv,title,shigemitsu,Wrestler_left,title,super shisa,0.7691903114318848
GivenName_left.csv,title,theodore (name),Wrestler_left,title,theodore long,0.7686101198196411
GivenName_left.csv,title,marija,Wrestler_left,title,mari apache,0.7665233612060547
GivenName_left.csv,title,robin (name),Wrestler_left,title,ike robin,0.7661920785903931
GivenName_left.csv,title,luciano,Wrestler_left,title,alfredo far,0.76610267162323
GivenName_left.csv,title,angela (given name),Wrestler_left,title,angela fong,0.7660112380981445
GivenName_left.csv,title,nicolette,Wrestler_left,title,nicole bass,0.7639650106430054
GivenName_left.csv,title,conor,Wrestler_left,title,aldo ortiz,0.763813853263855
GivenName_left.csv,title,janne,Wrestler_left,title,jan wilkens,0.7617511749267578
GivenName_left.csv,title,harley (given name),Wrestler_left,title,harley race,0.761737585067749
GivenName_left.csv,title,claude (given name),Wrestler_left,title,claude patterson,0.7613084316253662
GivenName_left.csv,title,scott (name),Wrestler_left,title,scott lost,0.7597328424453735
GivenName_left.csv,title,martin (name),Wrestler_left,title,martin burns,0.7577152252197266
GivenName_left.csv,title,alasdair,Wrestler_left,title,alastair ralphs,0.7576851844787598
GivenName_left.csv,title,abdullah (name),Wrestler_left,title,abdullah the butcher,0.7564734220504761
