query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Galaxy_left.csv,title,leda 074886,GivenName_right,title,edwina,0.7099208831787109
Galaxy_left.csv,title,i zwicky 18,GivenName_right,title,ziemowit,0.70137619972229
Galaxy_left.csv,title,malin 1,GivenName_right,title,keon,0.6821884512901306
Galaxy_left.csv,title,markarian 501,GivenName_right,title,mark (name),0.664002537727356
Galaxy_left.csv,title,dwingeloo 1,GivenName_right,title,dzintars,0.6507571935653687
Galaxy_left.csv,title,zw ii 96,GivenName_right,title,zvonimir,0.646345853805542
Galaxy_left.csv,title,tucana dwarf,GivenName_right,title,tuukka,0.645327091217041
Galaxy_left.csv,title,virgohi21,GivenName_right,title,junichi,0.6435285210609436
Galaxy_left.csv,title,maffei 2,GivenName_right,title,maki (name),0.629751443862915
Galaxy_left.csv,title,ugc 8091,GivenName_right,title,uldis,0.6289311647415161
Galaxy_left.csv,title,rd1,GivenName_right,title,hristo,0.6278377175331116
Galaxy_left.csv,title,ugc 9618,GivenName_right,title,kaj,0.6273820400238037
Galaxy_left.csv,title,sextans a,GivenName_right,title,alessia,0.6187728047370911
Galaxy_left.csv,title,eso 306-17,GivenName_right,title,oladapo,0.6150989532470703
Galaxy_left.csv,title,leo a,GivenName_right,title,leonie,0.6115347146987915
Galaxy_left.csv,title,ugc 5692,GivenName_right,title,ctirad,0.6052243113517761
Galaxy_left.csv,title,iok-1,GivenName_right,title,tawfik,0.5987732410430908
Galaxy_left.csv,title,maffei 1,GivenName_right,title,indulis,0.5953383445739746
Galaxy_left.csv,title,mb 3,GivenName_right,title,modris,0.5934942960739136
Galaxy_left.csv,title,willman 1,GivenName_right,title,maytham,0.5926837921142578
Galaxy_left.csv,title,ugc 8331,GivenName_right,title,banu,0.5901602506637573
Galaxy_left.csv,title,markarian 231,GivenName_right,title,padraic,0.5844129323959351
Galaxy_left.csv,title,a1689-zd1,GivenName_right,title,okonma,0.5831472873687744
Galaxy_left.csv,title,ugca 86,GivenName_right,title,chetan (name),0.5742349624633789
Galaxy_left.csv,title,sextans b,GivenName_right,title,ljubica,0.5723024606704712
Galaxy_left.csv,title,lbg-2377,GivenName_right,title,lyfing,0.5691642165184021
Galaxy_left.csv,title,hudf-jd2,GivenName_right,title,harutyun,0.5663671493530273
Galaxy_left.csv,title,rxj1242-11,GivenName_right,title,raizo,0.5660837888717651
Galaxy_left.csv,title,ugc 2140,GivenName_right,title,gatis,0.5630937814712524
Galaxy_left.csv,title,3c 305,GivenName_right,title,corinne,0.5604517459869385
Galaxy_left.csv,title,cygnus a,GivenName_right,title,alexandru,0.5597162246704102
Galaxy_left.csv,title,sculptor galaxy,GivenName_right,title,cadwallader,0.5578075647354126
Galaxy_left.csv,title,udfj-39546284,GivenName_right,title,bojan,0.5535126328468323
