query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Enzyme_left.csv,title,adenosine nucleosidase,Drug_left,title,adenosine,0.842971920967102
Enzyme_left.csv,title,mannokinase,Drug_left,title,mannosulfan,0.764113187789917
Enzyme_left.csv,title,gamma-glutamyl-gamma-aminobutyrate hydrolase,Drug_left,title,gamma-amino-beta-hydroxybutyric acid,0.7614095211029053
Enzyme_left.csv,title,sulfite oxidase,Drug_left,title,sulodexide,0.7611273527145386
Enzyme_left.csv,title,pyridoxine 4-oxidase,Drug_left,title,pyridoxine/doxylamine,0.7504757642745972
Enzyme_left.csv,title,formamidase,Drug_left,title,formocortal,0.7498645782470703
Enzyme_left.csv,title,amylosucrase,Drug_left,title,amylmetacresol,0.7495042085647583
Enzyme_left.csv,title,magnesium chelatase,Drug_left,title,magnesium aspartate,0.7481646537780762
Enzyme_left.csv,title,naphthoate synthase,Drug_left,title,naphthylaminopropane,0.7480723261833191
Enzyme_left.csv,title,rubisco,Drug_left,title,rubitecan,0.7480010986328125
Enzyme_left.csv,title,glutaminase,Drug_left,title,glucarpidase,0.7467343807220459
Enzyme_left.csv,title,17-alpha-hydroxyprogesterone aldolase,Drug_left,title,17-hydroxyprogesterone caproate,0.7446216344833374
Enzyme_left.csv,title,ferroxidase,Drug_left,title,feprosidnine,0.7445427179336548
Enzyme_left.csv,title,cyclomaltodextrinase,Drug_left,title,cyprodenate,0.7424508333206177
Enzyme_left.csv,title,laccase,Drug_left,title,lactulose,0.7422767877578735
Enzyme_left.csv,title,cortisol o-acetyltransferase,Drug_left,title,cortisol,0.7409255504608154
Enzyme_left.csv,title,fluorinase,Drug_left,title,flucytosine,0.7401630878448486
Enzyme_left.csv,title,acrosin,Drug_left,title,acamprosate,0.7375321388244629
Enzyme_left.csv,title,17beta hydroxysteroid dehydrogenase,Drug_left,title,14-hydroxydihydrocodeine,0.7359233498573303
Enzyme_left.csv,title,imidazolonepropionase,Drug_left,title,econazole/triamcinolone,0.7290889620780945
Enzyme_left.csv,title,guanidinoacetase,Drug_left,title,glycyrrhizin,0.7272075414657593
Enzyme_left.csv,title,allantoin racemase,Drug_left,title,racecadotril,0.7243104577064514
Enzyme_left.csv,title,pappalysin-1,Drug_left,title,pagoclone,0.7211669683456421
Enzyme_left.csv,title,iodotyrosine deiodinase,Drug_left,title,povidone-iodine,0.7207906246185303
Enzyme_left.csv,title,nepenthesin,Drug_left,title,nepinalone,0.720299243927002
Enzyme_left.csv,title,ferrochelatase,Drug_left,title,felbamate,0.7199829816818237
Enzyme_left.csv,title,neutrophil collagenase,Drug_left,title,collagenase clostridium histolyticum,0.7183158993721008
Enzyme_left.csv,title,calpain-3,Drug_left,title,calcipotriol,0.7154877781867981
Enzyme_left.csv,title,xylanase,Drug_left,title,xanthinol,0.7119324207305908
Enzyme_left.csv,title,deoxycytidine deaminase,Drug_left,title,dehydroemetine,0.7089916467666626
Enzyme_left.csv,title,lactate aldolase,Drug_left,title,ethacridine lactate,0.7078609466552734
Enzyme_left.csv,title,acetylenedicarboxylate decarboxylase,Drug_left,title,4-acetoxy-det,0.7051676511764526
Enzyme_left.csv,title,urease,Drug_left,title,ursodiol,0.7025361061096191
Enzyme_left.csv,title,hyaluronan synthase,Drug_left,title,sodium hyaluronate,0.7017275094985962
Enzyme_left.csv,title,acetylene hydratase,Drug_left,title,hydrastine,0.7013545036315918
Enzyme_left.csv,title,cutinase,Drug_left,title,brinase,0.6992388963699341
Enzyme_left.csv,title,sirohydrochlorin ferrochelatase,Drug_left,title,sodium ferric gluconate complex,0.6985018253326416
Enzyme_left.csv,title,theanine hydrolase,Drug_left,title,theanine,0.6933176517486572
Enzyme_left.csv,title,carbamate kinase,Drug_left,title,carbazochrome,0.6919252872467041
Enzyme_left.csv,title,phthalyl amidase,Drug_left,title,phthalylsulfathiazole,0.6902421712875366
Enzyme_left.csv,title,tetrahydrocannabinolic acid synthase,Drug_left,title,tetrahydrocannabivarin,0.6853747367858887
Enzyme_left.csv,title,estradiol 6beta-monooxygenase,Drug_left,title,estradiol undecylate,0.684054434299469
Enzyme_left.csv,title,4-(cytidine 5'-diphospho)-2-c-methyl-d-erythritol kinase,Drug_left,title,c16 (pkr inhibitor),0.6834670305252075
Enzyme_left.csv,title,aminoimidazolase,Drug_left,title,aminometradine,0.6826224327087402
