query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Magazine_left.csv,title,respekt,ArtificialSatellite_right,title,resurs-dk no.1,0.7313268184661865
Magazine_left.csv,title,geo (magazine),ArtificialSatellite_right,title,geotail,0.6965032815933228
Magazine_left.csv,title,vea,ArtificialSatellite_right,title,venera 3mv-1 no.2,0.6835598945617676
Magazine_left.csv,title,monthly dragon age,ArtificialSatellite_right,title,dragon c3,0.6687431931495667
Magazine_left.csv,title,hjemmet,ArtificialSatellite_right,title,hylas,0.6670731902122498
Magazine_left.csv,title,shokun,ArtificialSatellite_right,title,fengyun 2d,0.6666589975357056
Magazine_left.csv,title,kontakto,ArtificialSatellite_right,title,kosmos 605,0.6599664688110352
Magazine_left.csv,title,dtest,ArtificialSatellite_right,title,tdrs-11,0.6571687459945679
Magazine_left.csv,title,suomen kuvalehti,ArtificialSatellite_right,title,uosat-1,0.6438601016998291
Magazine_left.csv,title,znamya,ArtificialSatellite_right,title,ziyuan iii-01,0.6303940415382385
Magazine_left.csv,title,flying models,ArtificialSatellite_right,title,cots demo flight 1,0.6285006999969482
Magazine_left.csv,title,azerbaijan international,ArtificialSatellite_right,title,afghansat 1,0.6259975433349609
Magazine_left.csv,title,warship international,ArtificialSatellite_right,title,seasat,0.6251429319381714
Magazine_left.csv,title,anandamela,ArtificialSatellite_right,title,aditya (satellite),0.6224892735481262
Magazine_left.csv,title,hot press,ArtificialSatellite_right,title,hot bird 13c,0.6176015734672546
Magazine_left.csv,title,zyn!,ArtificialSatellite_right,title,azerspace,0.6126523017883301
Magazine_left.csv,title,granta,ArtificialSatellite_right,title,aida (mission),0.605557918548584
Magazine_left.csv,title,aliqtisadi,ArtificialSatellite_right,title,acrimsat,0.600735604763031
Magazine_left.csv,title,airone,ArtificialSatellite_right,title,ekspress am4,0.5965209007263184
Magazine_left.csv,title,flying (magazine),ArtificialSatellite_right,title,spaceshipone flight 17p,0.5953970551490784
Magazine_left.csv,title,orbit science fiction,ArtificialSatellite_right,title,orion 3,0.5935475826263428
Magazine_left.csv,title,cs4fn,ArtificialSatellite_right,title,dragon c4,0.5925726890563965
Magazine_left.csv,title,okyeame,ArtificialSatellite_right,title,uo-11,0.5893838405609131
Magazine_left.csv,title,quatro rodas,ArtificialSatellite_right,title,abrixas,0.5877858400344849
Magazine_left.csv,title,televi-kun,ArtificialSatellite_right,title,telstar 14,0.5838996171951294
Magazine_left.csv,title,marmnamarz,ArtificialSatellite_right,title,amc-1,0.5811204314231873
Magazine_left.csv,title,unish-kuri,ArtificialSatellite_right,title,uosat-oscar 9,0.5791583061218262
Magazine_left.csv,title,professional pilot magazine,ArtificialSatellite_right,title,cots demo flight 2,0.5778508186340332
Magazine_left.csv,title,nexos,ArtificialSatellite_right,title,nee-01 pegaso,0.5772770643234253
Magazine_left.csv,title,lucire,ArtificialSatellite_right,title,lightsail 2,0.5729745626449585
Magazine_left.csv,title,cromos,ArtificialSatellite_right,title,kosmos 1667,0.5674428343772888
Magazine_left.csv,title,cern courier,ArtificialSatellite_right,title,sentinel-3,0.5671819448471069
Magazine_left.csv,title,memphis sport,ArtificialSatellite_right,title,champ (satellite),0.5630380511283875
Magazine_left.csv,title,solaris (magazine),ArtificialSatellite_right,title,solwind,0.5601644515991211
Magazine_left.csv,title,semana,ArtificialSatellite_right,title,ses-7,0.555007815361023
Magazine_left.csv,title,kittenpants,ArtificialSatellite_right,title,cute-1.7 + apd,0.5453660488128662
Magazine_left.csv,title,radio world,ArtificialSatellite_right,title,eutelsat 117 west a,0.5434269905090332
Magazine_left.csv,title,air & space/smithsonian,ArtificialSatellite_right,title,as-104 (spacecraft),0.5382486581802368
Magazine_left.csv,title,world affairs,ArtificialSatellite_right,title,usa-242,0.5296841859817505
Magazine_left.csv,title,model rocketry (magazine),ArtificialSatellite_right,title,as-103 (spacecraft),0.5209053754806519
Magazine_left.csv,title,ham radio (magazine),ArtificialSatellite_right,title,eutelsat 113 west a,0.5195865035057068
