query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Magazine_left.csv,title,the paris review,Artwork_right,title,la parisienne,0.7695263624191284
Magazine_left.csv,title,revista de libros,Artwork_right,title,la maja vestida,0.7225660085678101
Magazine_left.csv,title,la semaine de suzette,Artwork_right,title,la danse,0.713330864906311
Magazine_left.csv,title,sculpture (magazine),Artwork_right,title,maman (sculpture),0.7121936082839966
Magazine_left.csv,title,forza milan,Artwork_right,title,la fornarina,0.6944724321365356
Magazine_left.csv,title,chess life,Artwork_right,title,the chess players (eakins painting),0.6836731433868408
Magazine_left.csv,title,practical fishkeeping,Artwork_right,title,fishing (carracci),0.6782059669494629
Magazine_left.csv,title,il becco giallo,Artwork_right,title,san giorgio maggiore at dusk,0.6746156811714172
Magazine_left.csv,title,lusso (magazine),Artwork_right,title,blessed ludovica albertoni,0.6697700023651123
Magazine_left.csv,title,beneath ceaseless skies,Artwork_right,title,"south wind, clear sky",0.6584312915802002
Magazine_left.csv,title,self (magazine),Artwork_right,title,self-portrait with a friend,0.6529855728149414
Magazine_left.csv,title,blueboy (magazine),Artwork_right,title,(untitled) blue lady,0.6503496170043945
Magazine_left.csv,title,spendere meglio,Artwork_right,title,madonna of foligno,0.648541271686554
Magazine_left.csv,title,artreview,Artwork_right,title,the art of painting (vermeer),0.6470558047294617
Magazine_left.csv,title,susana (magazine),Artwork_right,title,seated woman,0.6468318700790405
Magazine_left.csv,title,art international,Artwork_right,title,the artist's studio,0.6445399522781372
Magazine_left.csv,title,meatpaper,Artwork_right,title,butcher's shop,0.6432775259017944
Magazine_left.csv,title,nakayoshi,Artwork_right,title,bijin-ga,0.6431565880775452
Magazine_left.csv,title,f1 racing,Artwork_right,title,before the race,0.6407196521759033
Magazine_left.csv,title,moneyweek,Artwork_right,title,the tribute money,0.6407026052474976
Magazine_left.csv,title,peace magazine,Artwork_right,title,non violence,0.6374760866165161
Magazine_left.csv,title,natural bridge (magazine),Artwork_right,title,langlois bridge at arles,0.6316410899162292
Magazine_left.csv,title,le charivari,Artwork_right,title,la danse (bouguereau),0.6309685111045837
Magazine_left.csv,title,restaurant (magazine),Artwork_right,title,cafe gurzuf,0.6303907632827759
Magazine_left.csv,title,politikin zabavnik,Artwork_right,title,alexander pushkin (bourganov),0.6291813850402832
Magazine_left.csv,title,house & garden (magazine),Artwork_right,title,farmhouses among trees,0.6235272288322449
Magazine_left.csv,title,l'ordine nuovo,Artwork_right,title,portrait of a princess (pisanello),0.620509147644043
Magazine_left.csv,title,christianity today,Artwork_right,title,christ falling on the way to calvary,0.6201292872428894
Magazine_left.csv,title,the progressive farmer,Artwork_right,title,the potato harvest,0.618960976600647
Magazine_left.csv,title,stone canoe,Artwork_right,title,barrow (sculpture),0.6185088157653809
Magazine_left.csv,title,la revue du vin de france,Artwork_right,title,les orangers,0.6127050518989563
Magazine_left.csv,title,bbc gardeners' world,Artwork_right,title,flowering orchards,0.6071834564208984
Magazine_left.csv,title,andromeda spaceways inflight magazine,Artwork_right,title,andromeda chained to the rocks,0.6070999503135681
Magazine_left.csv,title,american art review,Artwork_right,title,"portrait of a young woman (vermeer, new york)",0.6057106852531433
Magazine_left.csv,title,st. anthony messenger,Artwork_right,title,the hermit saint,0.6045043468475342
Magazine_left.csv,title,elle decor,Artwork_right,title,portrait of a princess (pisanello),0.6042100191116333
Magazine_left.csv,title,maisonneuve (magazine),Artwork_right,title,the bohemian (bouguereau),0.603363037109375
Magazine_left.csv,title,child (magazine),Artwork_right,title,madonna and child (lippi),0.5987735986709595
Magazine_left.csv,title,oc metro,Artwork_right,title,portlandia,0.596790075302124
Magazine_left.csv,title,sister 2 sister,Artwork_right,title,"the elder sister (bouguereau, 1869)",0.596584677696228
Magazine_left.csv,title,image (magazine),Artwork_right,title,self-portrait with beret and turned-up collar,0.5949015617370605
