query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Magazine_left.csv,title,nexos,ShoppingMall_left,title,nex,0.8862216472625732
Magazine_left.csv,title,metropolis (architecture magazine),ShoppingMall_left,title,metropolis at metrotown,0.7716550827026367
Magazine_left.csv,title,krytyka polityczna,ShoppingMall_left,title,galeria kazimierz,0.7237855195999146
Magazine_left.csv,title,el malpensante,ShoppingMall_left,title,la encantada,0.7177375555038452
Magazine_left.csv,title,acadiana profile,ShoppingMall_left,title,acadiana mall,0.6903433799743652
Magazine_left.csv,title,quattroruote,ShoppingMall_left,title,isquare,0.6867293119430542
Magazine_left.csv,title,the brooklyn rail,ShoppingMall_left,title,avenue carriage crossing,0.6637236475944519
Magazine_left.csv,title,st. louis magazine,ShoppingMall_left,title,st. louis outlet mall,0.655453622341156
Magazine_left.csv,title,sacramento (magazine),ShoppingMall_left,title,downtown plaza (sacramento),0.6533809900283813
Magazine_left.csv,title,moottori,ShoppingMall_left,title,centrio,0.6438218355178833
Magazine_left.csv,title,megatech,ShoppingMall_left,title,megabox (shopping mall),0.6425540447235107
Magazine_left.csv,title,femina (denmark),ShoppingMall_left,title,spinderiet (copenhagen),0.6373891830444336
Magazine_left.csv,title,oc metro,ShoppingMall_left,title,city central,0.6355149745941162
Magazine_left.csv,title,el croquis,ShoppingMall_left,title,el con mall,0.6351873874664307
Magazine_left.csv,title,east week,ShoppingMall_left,title,eastridge,0.6347984671592712
Magazine_left.csv,title,blue water sailing magazine,ShoppingMall_left,title,bluewater (shopping centre),0.634223461151123
Magazine_left.csv,title,urbane magazine,ShoppingMall_left,title,cityplace,0.6262296438217163
Magazine_left.csv,title,squarego,ShoppingMall_left,title,square 2 (shopping mall),0.6238619089126587
Magazine_left.csv,title,revista de libros,ShoppingMall_left,title,centro karingal,0.6194819808006287
Magazine_left.csv,title,mundo estranho,ShoppingMall_left,title,centro taigum,0.6134152412414551
Magazine_left.csv,title,lusso (magazine),ShoppingMall_left,title,centro lutwyche,0.6043947339057922
Magazine_left.csv,title,mosharekat-e melli weekly,ShoppingMall_left,title,mirdif city centre,0.6028389930725098
Magazine_left.csv,title,warship international,ShoppingMall_left,title,"harbor point, subic",0.5991317629814148
Magazine_left.csv,title,anandamela,ShoppingMall_left,title,indian mall,0.597817063331604
Magazine_left.csv,title,phoenix home & garden,ShoppingMall_left,title,cross county plaza,0.5913610458374023
