query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Amphibian_left.csv,title,barygenys atra,BasketballTeam_right,title,bc barsy atyrau,0.7672401666641235
Amphibian_left.csv,title,litoria ollauro,BasketballTeam_right,title,pallacanestro don bosco livorno,0.7376351356506348
Amphibian_left.csv,title,huia aureola,BasketballTeam_right,title,halcones de xalapa,0.7321844696998596
Amphibian_left.csv,title,philautus bunitus,BasketballTeam_right,title,ao pagrati bc,0.7276744842529297
Amphibian_left.csv,title,bokermannohyla izecksohni,BasketballTeam_right,title,kk olimpija,0.710370659828186
Amphibian_left.csv,title,rana lechera comun,BasketballTeam_right,title,muba hangtuah sumatera selatan,0.7071514129638672
Amphibian_left.csv,title,centrolene fernandoi,BasketballTeam_right,title,cb ciudad de algeciras,0.6928960084915161
Amphibian_left.csv,title,philautus zal,BasketballTeam_right,title,piimameister otto/rapla,0.6916247606277466
Amphibian_left.csv,title,banna caecilian,BasketballTeam_right,title,porta xi ensino cbf,0.6822648048400879
Amphibian_left.csv,title,caecilia abitaguae,BasketballTeam_right,title,asseco gdynia,0.6771202683448792
Amphibian_left.csv,title,marojejy mantella,BasketballTeam_right,title,kk vojvodina srbijagas,0.6742081642150879
Amphibian_left.csv,title,rana iriodes,BasketballTeam_right,title,rakvere tarvas,0.671514630317688
Amphibian_left.csv,title,montcellia,BasketballTeam_right,title,tyco rapla,0.6692507266998291
Amphibian_left.csv,title,cherninia,BasketballTeam_right,title,bc cherkasy,0.6671891212463379
Amphibian_left.csv,title,bokermannohyla nanuzae,BasketballTeam_right,title,bnei hasharon,0.6649448275566101
Amphibian_left.csv,title,bokermannohyla ravida,BasketballTeam_right,title,bc budivelnik,0.6639915704727173
Amphibian_left.csv,title,aphantophryne sabini,BasketballTeam_right,title,pelita jaya energi mega persada,0.6635926961898804
Amphibian_left.csv,title,lowland leopard frog,BasketballTeam_right,title,liaoning flying leopards,0.6577458381652832
Amphibian_left.csv,title,charadrahyla chaneque,BasketballTeam_right,title,bc palanga,0.6552429795265198
Amphibian_left.csv,title,tepuihyla rimarum,BasketballTeam_right,title,satria muda pertamina jakarta,0.6492577791213989
Amphibian_left.csv,title,hypsiboas benitezi,BasketballTeam_right,title,nuova amg sebastiani basket rieti,0.6463472843170166
Amphibian_left.csv,title,hyla savignyi,BasketballTeam_right,title,medi bayreuth,0.6433086395263672
Amphibian_left.csv,title,copiula tyleri,BasketballTeam_right,title,gruppo triboldi basket,0.6338624358177185
Amphibian_left.csv,title,triprion petasatus,BasketballTeam_right,title,peramatos ermis b.c.,0.6338516473770142
Amphibian_left.csv,title,bonnacord caecilian,BasketballTeam_right,title,somb boulogne-sur-mer,0.6338287591934204
Amphibian_left.csv,title,cerro pando salamander,BasketballTeam_right,title,toros de nuevo laredo,0.6337300539016724
Amphibian_left.csv,title,achoque de tierra,BasketballTeam_right,title,ca queluz,0.6302448511123657
Amphibian_left.csv,title,shelania,BasketballTeam_right,title,uniqa sopron,0.6284066438674927
Amphibian_left.csv,title,kassina lamottei,BasketballTeam_right,title,kk krka,0.6277163624763489
Amphibian_left.csv,title,oedipina ignea,BasketballTeam_right,title,ionikos lamias bc,0.623564600944519
Amphibian_left.csv,title,bombay caecilian,BasketballTeam_right,title,pacific caesar surabaya,0.6180635094642639
Amphibian_left.csv,title,eodiscoglossus,BasketballTeam_right,title,egaleo bc,0.6166753768920898
Amphibian_left.csv,title,barred tiger salamander,BasketballTeam_right,title,edinburgh tigers,0.6154987812042236
Amphibian_left.csv,title,boophis doulioti,BasketballTeam_right,title,bc naglis,0.6154475212097168
Amphibian_left.csv,title,rhinella,BasketballTeam_right,title,rosasport radom,0.6145278215408325
Amphibian_left.csv,title,scinax boesemani,BasketballTeam_right,title,trabzonspor b.k.,0.6137992143630981
Amphibian_left.csv,title,carrolla,BasketballTeam_right,title,cb tizona,0.6112706661224365
Amphibian_left.csv,title,barygenys flavigularis,BasketballTeam_right,title,athlitikos omilos paleou falirou bc,0.6062566637992859
Amphibian_left.csv,title,scaphiophryne gottlebei,BasketballTeam_right,title,mhp riesen ludwigsburg,0.6051585674285889
Amphibian_left.csv,title,syphonidon,BasketballTeam_right,title,gladiators trier,0.6049098968505859
