query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Amphibian_left.csv,title,metaxygnathus,Drug_right,title,metandienone,0.7815661430358887
Amphibian_left.csv,title,axolotl,Drug_right,title,afegostat,0.7105383276939392
Amphibian_left.csv,title,alexteroon jynx,Drug_right,title,ana773,0.6967433094978333
Amphibian_left.csv,title,estesina,Drug_right,title,apinaca,0.6947493553161621
Amphibian_left.csv,title,philautus zal,Drug_right,title,abaloparatide,0.6943712830543518
Amphibian_left.csv,title,andinobates,Drug_right,title,andexanet alfa,0.6914988160133362
Amphibian_left.csv,title,oxydactyla,Drug_right,title,phenyramidol,0.6850681304931641
Amphibian_left.csv,title,acheloma,Drug_right,title,clazakizumab,0.6715686917304993
Amphibian_left.csv,title,obruchevichthys,Drug_right,title,obinutuzumab,0.6703130006790161
Amphibian_left.csv,title,rana iriodes,Drug_right,title,ledipasvir,0.6685166358947754
Amphibian_left.csv,title,enneabatracus,Drug_right,title,entolimod,0.6637736558914185
Amphibian_left.csv,title,osornophryne puruanta,Drug_right,title,umifenovir,0.6596114635467529
Amphibian_left.csv,title,ixalotriton,Drug_right,title,idalopirdine,0.655576229095459
Amphibian_left.csv,title,lisserpeton,Drug_right,title,lavoltidine,0.6552551984786987
Amphibian_left.csv,title,craugastor charadra,Drug_right,title,rg7795,0.6500361561775208
Amphibian_left.csv,title,erythrobatrachus,Drug_right,title,erbuzole,0.647508978843689
Amphibian_left.csv,title,horezmia,Drug_right,title,homarylamine,0.6471539735794067
Amphibian_left.csv,title,boulengerula uluguruensis,Drug_right,title,bacillus calmette-guã©rin,0.6364656686782837
Amphibian_left.csv,title,phlyctimantis,Drug_right,title,dactinomycin,0.6359792947769165
Amphibian_left.csv,title,mesobatrachia,Drug_right,title,meclinertant,0.63481605052948
Amphibian_left.csv,title,hyalinobatrachium ibama,Drug_right,title,hyoscine hydrobromide,0.6314672231674194
Amphibian_left.csv,title,churamiti,Drug_right,title,mdmai,0.6302132606506348
Amphibian_left.csv,title,charadrahyla chaneque,Drug_right,title,censavudine,0.6301750540733337
Amphibian_left.csv,title,bokermannohyla clepsydra,Drug_right,title,4-bromomethcathinone,0.6294403672218323
Amphibian_left.csv,title,banna caecilian,Drug_right,title,carbaldrate,0.6279107332229614
Amphibian_left.csv,title,hypsiboas rubracylus,Drug_right,title,droxidopa,0.6253579258918762
Amphibian_left.csv,title,capensibufo,Drug_right,title,fabomotizole,0.6252738833427429
Amphibian_left.csv,title,chthonerpeton noctinectes,Drug_right,title,norethisterone enanthate,0.6252295970916748
Amphibian_left.csv,title,chthonerpeton perissodus,Drug_right,title,percodan,0.623499870300293
Amphibian_left.csv,title,craugastor daryi,Drug_right,title,corbadrine,0.6218461394309998
Amphibian_left.csv,title,oreophryne brevirostris,Drug_right,title,elafibranor,0.6209888458251953
Amphibian_left.csv,title,montcellia,Drug_right,title,deleobuvir,0.6200426816940308
Amphibian_left.csv,title,centrolene litorale,Drug_right,title,gestonorone caproate,0.6173525452613831
Amphibian_left.csv,title,ctenophryne minor,Drug_right,title,tenoretic,0.6145511865615845
Amphibian_left.csv,title,diadetognathus,Drug_right,title,dasotraline,0.6108676195144653
Amphibian_left.csv,title,chthonerpeton indistinctum,Drug_right,title,ethinylestradiol,0.6073362827301025
Amphibian_left.csv,title,xenorhina eiponis,Drug_right,title,xyrem,0.6050856113433838
Amphibian_left.csv,title,quacking frog,Drug_right,title,quchic,0.6020342111587524
Amphibian_left.csv,title,liophryne,Drug_right,title,ly-310762,0.6017704010009766
Amphibian_left.csv,title,scinax jolyi,Drug_right,title,vx-809,0.6009259223937988
Amphibian_left.csv,title,urocordylus,Drug_right,title,ursodeoxycholic acid,0.6002151966094971
Amphibian_left.csv,title,centrolene fernandoi,Drug_right,title,periciazine,0.5983688831329346
Amphibian_left.csv,title,bokermannohyla ravida,Drug_right,title,bdpc,0.5966771841049194
Amphibian_left.csv,title,crotaphatrema tchabalmbaboensis,Drug_right,title,crotalidae polyvalent immune fab,0.5940661430358887
Amphibian_left.csv,title,bokermannohyla langei,Drug_right,title,bradanicline,0.5938488245010376
Amphibian_left.csv,title,aphantophryne sabini,Drug_right,title,valsartan/sacubitril,0.5910403728485107
Amphibian_left.csv,title,rana lechera comun,Drug_right,title,asaq,0.5868481397628784
Amphibian_left.csv,title,scinax boesemani,Drug_right,title,sb-204741,0.5835503339767456
Amphibian_left.csv,title,tepuihyla rimarum,Drug_right,title,tm38837,0.5824941396713257
Amphibian_left.csv,title,boophis liami,Drug_right,title,tedizolid,0.582341194152832
Amphibian_left.csv,title,copiula tyleri,Drug_right,title,cp-93129,0.581679105758667
Amphibian_left.csv,title,pseudacris fouquettei,Drug_right,title,perfosfamide,0.5814812183380127
Amphibian_left.csv,title,nototriton abscondens,Drug_right,title,mestranol/noretynodrel,0.575907826423645
Amphibian_left.csv,title,galverpeton,Drug_right,title,gw501516,0.5755906105041504
Amphibian_left.csv,title,potomotyphlus,Drug_right,title,pivhydrazine,0.5750206708908081
Amphibian_left.csv,title,oreophryne monticola,Drug_right,title,doravirine,0.5702224969863892
Amphibian_left.csv,title,piceoerpeton,Drug_right,title,qupic,0.5683815479278564
Amphibian_left.csv,title,saharastega,Drug_right,title,sb-699551,0.5667622089385986
Amphibian_left.csv,title,nyctimystes,Drug_right,title,ly-293284,0.5643545389175415
Amphibian_left.csv,title,bufo kabischi,Drug_right,title,sb-204070,0.5610700845718384
Amphibian_left.csv,title,amolops jaunsari,Drug_right,title,5-meo-amt,0.5605030059814453
Amphibian_left.csv,title,dolichopareias,Drug_right,title,carphenazine,0.5594775676727295
Amphibian_left.csv,title,centrolene prosoblepon,Drug_right,title,valproate,0.559262216091156
Amphibian_left.csv,title,chthonerpeton,Drug_right,title,thiobromadol,0.5587365627288818
Amphibian_left.csv,title,oreophryne minuta,Drug_right,title,methopholine,0.5573700070381165
Amphibian_left.csv,title,pantylus,Drug_right,title,rapastinel,0.5572015047073364
Amphibian_left.csv,title,olm,Drug_right,title,org 12962,0.5569754838943481
Amphibian_left.csv,title,duellmanohyla chamulae,Drug_right,title,cj-033466,0.5568069219589233
Amphibian_left.csv,title,hyalinobatrachium cardiacalyptum,Drug_right,title,hyoscine butylbromide,0.5556132793426514
Amphibian_left.csv,title,ixalotriton parva,Drug_right,title,psi-7977,0.5553056001663208
Amphibian_left.csv,title,diceratosaurus,Drug_right,title,dimethyllysergamide,0.5540565252304077
Amphibian_left.csv,title,syphonidon,Drug_right,title,suloctidil,0.5528995394706726
Amphibian_left.csv,title,philautus,Drug_right,title,politor,0.5523585081100464
Amphibian_left.csv,title,marojejy mantella,Drug_right,title,mn-18,0.5520228147506714
Amphibian_left.csv,title,oreophryne zimmeri,Drug_right,title,meclizine,0.5493888854980469
Amphibian_left.csv,title,probreviceps macrodactylus,Drug_right,title,docusate,0.5491437315940857
Amphibian_left.csv,title,boophis sambirano,Drug_right,title,sb-269970,0.5485871434211731
Amphibian_left.csv,title,scinax chiquitanus,Drug_right,title,zoster vaccine,0.5479495525360107
Amphibian_left.csv,title,scinax ranki,Drug_right,title,gr-113808,0.5467211604118347
Amphibian_left.csv,title,exerodonta,Drug_right,title,enoxolone,0.5460836887359619
Amphibian_left.csv,title,scinax wandae,Drug_right,title,sb-206553,0.5448963642120361
Amphibian_left.csv,title,copiula,Drug_right,title,cp-94253,0.543946385383606
Amphibian_left.csv,title,liophryne rhododactyla,Drug_right,title,hydroxyprogesterone caproate,0.5427747964859009
Amphibian_left.csv,title,sangaia,Drug_right,title,sb-399885,0.5415794849395752
Amphibian_left.csv,title,sauravus,Drug_right,title,ro 04-6790,0.5364509224891663
Amphibian_left.csv,title,cryptotriton,Drug_right,title,quinacrine,0.5361162424087524
Amphibian_left.csv,title,dermophis gracilior,Drug_right,title,gr-127935,0.5359333753585815
Amphibian_left.csv,title,phlyctimantis verrucosus,Drug_right,title,paromomycin sulfate,0.5355648994445801
Amphibian_left.csv,title,laurentophryne parkeri,Drug_right,title,mdv3100,0.535506010055542
Amphibian_left.csv,title,nesovtriton,Drug_right,title,flumist,0.5345166325569153
Amphibian_left.csv,title,xenohyla truncata,Drug_right,title,4-androstenedione,0.5341368913650513
Amphibian_left.csv,title,copiula oxyrhina,Drug_right,title,omecamtiv mecarbil (ck-1827452),0.5316176414489746
Amphibian_left.csv,title,bolitoglossa,Drug_right,title,sb-216641,0.5306082963943481
Amphibian_left.csv,title,oreophryne frontifasciata,Drug_right,title,triflunordazepam,0.52433842420578
Amphibian_left.csv,title,sillerpeton,Drug_right,title,sb-242084,0.5225925445556641
Amphibian_left.csv,title,rana cordofana,Drug_right,title,rs-127445,0.5218823552131653
Amphibian_left.csv,title,rana-ladrona silbadora,Drug_right,title,sb-271046,0.5218034982681274
Amphibian_left.csv,title,bombay caecilian,Drug_right,title,rs-102221,0.5206670761108398
Amphibian_left.csv,title,osornophryne antisana,Drug_right,title,tenofovir alafenamide,0.5205457806587219
