query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Amphibian_left.csv,title,estesina,GivenName_right,title,alessia,0.7924389839172363
Amphibian_left.csv,title,bokermannohyla ravida,GivenName_right,title,bojan,0.7597613334655762
Amphibian_left.csv,title,litoria rostandi,GivenName_right,title,ludovica,0.7590147256851196
Amphibian_left.csv,title,zatrachys,GivenName_right,title,zvonimir,0.7575423717498779
Amphibian_left.csv,title,rana iriodes,GivenName_right,title,ranald,0.7534305453300476
Amphibian_left.csv,title,bombay caecilian,GivenName_right,title,chetan (name),0.739865779876709
Amphibian_left.csv,title,litoria ollauro,GivenName_right,title,ljubica,0.7267355918884277
Amphibian_left.csv,title,bufo kabischi,GivenName_right,title,bauyrzhan,0.7175021171569824
Amphibian_left.csv,title,nesovtriton,GivenName_right,title,navneet,0.7089842557907104
Amphibian_left.csv,title,kassina maculosa,GivenName_right,title,kaede,0.706913411617279
Amphibian_left.csv,title,hyla savignyi,GivenName_right,title,haruna (given name),0.6989277005195618
Amphibian_left.csv,title,parrisia,GivenName_right,title,parvati (given name),0.6970518827438354
Amphibian_left.csv,title,kassina lamottei,GivenName_right,title,kaj,0.6969923973083496
Amphibian_left.csv,title,gastrotheca ochoai,GivenName_right,title,oladapo,0.6969015598297119
Amphibian_left.csv,title,acheloma,GivenName_right,title,aida (name),0.696833610534668
Amphibian_left.csv,title,centrolene fernandoi,GivenName_right,title,lindita (given name),0.6950875520706177
Amphibian_left.csv,title,carrolla,GivenName_right,title,edwina,0.6907418966293335
Amphibian_left.csv,title,huia aureola,GivenName_right,title,hristo,0.6906847953796387
Amphibian_left.csv,title,lisserpeton,GivenName_right,title,laimonis,0.6831973791122437
Amphibian_left.csv,title,ixalotriton parva,GivenName_right,title,indulis,0.6822875738143921
Amphibian_left.csv,title,hyla hallowellii,GivenName_right,title,hannah (name),0.6804708242416382
Amphibian_left.csv,title,philoria pughi,GivenName_right,title,pia (given name),0.6759719848632812
Amphibian_left.csv,title,liophryne,GivenName_right,title,llewellyn (name),0.6729180812835693
Amphibian_left.csv,title,amphiuma,GivenName_right,title,junichi,0.6685104370117188
Amphibian_left.csv,title,rhinella,GivenName_right,title,leonie,0.6679131984710693
Amphibian_left.csv,title,sangaia,GivenName_right,title,sujata (name),0.6675035357475281
Amphibian_left.csv,title,hyla warreni,GivenName_right,title,hayley (given name),0.6649612188339233
Amphibian_left.csv,title,zachaenus,GivenName_right,title,zakiah,0.6637656688690186
Amphibian_left.csv,title,kassina cassinoides,GivenName_right,title,kathryn,0.6632425785064697
Amphibian_left.csv,title,oreophryne zimmeri,GivenName_right,title,ziemowit,0.6631121635437012
Amphibian_left.csv,title,rana cordofana,GivenName_right,title,kalina (name),0.6592771410942078
Amphibian_left.csv,title,charadrahyla chaneque,GivenName_right,title,corinne,0.658900260925293
Amphibian_left.csv,title,saxonerpeton,GivenName_right,title,merwin,0.6550067663192749
Amphibian_left.csv,title,craugastor charadra,GivenName_right,title,cadwallader,0.652805507183075
Amphibian_left.csv,title,axolotl,GivenName_right,title,aileen,0.649535059928894
Amphibian_left.csv,title,bokermannohyla nanuzae,GivenName_right,title,bora (turkish name),0.6495308876037598
Amphibian_left.csv,title,scaphiophryne gottlebei,GivenName_right,title,schuyler (name),0.648163378238678
Amphibian_left.csv,title,bonnacord caecilian,GivenName_right,title,guillaume,0.6478058099746704
Amphibian_left.csv,title,rana lechera comun,GivenName_right,title,dalia (given name),0.6464406847953796
Amphibian_left.csv,title,banna caecilian,GivenName_right,title,banu,0.6459847092628479
Amphibian_left.csv,title,hakuba salamander,GivenName_right,title,harutyun,0.645911693572998
Amphibian_left.csv,title,rana stefania del aprada-tepuy,GivenName_right,title,paulina (given name),0.645452618598938
Amphibian_left.csv,title,aphantophryne sabini,GivenName_right,title,arun (given name),0.6427804231643677
