query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
TelevisionStation_left.csv,title,dd news,Galaxy_right,title,ddo 190,0.7080433368682861
TelevisionStation_left.csv,title,k54js,Galaxy_right,title,rx j1242-11,0.6820358037948608
TelevisionStation_left.csv,title,k33ao,Galaxy_right,title,ddo 169,0.6639893054962158
TelevisionStation_left.csv,title,w67dp,Galaxy_right,title,ms 1512-cb58,0.6474255323410034
TelevisionStation_left.csv,title,tvg2,Galaxy_right,title,gr 8,0.6228184700012207
TelevisionStation_left.csv,title,w39co,Galaxy_right,title,3c 433,0.6154695749282837
TelevisionStation_left.csv,title,k54gl,Galaxy_right,title,ngc 5562,0.5757378339767456
TelevisionStation_left.csv,title,k33cg,Galaxy_right,title,ngc 34,0.5734579563140869
TelevisionStation_left.csv,title,w15cg,Galaxy_right,title,ngc 1265,0.5607351660728455
TelevisionStation_left.csv,title,vtv1,Galaxy_right,title,segue 2,0.5559604167938232
TelevisionStation_left.csv,title,k67hq,Galaxy_right,title,ngc 6872,0.5490632057189941
TelevisionStation_left.csv,title,ary digital network,Galaxy_right,title,arp 302,0.5175048112869263
TelevisionStation_left.csv,title,direct star,Galaxy_right,title,sagittarius dwarf spheroidal galaxy,0.5042334794998169
TelevisionStation_left.csv,title,astro supersport,Galaxy_right,title,ngc 935/ic 1801,0.48942047357559204
TelevisionStation_left.csv,title,star utsav,Galaxy_right,title,carina dwarf spheroidal galaxy,0.4212798774242401
TelevisionStation_left.csv,title,star pravah,Galaxy_right,title,carina dwarf spheroidal galaxy,0.3909691572189331
TelevisionStation_left.csv,title,kpbi-ca,Galaxy_right,title,canis major overdensity,0.3810402750968933
