query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Race_left.csv,title,australian cup,RugbyLeague_left,title,new south wales cup,0.9302027225494385
Race_left.csv,title,geelong cup,RugbyLeague_left,title,queensland cup,0.8772948980331421
Race_left.csv,title,new zealand cup,RugbyLeague_left,title,new zealand national rugby sevens tournament,0.8335500359535217
Race_left.csv,title,australia world cup,RugbyLeague_left,title,foru oceania cup,0.8326297998428345
Race_left.csv,title,launceston cup,RugbyLeague_left,title,lansdowne cup,0.8270053267478943
Race_left.csv,title,premier's cup,RugbyLeague_left,title,championship cup,0.818769097328186
Race_left.csv,title,craven stakes,RugbyLeague_left,title,craven week,0.8158378601074219
Race_left.csv,title,shergar cup,RugbyLeague_left,title,itm cup,0.8141499757766724
Race_left.csv,title,hong kong cup,RugbyLeague_left,title,hong kong sevens,0.8126536011695862
Race_left.csv,title,curragh cup,RugbyLeague_left,title,castlereagh cup,0.803678572177887
Race_left.csv,title,jra cup,RugbyLeague_left,title,siam cup,0.8026125431060791
Race_left.csv,title,hawkesbury gold cup,RugbyLeague_left,title,victoria cup (rugby union),0.8025848865509033
Race_left.csv,title,north america cup,RugbyLeague_left,title,pacific cup,0.8007592558860779
Race_left.csv,title,raffles cup,RugbyLeague_left,title,foundation cup,0.7967343926429749
Race_left.csv,title,ulster derby,RugbyLeague_left,title,lord derby cup,0.7950220108032227
Race_left.csv,title,tattersall's cup,RugbyLeague_left,title,woodbridge cup,0.7911785840988159
Race_left.csv,title,coral cup,RugbyLeague_left,title,yellow sea cup,0.7867000102996826
Race_left.csv,title,hanshin cup,RugbyLeague_left,title,hopetoun cup,0.7865035533905029
Race_left.csv,title,stewards' cup (great britain),RugbyLeague_left,title,british and irish cup,0.7861405611038208
Race_left.csv,title,carlyon cup,RugbyLeague_left,title,harold matthews cup,0.7861068248748779
Race_left.csv,title,racing post trophy,RugbyLeague_left,title,car development trophy,0.7835514545440674
Race_left.csv,title,singapore gold cup,RugbyLeague_left,title,rugby league asian cup,0.7819072008132935
Race_left.csv,title,rowe cup,RugbyLeague_left,title,cyril connell cup,0.7803568840026855
Race_left.csv,title,ian mcewen trophy,RugbyLeague_left,title,james bevan trophy,0.7762749195098877
Race_left.csv,title,queen elizabeth ii commemorative cup,RugbyLeague_left,title,prince william cup,0.7679101824760437
Race_left.csv,title,cathay pacific gold cup,RugbyLeague_left,title,irb pacific nations cup,0.7668131589889526
Race_left.csv,title,tokyo city cup,RugbyLeague_left,title,saru community cup,0.7583000659942627
Race_left.csv,title,zawawi cup,RugbyLeague_left,title,africa cup,0.7575864791870117
Race_left.csv,title,qtc cup,RugbyLeague_left,title,currie cup,0.7550745010375977
Race_left.csv,title,bunbury cup,RugbyLeague_left,title,bulimba cup,0.7547132968902588
Race_left.csv,title,trofeo franco balestra,RugbyLeague_left,title,torneo del oeste,0.7527549266815186
Race_left.csv,title,arkle challenge trophy,RugbyLeague_left,title,peter leitch qsm challenge trophy,0.7493812441825867
Race_left.csv,title,world university cycling championship,RugbyLeague_left,title,national competition,0.7474426627159119
Race_left.csv,title,july cup,RugbyLeague_left,title,elgon cup,0.7453370094299316
Race_left.csv,title,manx trophy,RugbyLeague_left,title,puma trophy,0.7400389909744263
Race_left.csv,title,trofeo laigueglia,RugbyLeague_left,title,torneo del litoral,0.7366338968276978
Race_left.csv,title,doncaster cup,RugbyLeague_left,title,churchill cup,0.7334983944892883
Race_left.csv,title,new zealand derby,RugbyLeague_left,title,australian rugby championship,0.7296656966209412
Race_left.csv,title,fulke walwyn kim muir challenge cup,RugbyLeague_left,title,ron massey cup,0.7272114157676697
Race_left.csv,title,japan cup,RugbyLeague_left,title,all-japan university rugby championship,0.7263234853744507
Race_left.csv,title,premio vittorio di capua,RugbyLeague_left,title,giuseppe garibaldi trophy,0.7245010137557983
Race_left.csv,title,hennessy gold cup,RugbyLeague_left,title,jack gibson cup,0.722933828830719
Race_left.csv,title,glasgow stakes,RugbyLeague_left,title,scotland sevens,0.7223631143569946
Race_left.csv,title,hong kong stewards' cup,RugbyLeague_left,title,s. g. ball cup,0.7204591035842896
Race_left.csv,title,jamaica handicap,RugbyLeague_left,title,jamaica national league,0.7200072407722473
Race_left.csv,title,univest grand prix,RugbyLeague_left,title,sevens grand prix series,0.7161917686462402
Race_left.csv,title,prix foy,RugbyLeague_left,title,coupe falcou,0.7159937620162964
Race_left.csv,title,arabian world cup,RugbyLeague_left,title,kenya cup,0.7115890979766846
Race_left.csv,title,waikato sprint,RugbyLeague_left,title,rugbywa,0.7099764943122864
Race_left.csv,title,british national road race championships,RugbyLeague_left,title,queensland country championships,0.7081854939460754
Race_left.csv,title,vuelta a paraguay,RugbyLeague_left,title,para pan american championship,0.7074931859970093
Race_left.csv,title,monmouth cup,RugbyLeague_left,title,anglo-welsh cup,0.7060461044311523
Race_left.csv,title,gp ctt correios de portugal,RugbyLeague_left,title,nacional de clubes,0.7059370875358582
Race_left.csv,title,istrian spring trophy,RugbyLeague_left,title,harry jepson trophy,0.7059232592582703
Race_left.csv,title,lancashire oaks,RugbyLeague_left,title,north lancashire 2,0.70546555519104
Race_left.csv,title,liverpool city cup,RugbyLeague_left,title,mediterranean cup,0.7002639174461365
Race_left.csv,title,british columbia derby,RugbyLeague_left,title,british columbia rugby league competition,0.6983308792114258
Race_left.csv,title,easter cup,RugbyLeague_left,title,arl schoolboy cup,0.6973578929901123
Race_left.csv,title,prueba villafranca de ordizia,RugbyLeague_left,title,torneo del noroeste,0.6946103572845459
Race_left.csv,title,vuelta a el salvador,RugbyLeague_left,title,punta del este sevens,0.6923308372497559
Race_left.csv,title,junior tour of wales,RugbyLeague_left,title,welsh conference junior league,0.6894435882568359
Race_left.csv,title,essex handicap,RugbyLeague_left,title,essex canterbury jack 1,0.6890746355056763
Race_left.csv,title,highlander stakes,RugbyLeague_left,title,highland alliance league,0.6871824264526367
Race_left.csv,title,midlands grand national,RugbyLeague_left,title,midlands 1 west,0.6853922605514526
Race_left.csv,title,jefferson cup stakes,RugbyLeague_left,title,enterprise cup,0.6853817105293274
Race_left.csv,title,betfred bowl,RugbyLeague_left,title,rugby league european bowl,0.6847168803215027
Race_left.csv,title,deccan derby,RugbyLeague_left,title,calcutta cup,0.6821038126945496
Race_left.csv,title,deutschland tour,RugbyLeague_left,title,german rugby union cup,0.6805367469787598
Race_left.csv,title,arkansas derby,RugbyLeague_left,title,heartland championship,0.6781204342842102
Race_left.csv,title,gran premio polla de potrillos (uruguay),RugbyLeague_left,title,campeonato uruguayo de rugby,0.6758301258087158
Race_left.csv,title,leicestershire stakes,RugbyLeague_left,title,cms yorkshire league,0.675087571144104
Race_left.csv,title,meilen-trophy,RugbyLeague_left,title,dave gallaher trophy,0.6750599145889282
Race_left.csv,title,northumberland plate,RugbyLeague_left,title,durham/northumberland 2,0.6742551326751709
Race_left.csv,title,bet365 gold cup,RugbyLeague_left,title,vodacom cup,0.6712619066238403
Race_left.csv,title,captain cook stakes,RugbyLeague_left,title,cook cup,0.6689135432243347
Race_left.csv,title,prix vanteaux,RugbyLeague_left,title,paul dejean cup,0.6681066155433655
Race_left.csv,title,bayern-rundfahrt,RugbyLeague_left,title,rugby-bundesliga,0.6673260927200317
Race_left.csv,title,brighton derby,RugbyLeague_left,title,cumbria league,0.6653223037719727
Race_left.csv,title,japan cup dirt,RugbyLeague_left,title,mal meninga cup,0.6652626395225525
Race_left.csv,title,gulfstream park sprint championship,RugbyLeague_left,title,irb junior world championship,0.6643171906471252
Race_left.csv,title,sa derby,RugbyLeague_left,title,devon league 2,0.6642128229141235
Race_left.csv,title,new zealand trotting cup,RugbyLeague_left,title,rugby league atlantic cup,0.6632739305496216
Race_left.csv,title,champagne stakes (australia),RugbyLeague_left,title,australian sevens,0.6596938371658325
Race_left.csv,title,south african derby,RugbyLeague_left,title,south africa sevens,0.6587252616882324
Race_left.csv,title,trofeo luis puig,RugbyLeague_left,title,torneo de la urba,0.6583904027938843
Race_left.csv,title,illinois derby,RugbyLeague_left,title,affiliated states championship,0.6564022302627563
Race_left.csv,title,deutsches derby,RugbyLeague_left,title,iwrf european championship,0.6547766327857971
Race_left.csv,title,prix la force,RugbyLeague_left,title,paris sevens,0.6540101766586304
Race_left.csv,title,sussex stakes,RugbyLeague_left,title,sussex canterbury jack intermediate,0.6529051065444946
Race_left.csv,title,kent stakes,RugbyLeague_left,title,surrey 4,0.6513059139251709
Race_left.csv,title,volta a lleida,RugbyLeague_left,title,torneo del interior,0.6506001949310303
Race_left.csv,title,canterbury stakes,RugbyLeague_left,title,gloucester 3,0.6501266360282898
Race_left.csv,title,punchestown gold cup,RugbyLeague_left,title,iwrf americas championship,0.6498621702194214
Race_left.csv,title,dubai sheema classic,RugbyLeague_left,title,irb women's sevens world series,0.6480255722999573
Race_left.csv,title,tour of belgium,RugbyLeague_left,title,belgian elite league,0.6456816792488098
Race_left.csv,title,uci cyclo-cross world cup,RugbyLeague_left,title,fira women's european championship,0.6455289125442505
Race_left.csv,title,north island challenge stakes,RugbyLeague_left,title,north east rugby league,0.6433237195014954
Race_left.csv,title,glenfarclas cross country handicap chase,RugbyLeague_left,title,australian provincial championship,0.6419805288314819
Race_left.csv,title,gran premio d'italia,RugbyLeague_left,title,milan kosanovic cup,0.6398268342018127
Race_left.csv,title,derby italiano,RugbyLeague_left,title,italia rugby football league,0.6371275186538696
Race_left.csv,title,brighton mile,RugbyLeague_left,title,london 1 south,0.63682621717453
Race_left.csv,title,futurity stakes (australia),RugbyLeague_left,title,australian rugby shield,0.6359032988548279
Race_left.csv,title,royal north stakes,RugbyLeague_left,title,north lancashire 1,0.6350948810577393
Race_left.csv,title,presbyterian hospital invitational criterium,RugbyLeague_left,title,rlef euro med challenge,0.6341697573661804
Race_left.csv,title,cootamundra annual classic,RugbyLeague_left,title,blackrock rugby festival,0.6331669688224792
Race_left.csv,title,tobago cycling classic,RugbyLeague_left,title,caribbean women's sevens championship,0.6329703330993652
