query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Museum_left.csv,title,queen victoria museum and art gallery,Artwork_right,title,queen victoria statue,0.7928633689880371
Museum_left.csv,title,vase with white and red carnations,Artwork_right,title,still life: vase with pink roses,0.7440491914749146
Museum_left.csv,title,confederate memorial hall,Artwork_right,title,lincoln monument,0.7356379628181458
Museum_left.csv,title,pio monte della misericordia,Artwork_right,title,polyptych of the misericordia (piero della francesca),0.7200055122375488
Museum_left.csv,title,museo nazionale alinari della fotografia,Artwork_right,title,bust of alessandro peretti di montalto,0.7183884382247925
Museum_left.csv,title,columbus museum,Artwork_right,title,christopher columbus (vittori),0.7164810299873352
Museum_left.csv,title,mus'art gallery,Artwork_right,title,the artist's studio,0.7121192216873169
Museum_left.csv,title,portland art museum,Artwork_right,title,portlandia,0.701715350151062
Museum_left.csv,title,museo nao victoria,Artwork_right,title,gloria victis (sculpture),0.6988043785095215
Museum_left.csv,title,la hougue bie,Artwork_right,title,la danse (bouguereau),0.6890596151351929
Museum_left.csv,title,galleria nazionale d'arte antica,Artwork_right,title,bust of francesco i d'este,0.6872568130493164
Museum_left.csv,title,museum of the risorgimento (milan),Artwork_right,title,bust of francesco barberini,0.678040623664856
Museum_left.csv,title,british museum,Artwork_right,title,"queen victoria statue, bristol",0.6723611950874329
Museum_left.csv,title,jeoldu-san,Artwork_right,title,bijin-ga,0.672128438949585
Museum_left.csv,title,beaumont botanical gardens,Artwork_right,title,garden at sainte-adresse,0.6693058013916016
Museum_left.csv,title,national veterans art museum,Artwork_right,title,james garfield memorial,0.6680719256401062
Museum_left.csv,title,casa buonarroti,Artwork_right,title,la fornarina,0.6657167673110962
Museum_left.csv,title,museum of john paul ii collection,Artwork_right,title,bust of pope paul v,0.6646087169647217
Museum_left.csv,title,young at art museum,Artwork_right,title,"portrait of a young woman (vermeer, new york)",0.6645109057426453
Museum_left.csv,title,palais des beaux-arts de lille,Artwork_right,title,rouen cathedral (monet series),0.658206582069397
Museum_left.csv,title,catacombs of paris,Artwork_right,title,the judgment of paris (rubens),0.6506638526916504
Museum_left.csv,title,oracabessa bay fish sanctuary,Artwork_right,title,fishing (carracci),0.6462920904159546
Museum_left.csv,title,ferens art gallery,Artwork_right,title,the art of painting (vermeer),0.6462848782539368
Museum_left.csv,title,miyanomori art museum,Artwork_right,title,maman (sculpture),0.6454407572746277
Museum_left.csv,title,royal regiment of fusiliers museum (royal warwickshire),Artwork_right,title,28th regiment at quatre bras (painting),0.6451448202133179
Museum_left.csv,title,one street museum,Artwork_right,title,the little street (vermeer),0.6433924436569214
Museum_left.csv,title,municipal art gallery of ioannina,Artwork_right,title,portrait of bindo altoviti,0.6431223750114441
Museum_left.csv,title,glenside museum,Artwork_right,title,the monarch of the glen (painting),0.6421860456466675
Museum_left.csv,title,the grace museum,Artwork_right,title,angel of the resurrection (tiffany studios stained glass window),0.639743447303772
Museum_left.csv,title,roman baths museum,Artwork_right,title,bathsheba at bath,0.6384621858596802
Museum_left.csv,title,museum of contemporary art of rome,Artwork_right,title,portrait of pope julius ii,0.6379907131195068
Museum_left.csv,title,magnes collection of jewish art and life,Artwork_right,title,"adoration of the magi (rubens, cambridge)",0.6374073028564453
Museum_left.csv,title,erarta,Artwork_right,title,la maja vestida,0.6360416412353516
Museum_left.csv,title,albertina,Artwork_right,title,aurora (di suvero),0.6347494125366211
Museum_left.csv,title,museum of american finance,Artwork_right,title,wall street (photograph),0.6339839696884155
Museum_left.csv,title,numismatic museum of athens,Artwork_right,title,hermes (sculpture),0.6302064061164856
Museum_left.csv,title,albertinum,Artwork_right,title,adrianus jacobus zuyderland,0.6282978653907776
Museum_left.csv,title,minnesota museum of american art,Artwork_right,title,iron man (minnesota statue),0.6278880834579468
Museum_left.csv,title,museum of modern and contemporary art of trento and rovereto,Artwork_right,title,"adoration of the magi (bosch, madrid)",0.6268388032913208
Museum_left.csv,title,casa paoli,Artwork_right,title,madonna of foligno,0.6261523365974426
Museum_left.csv,title,moscow design museum,Artwork_right,title,"statue of yuri gagarin, greenwich",0.6259630918502808
Museum_left.csv,title,museu nacional d'art de catalunya,Artwork_right,title,guernica (picasso),0.6239653825759888
Museum_left.csv,title,museo di storia naturale di firenze,Artwork_right,title,pia de' tolomei (rossetti painting),0.6239247918128967
Museum_left.csv,title,whitaker-mcclendon house,Artwork_right,title,"philip jaisohn (washington, dc)",0.6237953901290894
Museum_left.csv,title,new bedford fire museum,Artwork_right,title,fallen firefighters memorial (wu),0.6233961582183838
Museum_left.csv,title,glovertown museum,Artwork_right,title,r. d. whitehead monument,0.6225661039352417
Museum_left.csv,title,rollright stones,Artwork_right,title,eight stone lions,0.620936930179596
Museum_left.csv,title,afif-abad garden,Artwork_right,title,flowering orchards,0.6180333495140076
Museum_left.csv,title,national hellenic museum,Artwork_right,title,aristotle with a bust of homer,0.6170517206192017
Museum_left.csv,title,marshall m. fredericks sculpture museum,Artwork_right,title,the falconer (sculpture),0.6147924661636353
Museum_left.csv,title,oaklawn garden,Artwork_right,title,farmhouses among trees,0.6142473816871643
Museum_left.csv,title,museo dell'olivo e dell'olio,Artwork_right,title,san giorgio maggiore at dusk,0.613603949546814
Museum_left.csv,title,museum of the american revolution,Artwork_right,title,george washington (1785-1792 statue),0.6131834983825684
Museum_left.csv,title,marta,Artwork_right,title,seated woman,0.6125210523605347
Museum_left.csv,title,eiteljorg museum of american indians and western art,Artwork_right,title,sumbanese woman's ceremonial skirt (indianapolis museum of art),0.6124573349952698
Museum_left.csv,title,museo di capodimonte,Artwork_right,title,portrait of a princess (pisanello),0.6121841669082642
Museum_left.csv,title,queen's gallery,Artwork_right,title,portrait of a princess (pisanello),0.6115503311157227
Museum_left.csv,title,bulla regia museum,Artwork_right,title,bust of camilla barbadoni,0.6110516786575317
Museum_left.csv,title,cider museum,Artwork_right,title,"ritual wine server (guang), indianapolis museum of art, 60.43",0.6100422143936157
Museum_left.csv,title,patrick and beatrice haggerty museum of art,Artwork_right,title,april love (painting),0.6072133779525757
Museum_left.csv,title,nutcote,Artwork_right,title,almond blossoms,0.6070244312286377
Museum_left.csv,title,museum of the imperial collections,Artwork_right,title,the archdukes albert and isabella visiting a collector's cabinet,0.6058695912361145
Museum_left.csv,title,louvre-lens,Artwork_right,title,self-portrait (leonardo da vinci),0.6055811643600464
Museum_left.csv,title,mountain homeplace,Artwork_right,title,walking on a mountain path in spring,0.6052048802375793
Museum_left.csv,title,museum of health care,Artwork_right,title,hospital in arles,0.604843258857727
Museum_left.csv,title,uss constitution museum,Artwork_right,title,abraham lincoln (1920 statue),0.6047642230987549
Museum_left.csv,title,rudolph tegner museum,Artwork_right,title,view of delft (vermeer),0.6020407676696777
Museum_left.csv,title,murambi genocide memorial centre,Artwork_right,title,memorial to maria raggi,0.5997792482376099
Museum_left.csv,title,kunsthalle mannheim,Artwork_right,title,portrait of adele bloch-bauer ii,0.5979281663894653
Museum_left.csv,title,wellington tramway museum,Artwork_right,title,portrait of the duke of wellington,0.5967235565185547
Museum_left.csv,title,war of independence museum,Artwork_right,title,declaration of independence (trumbull),0.5959908962249756
Museum_left.csv,title,national portrait gallery (united states),Artwork_right,title,george washington (statue),0.5957637429237366
Museum_left.csv,title,saatchi gallery,Artwork_right,title,portrait of a lady known as smeralda brandini,0.5951212644577026
Museum_left.csv,title,oude kerk,Artwork_right,title,les orangers,0.5930964946746826
Museum_left.csv,title,mausoleum of struggle and martyrdom,Artwork_right,title,martyrdom of saint lawrence,0.5918223857879639
Museum_left.csv,title,sarnath museum,Artwork_right,title,the death of sardanapalus,0.5916971564292908
Museum_left.csv,title,kunsthistorisches museum,Artwork_right,title,"portrait of a young woman (botticelli, frankfurt)",0.5907511711120605
Museum_left.csv,title,museum of the treasure of st. gennaro,Artwork_right,title,saint francis receiving the stigmata (giotto),0.5905577540397644
Museum_left.csv,title,ceredigion museum,Artwork_right,title,statue of pope clement x,0.5895476341247559
Museum_left.csv,title,manchester art gallery,Artwork_right,title,barrow (sculpture),0.5853959321975708
Museum_left.csv,title,museum of fine arts of lyon,Artwork_right,title,la parisienne (hidalgo painting),0.5852369070053101
