query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Case_left.csv,title,hodgson v. minnesota,NationalFootballLeagueSeason_right,title,1996 minnesota fighting pike season,0.5342555046081543
Case_left.csv,title,balzac v. porto rico,NationalFootballLeagueSeason_right,title,2003 fc barcelona dragons season,0.501068651676178
Case_left.csv,title,radovich v. national football league,NationalFootballLeagueSeason_right,title,1914 canton professionals season,0.4746343493461609
Case_left.csv,title,united states v. cleveland indians baseball company,NationalFootballLeagueSeason_right,title,1905 canton athletic club season,0.45700547099113464
Case_left.csv,title,michigan v. bryant,NationalFootballLeagueSeason_right,title,1921 detroit tigers season (nfl),0.44780653715133667
Case_left.csv,title,cbocs west v. humphries,NationalFootballLeagueSeason_right,title,1911 canton professionals season,0.4354615807533264
Case_left.csv,title,sierra club v. morton,NationalFootballLeagueSeason_right,title,1900 homestead library & athletic club football season,0.4296571612358093
Case_left.csv,title,united states v. international boxing club of new york,NationalFootballLeagueSeason_right,title,1913 canton professionals season,0.4227820038795471
Case_left.csv,title,minnesota v. mille lacs band of chippewa indians,NationalFootballLeagueSeason_right,title,1912 canton professionals season,0.40920156240463257
Case_left.csv,title,herrera v. collins,NationalFootballLeagueSeason_right,title,2002 fc barcelona dragons season,0.37214815616607666
