query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
RugbyLeague_left.csv,title,kenya cup,FootballMatch_right,title,2013 kenyan super cup (pre-season),0.8462363481521606
RugbyLeague_left.csv,title,africa cup,FootballMatch_right,title,2009 african championship of nations final,0.8168344497680664
RugbyLeague_left.csv,title,irb sevens world series,FootballMatch_right,title,2006 international rules series,0.7616975903511047
RugbyLeague_left.csv,title,new south wales cup,FootballMatch_right,title,2010â11 w-league grand final,0.7347500324249268
RugbyLeague_left.csv,title,all-ireland league (rugby union),FootballMatch_right,title,2011 all-ireland minor hurling championship,0.7318500280380249
RugbyLeague_left.csv,title,championship cup,FootballMatch_right,title,2011 j.league cup final,0.7192542552947998
RugbyLeague_left.csv,title,british and irish cup,FootballMatch_right,title,shamrock rovers xi v brazil,0.7165514230728149
RugbyLeague_left.csv,title,iwrf asia-oceania championship,FootballMatch_right,title,2006 international rules series,0.7126023769378662
RugbyLeague_left.csv,title,hopetoun cup,FootballMatch_right,title,soccer bowl 2013,0.699496865272522
RugbyLeague_left.csv,title,national provincial championship,FootballMatch_right,title,2012 conference premier play-off final,0.699458658695221
RugbyLeague_left.csv,title,asian sevens series,FootballMatch_right,title,2008 international rules series,0.6981883645057678
RugbyLeague_left.csv,title,foru oceania cup,FootballMatch_right,title,2006 copa indonesia final,0.6972322463989258
RugbyLeague_left.csv,title,serbian rugby league championship,FootballMatch_right,title,2012 albanian supercup,0.688827395439148
RugbyLeague_left.csv,title,tasmanian rugby union,FootballMatch_right,title,1870â71 home nations rugby union matches,0.6791456937789917
RugbyLeague_left.csv,title,german rugby union cup,FootballMatch_right,title,battle of nuremberg (2006 fifa world cup),0.6734193563461304
RugbyLeague_left.csv,title,hungarian extraliga,FootballMatch_right,title,hungary 10â1 el salvador (1982),0.6680245399475098
RugbyLeague_left.csv,title,rugby league conference,FootballMatch_right,title,2008 conference premier play-off final,0.6656777858734131
RugbyLeague_left.csv,title,super league world nines,FootballMatch_right,title,2009 conference premier play-off final,0.6559287309646606
RugbyLeague_left.csv,title,scottish national league (rugby union),FootballMatch_right,title,1871 scotland versus england rugby union match,0.6549954414367676
RugbyLeague_left.csv,title,national division 1,FootballMatch_right,title,2011 conference premier play-off final,0.6528207063674927
