query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
RugbyLeague_left.csv,title,all stars match,RugbyLeague_right,title,all stars match,0.9999999403953552
RugbyLeague_left.csv,title,tongan national rugby league,RugbyLeague_right,title,tonga national rugby league,0.9917908906936646
RugbyLeague_left.csv,title,all-japan university rugby championship,RugbyLeague_right,title,all japan university rugby championship,0.9917002320289612
RugbyLeague_left.csv,title,london and south east merit league,RugbyLeague_right,title,"london, south and east merit league",0.990915834903717
RugbyLeague_left.csv,title,nations cup (women's rugby union),RugbyLeague_right,title,women's nations cup (rugby union),0.9876431226730347
RugbyLeague_left.csv,title,saint patrick's day test,RugbyLeague_right,title,st. patrick's day test,0.9815845489501953
RugbyLeague_left.csv,title,ron coote cup,RugbyLeague_right,title,the ron coote cup,0.9763141870498657
RugbyLeague_left.csv,title,rugby ekstraliga,RugbyLeague_right,title,ekstraliga (rugby),0.9715746641159058
RugbyLeague_left.csv,title,rugby-bundesliga,RugbyLeague_right,title,2. rugby-bundesliga,0.9620966911315918
RugbyLeague_left.csv,title,caribbean women's sevens championship,RugbyLeague_right,title,north america and caribbean women's sevens championship,0.9614575505256653
RugbyLeague_left.csv,title,rugby world cup,RugbyLeague_right,title,world rugby nations cup,0.9564878940582275
RugbyLeague_left.csv,title,pacific rugby cup,RugbyLeague_right,title,world rugby pacific nations cup,0.952286958694458
RugbyLeague_left.csv,title,south american women's sevens championship,RugbyLeague_right,title,south american women's sevens,0.9503438472747803
RugbyLeague_left.csv,title,irb pacific nations cup,RugbyLeague_right,title,pacific nations cup,0.9444222450256348
RugbyLeague_left.csv,title,south premier (rugby league),RugbyLeague_right,title,rugby league conference south premier,0.9434933662414551
RugbyLeague_left.csv,title,nacra women's rugby championship,RugbyLeague_right,title,national women's rugby championship,0.9421209096908569
RugbyLeague_left.csv,title,rugby league charity shield (australia),RugbyLeague_right,title,charity shield (nrl),0.9413802027702332
RugbyLeague_left.csv,title,african women's sevens,RugbyLeague_right,title,african women's sevens championship,0.9387369155883789
RugbyLeague_left.csv,title,north east rugby league,RugbyLeague_right,title,north east rugby league premier division,0.932068943977356
RugbyLeague_left.csv,title,pro 12,RugbyLeague_right,title,pro12,0.9310410022735596
RugbyLeague_left.csv,title,pacific women's sevens championship,RugbyLeague_right,title,oceania women's sevens championship,0.9298173189163208
RugbyLeague_left.csv,title,rugby league asian cup,RugbyLeague_right,title,asian rugby championship,0.9288970828056335
RugbyLeague_left.csv,title,scottish national league (rugby union),RugbyLeague_right,title,scottish premiership (rugby),0.9278008937835693
RugbyLeague_left.csv,title,rugby world cup sevens,RugbyLeague_right,title,world rugby sevens series,0.9253481030464172
RugbyLeague_left.csv,title,rugby league european cup,RugbyLeague_right,title,rugby league european championship c,0.9240069389343262
RugbyLeague_left.csv,title,tom richards trophy,RugbyLeague_right,title,tom richards cup,0.9224592447280884
RugbyLeague_left.csv,title,asian women's sevens,RugbyLeague_right,title,asian women's sevens championship,0.9168367385864258
RugbyLeague_left.csv,title,rugby league conference,RugbyLeague_right,title,rugby league conference london & south division,0.9119013547897339
RugbyLeague_left.csv,title,irb sevens world series,RugbyLeague_right,title,sevens world series,0.9060232639312744
RugbyLeague_left.csv,title,irb junior world rugby trophy,RugbyLeague_right,title,world rugby under 20 trophy,0.9045067429542542
RugbyLeague_left.csv,title,saru community cup,RugbyLeague_right,title,saru gold cup,0.9001474976539612
RugbyLeague_left.csv,title,australian rugby championship,RugbyLeague_right,title,oceania rugby cup,0.8989643454551697
RugbyLeague_left.csv,title,caledonia regional league (rugby union),RugbyLeague_right,title,caledonia regional league,0.8983583450317383
RugbyLeague_left.csv,title,east regional league (rugby union),RugbyLeague_right,title,rugby league conference north east division,0.8916252851486206
RugbyLeague_left.csv,title,rugby-regionalliga,RugbyLeague_right,title,division 1-a rugby,0.8881510496139526
RugbyLeague_left.csv,title,european under-18 rugby union championship,RugbyLeague_right,title,world rugby under 20 championship,0.8757255673408508
RugbyLeague_left.csv,title,irb women's sevens world series,RugbyLeague_right,title,world rugby women's sevens series,0.873113751411438
RugbyLeague_left.csv,title,rugby league atlantic cup,RugbyLeague_right,title,league cup (rugby league),0.8671185970306396
RugbyLeague_left.csv,title,women's rugby world cup,RugbyLeague_right,title,asia rugby women's championship,0.8610188961029053
RugbyLeague_left.csv,title,rugby world cup final,RugbyLeague_right,title,list of rugby world cup finals,0.8579741716384888
RugbyLeague_left.csv,title,the rugby championship,RugbyLeague_right,title,asia rugby championship,0.8577307462692261
RugbyLeague_left.csv,title,championship cup,RugbyLeague_right,title,top league champions cup,0.8551530838012695
RugbyLeague_left.csv,title,rugby league european shield,RugbyLeague_right,title,rugby league european championship b,0.8544732928276062
RugbyLeague_left.csv,title,arl schoolboy cup,RugbyLeague_right,title,gio schoolboy cup,0.8487452268600464
RugbyLeague_left.csv,title,africa cup,RugbyLeague_right,title,african development trophy,0.8457903265953064
RugbyLeague_left.csv,title,rugby league world sevens,RugbyLeague_right,title,world rugby pacific challenge,0.8441845774650574
RugbyLeague_left.csv,title,paris sevens,RugbyLeague_right,title,france sevens,0.8425190448760986
RugbyLeague_left.csv,title,south africa sevens,RugbyLeague_right,title,sri lanka sevens,0.8397741317749023
RugbyLeague_left.csv,title,colonial cup (rugby league),RugbyLeague_right,title,colonial cup,0.8350945711135864
RugbyLeague_left.csv,title,new south wales rugby league premiership,RugbyLeague_right,title,intrust super premiership nsw,0.8109726905822754
RugbyLeague_left.csv,title,new south wales cup,RugbyLeague_right,title,anzac day cup,0.8027873039245605
RugbyLeague_left.csv,title,world club challenge,RugbyLeague_right,title,world club series,0.7839221954345703
RugbyLeague_left.csv,title,queensland cup,RugbyLeague_right,title,bundaberg red cup,0.77220618724823
