query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
ChristianBishop_left.csv,title,charles p. anderson,Wrestler_right,title,c.w. anderson,0.929003119468689
ChristianBishop_left.csv,title,alexander rose,Wrestler_right,title,adam rose,0.8467596769332886
ChristianBishop_left.csv,title,alexander neville,Wrestler_right,title,adrian neville,0.8424238562583923
ChristianBishop_left.csv,title,venedykt aleksiychuk,Wrestler_right,title,oleksandr kolchynskiy,0.827875018119812
ChristianBishop_left.csv,title,anatole milandou,Wrestler_right,title,anatoli beloglazov,0.8219808340072632
ChristianBishop_left.csv,title,bryant wright,Wrestler_right,title,bryant anderson,0.8188503980636597
ChristianBishop_left.csv,title,grzegorz kaszak,Wrestler_right,title,georgi skhirtladze,0.8148883581161499
ChristianBishop_left.csv,title,john wong soo kau,Wrestler_right,title,lee wang-pyo,0.8084729313850403
ChristianBishop_left.csv,title,robert hodson,Wrestler_right,title,robert roode,0.8061001896858215
ChristianBishop_left.csv,title,idris jones,Wrestler_right,title,s.d. jones,0.8036373853683472
ChristianBishop_left.csv,title,francisco mora y borrell,Wrestler_right,title,hombre bala jr.,0.7992317080497742
ChristianBishop_left.csv,title,juan de quevedo,Wrestler_right,title,rayo de jalisco sr.,0.7975027561187744
ChristianBishop_left.csv,title,alexis bachelot,Wrestler_right,title,alexis smirnoff,0.7916285991668701
ChristianBishop_left.csv,title,billy fitchett,Wrestler_right,title,billy wiles,0.7898309230804443
ChristianBishop_left.csv,title,george otto wirz,Wrestler_right,title,george hackenschmidt,0.7883111238479614
ChristianBishop_left.csv,title,charles ridgeway,Wrestler_right,title,charles warrington,0.7839685678482056
ChristianBishop_left.csv,title,john patrick comiskey,Wrestler_right,title,john kinsela,0.7823464274406433
ChristianBishop_left.csv,title,michael heiss,Wrestler_right,title,lawrence heinemi,0.7803851366043091
ChristianBishop_left.csv,title,roger whelpdale,Wrestler_right,title,harvey wippleman,0.7780723571777344
ChristianBishop_left.csv,title,michael angelo saltarelli,Wrestler_right,title,michael brendli,0.777794599533081
ChristianBishop_left.csv,title,brian joseph dunn,Wrestler_right,title,brian christopher,0.7767215967178345
ChristianBishop_left.csv,title,bruce gilberd,Wrestler_right,title,dewayne bruce,0.7765978574752808
ChristianBishop_left.csv,title,yulian voronovskyi,Wrestler_right,title,boris zhukov,0.7751926183700562
ChristianBishop_left.csv,title,joseph john gerry,Wrestler_right,title,"joseph james, jr.",0.7745180130004883
ChristianBishop_left.csv,title,michel pollien,Wrestler_right,title,michel martel,0.771430253982544
ChristianBishop_left.csv,title,michael anthony fleming,Wrestler_right,title,anthony michaels,0.7693395614624023
ChristianBishop_left.csv,title,eric mercer,Wrestler_right,title,tommy mercer,0.7672808766365051
ChristianBishop_left.csv,title,jabez gnanapragasam,Wrestler_right,title,byambajav ulambayaryn,0.7654442191123962
ChristianBishop_left.csv,title,mario alberto molina palma,Wrestler_right,title,gilberto melendez,0.761303186416626
ChristianBishop_left.csv,title,john harewell,Wrestler_right,title,jon moxley,0.7610375881195068
ChristianBishop_left.csv,title,david moxon,Wrestler_right,title,david sierra,0.7608557343482971
ChristianBishop_left.csv,title,nicholas chrysostom matz,Wrestler_right,title,karl istaz,0.7599074840545654
ChristianBishop_left.csv,title,remi rabenirina,Wrestler_right,title,sarona reiher,0.7595986127853394
ChristianBishop_left.csv,title,michael hannan,Wrestler_right,title,michael hutter,0.7593477964401245
ChristianBishop_left.csv,title,creighton jones,Wrestler_right,title,burrhead jones,0.7577086091041565
ChristianBishop_left.csv,title,luis manresa formosa,Wrestler_right,title,emilio charles jr.,0.7576018571853638
ChristianBishop_left.csv,title,fabian bruskewitz,Wrestler_right,title,christopher bauman,0.7571554183959961
ChristianBishop_left.csv,title,roderick wright,Wrestler_right,title,mr. scott wright,0.7569426894187927
ChristianBishop_left.csv,title,nick holtam,Wrestler_right,title,nick aldis,0.7560956478118896
ChristianBishop_left.csv,title,fernando capalla,Wrestler_right,title,hercules ayala,0.755116879940033
ChristianBishop_left.csv,title,edward carman,Wrestler_right,title,eddy creatchman,0.749959409236908
ChristianBishop_left.csv,title,anthony thorold,Wrestler_right,title,anthony norris,0.7498248815536499
ChristianBishop_left.csv,title,gerald nicholas dino,Wrestler_right,title,dino casanova,0.7493386268615723
ChristianBishop_left.csv,title,luis rojas mena,Wrestler_right,title,rayo de jalisco jr.,0.7482024431228638
ChristianBishop_left.csv,title,jaime soto,Wrestler_right,title,el texano jr.,0.7474371790885925
ChristianBishop_left.csv,title,franz justus rarkowski,Wrestler_right,title,jedrek grabowski,0.7472360730171204
ChristianBishop_left.csv,title,matthias von jagow,Wrestler_right,title,kurt von hess,0.7468254566192627
ChristianBishop_left.csv,title,eusebio ramos morales,Wrestler_right,title,perro aguayo jr.,0.7468078136444092
ChristianBishop_left.csv,title,gerard manley hopkins,Wrestler_right,title,brian gerard james,0.7442418336868286
ChristianBishop_left.csv,title,victor guazzelli,Wrestler_right,title,adolfo bermudez,0.7436162233352661
ChristianBishop_left.csv,title,eladio acosta arteaga,Wrestler_right,title,el soberano,0.7434395551681519
ChristianBishop_left.csv,title,david bartleet,Wrestler_right,title,joel deaton,0.7420426607131958
ChristianBishop_left.csv,title,douglas sargent,Wrestler_right,title,chet douglas,0.740502655506134
ChristianBishop_left.csv,title,anthony pilla,Wrestler_right,title,anthony garcia,0.7385433912277222
ChristianBishop_left.csv,title,george henry guilfoyle,Wrestler_right,title,henry o. godwinn,0.7382397651672363
ChristianBishop_left.csv,title,ellinah wamukoya,Wrestler_right,title,kazma sakamoto,0.7349144816398621
ChristianBishop_left.csv,title,james calfhill,Wrestler_right,title,james curtin,0.7342362403869629
ChristianBishop_left.csv,title,john whitgift,Wrestler_right,title,john hugger,0.7327837944030762
ChristianBishop_left.csv,title,alfred (bishop),Wrestler_right,title,lord alfred hayes,0.7301870584487915
ChristianBishop_left.csv,title,anton vovk,Wrestler_right,title,ivan bogdan,0.7283759117126465
ChristianBishop_left.csv,title,roman richard atkielski,Wrestler_right,title,roman dzneladze,0.7268251180648804
ChristianBishop_left.csv,title,peter sugandhar,Wrestler_right,title,gama singh,0.7264362573623657
ChristianBishop_left.csv,title,daniel james gercke,Wrestler_right,title,danny burch,0.7264242768287659
ChristianBishop_left.csv,title,zygmunt zimowski,Wrestler_right,title,boby zavala,0.7263227701187134
ChristianBishop_left.csv,title,rachel treweek,Wrestler_right,title,brooke tessmacher,0.7259665727615356
ChristianBishop_left.csv,title,patrick altham kelly,Wrestler_right,title,pat kenney,0.7247810959815979
ChristianBishop_left.csv,title,aberi balya,Wrestler_right,title,byambajav ulambayar,0.724399209022522
ChristianBishop_left.csv,title,bill ind,Wrestler_right,title,bill dannenhauer,0.7237440943717957
ChristianBishop_left.csv,title,angelo cuniberti,Wrestler_right,title,d'angelo dinero,0.7236663103103638
ChristianBishop_left.csv,title,ng moon hing,Wrestler_right,title,cha kwang-su,0.7234354019165039
ChristianBishop_left.csv,title,aubrey spencer,Wrestler_right,title,taylor wilde,0.7231869697570801
ChristianBishop_left.csv,title,gilbert e. patterson,Wrestler_right,title,thunderbolt patterson,0.721598744392395
ChristianBishop_left.csv,title,michel sabbah,Wrestler_right,title,mohamed paziraie,0.7191715240478516
ChristianBishop_left.csv,title,mark dyer,Wrestler_right,title,mark magnus,0.7189781069755554
ChristianBishop_left.csv,title,heriberto correa yepes,Wrestler_right,title,espanto jr.,0.7188918590545654
ChristianBishop_left.csv,title,george good,Wrestler_right,title,gorgeous george,0.7186402678489685
ChristianBishop_left.csv,title,trevor huddleston,Wrestler_right,title,trevor murdoch,0.7182468175888062
ChristianBishop_left.csv,title,brian burrowes,Wrestler_right,title,brian wohl,0.7174711227416992
ChristianBishop_left.csv,title,christopher lowson,Wrestler_right,title,christopher kindred,0.716356635093689
ChristianBishop_left.csv,title,wolfgang nastainczyk,Wrestler_right,title,eddy dorozowsky,0.716046154499054
ChristianBishop_left.csv,title,marampudi joji,Wrestler_right,title,touru ito,0.7159030437469482
ChristianBishop_left.csv,title,gene robinson,Wrestler_right,title,corporal robinson,0.714873194694519
ChristianBishop_left.csv,title,julian porteous,Wrestler_right,title,alex porteau,0.7129784822463989
ChristianBishop_left.csv,title,clement shaba,Wrestler_right,title,mustafa saed,0.7128312587738037
ChristianBishop_left.csv,title,walter de gray,Wrestler_right,title,oliver grey,0.711993932723999
ChristianBishop_left.csv,title,michael manktelow,Wrestler_right,title,mike polchlopek,0.7118692398071289
ChristianBishop_left.csv,title,toma audo,Wrestler_right,title,donna adamo,0.7095893621444702
ChristianBishop_left.csv,title,andrews thazhath,Wrestler_right,title,jackson andrews,0.709298849105835
ChristianBishop_left.csv,title,kevin vann,Wrestler_right,title,kevin thorn,0.7076171040534973
