query_table,query_column,candidate_table,candidate_column,similarity_score
Amphibian_left.csv,title,Amphibian_right.csv,title,0.879664
Amphibian_left.csv,title,Reptile_right.csv,title,0.864282
Amphibian_left.csv,title,Reptile_left.csv,title,0.834864
Amphibian_left.csv,title,Monarch_left.csv,title,0.559400
Amphibian_left.csv,title,Drug_right.csv,title,0.557530
Amphibian_left.csv,title,Galaxy_left.csv,title,0.557090
Amphibian_left.csv,title,GivenName_left.csv,title,0.543858
Amphibian_left.csv,title,GivenName_right.csv,title,0.543616
Amphibian_left.csv,title,NCAATeamSeason_right.csv,title,0.538093
Amphibian_left.csv,title,ArtificialSatellite_left.csv,title,0.533006
Amphibian_left.csv,title,NaturalEvent_left.csv,title,0.530841
Amphibian_left.csv,title,Drug_left.csv,title,0.527045
Amphibian_left.csv,title,GovernmentAgency_left.csv,title,0.525061
Amphibian_left.csv,title,Enzyme_right.csv,title,0.524013
Amphibian_left.csv,title,NCAATeamSeason_left.csv,title,0.524007
Amphibian_left.csv,title,Device_right.csv,title,0.512556
Amphibian_left.csv,title,MotorsportSeason_left.csv,title,0.506289
Amphibian_left.csv,title,Race_right.csv,title,0.503012
Amphibian_left.csv,title,ArtificialSatellite_right.csv,title,0.502563
Amphibian_left.csv,title,Tournament_left.csv,title,0.497922
Amphibian_left.csv,title,Award_right.csv,title,0.496762
Amphibian_left.csv,title,SoccerTournament_left.csv,title,0.495053
Amphibian_left.csv,title,Case_left.csv,title,0.488602
Amphibian_left.csv,title,Device_left.csv,title,0.481040
Amphibian_left.csv,title,UnitOfWork_left.csv,title,0.480659
Amphibian_left.csv,title,Race_left.csv,title,0.478509
Amphibian_left.csv,title,TennisTournament_right.csv,title,0.477884
Amphibian_left.csv,title,Country_left.csv,title,0.476716
Amphibian_left.csv,title,Election_right.csv,title,0.476154
Amphibian_left.csv,title,Noble_left.csv,title,0.475850
Amphibian_left.csv,title,Noble_right.csv,title,0.473441
Amphibian_left.csv,title,SoccerClubSeason_right.csv,title,0.473153
Amphibian_left.csv,title,RailwayLine_right.csv,title,0.472829
Amphibian_left.csv,title,Election_left.csv,title,0.470711
Amphibian_left.csv,title,Enzyme_left.csv,title,0.465773
Amphibian_left.csv,title,Galaxy_right.csv,title,0.465656
Amphibian_left.csv,title,RailwayLine_left.csv,title,0.461993
Amphibian_left.csv,title,MemberOfParliament_right.csv,title,0.459136
Amphibian_left.csv,title,MotorsportSeason_right.csv,title,0.455492
Amphibian_left.csv,title,NaturalEvent_right.csv,title,0.447584
Amphibian_left.csv,title,TennisTournament_left.csv,title,0.446945
Amphibian_left.csv,title,Monarch_right.csv,title,0.442882
Amphibian_left.csv,title,Tournament_right.csv,title,0.442714
Amphibian_left.csv,title,Legislature_right.csv,title,0.439151
Amphibian_left.csv,title,EthnicGroup_right.csv,title,0.436035
Amphibian_left.csv,title,Legislature_left.csv,title,0.435076
Amphibian_left.csv,title,GovernmentAgency_right.csv,title,0.434121
Amphibian_left.csv,title,MemberOfParliament_left.csv,title,0.432876
Amphibian_left.csv,title,FootballLeagueSeason_right.csv,title,0.432685
Amphibian_right.csv,title,Amphibian_left.csv,title,0.879664
Amphibian_right.csv,title,Reptile_right.csv,title,0.858427
Amphibian_right.csv,title,Reptile_left.csv,title,0.841627
Amphibian_right.csv,title,NCAATeamSeason_right.csv,title,0.577721
Amphibian_right.csv,title,NCAATeamSeason_left.csv,title,0.571698
Amphibian_right.csv,title,NaturalEvent_left.csv,title,0.564994
Amphibian_right.csv,title,GivenName_right.csv,title,0.547479
Amphibian_right.csv,title,Race_right.csv,title,0.537933
Amphibian_right.csv,title,GivenName_left.csv,title,0.525315
Amphibian_right.csv,title,Tournament_left.csv,title,0.514869
Amphibian_right.csv,title,GovernmentAgency_left.csv,title,0.513296
Amphibian_right.csv,title,MotorsportSeason_left.csv,title,0.510952
Amphibian_right.csv,title,Case_left.csv,title,0.509418
Amphibian_right.csv,title,Device_right.csv,title,0.509184
Amphibian_right.csv,title,RailwayLine_right.csv,title,0.507550
Amphibian_right.csv,title,ArtificialSatellite_left.csv,title,0.506837
Amphibian_right.csv,title,SoccerClubSeason_right.csv,title,0.504584
Amphibian_right.csv,title,Galaxy_left.csv,title,0.504507
Amphibian_right.csv,title,Election_left.csv,title,0.502794
Amphibian_right.csv,title,Race_left.csv,title,0.502236
Amphibian_right.csv,title,SoccerTournament_left.csv,title,0.500237
Amphibian_right.csv,title,UnitOfWork_left.csv,title,0.499891
Amphibian_right.csv,title,RailwayLine_left.csv,title,0.496969
Amphibian_right.csv,title,Device_left.csv,title,0.495387
Amphibian_right.csv,title,Monarch_left.csv,title,0.494323
Amphibian_right.csv,title,Election_right.csv,title,0.492112
Amphibian_right.csv,title,NaturalEvent_right.csv,title,0.487317
Amphibian_right.csv,title,TennisTournament_right.csv,title,0.483563
Amphibian_right.csv,title,ShoppingMall_right.csv,title,0.473007
Amphibian_right.csv,title,ArtificialSatellite_right.csv,title,0.470256
Amphibian_right.csv,title,Award_right.csv,title,0.470231
Amphibian_right.csv,title,TennisTournament_left.csv,title,0.468319
Amphibian_right.csv,title,NationalFootballLeagueSeason_left.csv,title,0.454223
Amphibian_right.csv,title,ShoppingMall_left.csv,title,0.450436
Amphibian_right.csv,title,Wrestler_left.csv,title,0.450140
Amphibian_right.csv,title,Noble_right.csv,title,0.449154
Amphibian_right.csv,title,MemberOfParliament_right.csv,title,0.449068
Amphibian_right.csv,title,Tournament_right.csv,title,0.448224
Amphibian_right.csv,title,SoccerClubSeason_left.csv,title,0.447138
Amphibian_right.csv,title,Legislature_right.csv,title,0.443203
Amphibian_right.csv,title,FootballLeagueSeason_left.csv,title,0.442820
Amphibian_right.csv,title,Noble_left.csv,title,0.441579
Amphibian_right.csv,title,SportsLeague_left.csv,title,0.441403
Amphibian_right.csv,title,MotorsportSeason_right.csv,title,0.437812
Amphibian_right.csv,title,Song_left.csv,title,0.437563
Amphibian_right.csv,title,Museum_left.csv,title,0.435040
Amphibian_right.csv,title,Drug_left.csv,title,0.434524
Amphibian_right.csv,title,Artwork_left.csv,title,0.434455
Amphibian_right.csv,title,Enzyme_right.csv,title,0.431306
ArtificialSatellite_left.csv,title,ArtificialSatellite_right.csv,title,0.859556
ArtificialSatellite_left.csv,title,Galaxy_left.csv,title,0.745158
ArtificialSatellite_left.csv,title,Device_left.csv,title,0.733058
ArtificialSatellite_left.csv,title,Device_right.csv,title,0.729118
ArtificialSatellite_left.csv,title,Galaxy_right.csv,title,0.687988
ArtificialSatellite_left.csv,title,NaturalEvent_left.csv,title,0.661905
ArtificialSatellite_left.csv,title,GivenName_left.csv,title,0.641848
ArtificialSatellite_left.csv,title,MotorsportSeason_left.csv,title,0.607618
ArtificialSatellite_left.csv,title,NaturalEvent_right.csv,title,0.605983
ArtificialSatellite_left.csv,title,GivenName_right.csv,title,0.602483
ArtificialSatellite_left.csv,title,GovernmentAgency_left.csv,title,0.597900
ArtificialSatellite_left.csv,title,Tournament_left.csv,title,0.587153
ArtificialSatellite_left.csv,title,RailwayLine_right.csv,title,0.584145
ArtificialSatellite_left.csv,title,SoccerTournament_left.csv,title,0.583262
ArtificialSatellite_left.csv,title,RailwayLine_left.csv,title,0.582048
ArtificialSatellite_left.csv,title,Country_left.csv,title,0.580832
ArtificialSatellite_left.csv,title,NCAATeamSeason_right.csv,title,0.577771
ArtificialSatellite_left.csv,title,GovernmentAgency_right.csv,title,0.573449
ArtificialSatellite_left.csv,title,Magazine_left.csv,title,0.568304
ArtificialSatellite_left.csv,title,MotorsportSeason_right.csv,title,0.563661
ArtificialSatellite_left.csv,title,Election_right.csv,title,0.558904
ArtificialSatellite_left.csv,title,Monarch_left.csv,title,0.558601
ArtificialSatellite_left.csv,title,Tournament_right.csv,title,0.556716
ArtificialSatellite_left.csv,title,Award_right.csv,title,0.556633
ArtificialSatellite_left.csv,title,SoccerClubSeason_right.csv,title,0.550996
ArtificialSatellite_left.csv,title,Reptile_right.csv,title,0.547242
ArtificialSatellite_left.csv,title,TennisTournament_right.csv,title,0.542750
ArtificialSatellite_left.csv,title,ShoppingMall_right.csv,title,0.542490
ArtificialSatellite_left.csv,title,ShoppingMall_left.csv,title,0.539542
ArtificialSatellite_left.csv,title,NCAATeamSeason_left.csv,title,0.539431
ArtificialSatellite_left.csv,title,Case_left.csv,title,0.534759
ArtificialSatellite_left.csv,title,Amphibian_left.csv,title,0.533006
ArtificialSatellite_left.csv,title,Monarch_right.csv,title,0.532982
ArtificialSatellite_left.csv,title,Race_left.csv,title,0.528789
ArtificialSatellite_left.csv,title,MemberOfParliament_left.csv,title,0.528012
ArtificialSatellite_left.csv,title,TennisTournament_left.csv,title,0.525292
ArtificialSatellite_left.csv,title,UnitOfWork_left.csv,title,0.522885
ArtificialSatellite_left.csv,title,Artwork_left.csv,title,0.515725
ArtificialSatellite_left.csv,title,Drug_left.csv,title,0.511585
ArtificialSatellite_left.csv,title,Song_right.csv,title,0.510745
ArtificialSatellite_left.csv,title,Museum_left.csv,title,0.510354
ArtificialSatellite_left.csv,title,Reptile_left.csv,title,0.508859
ArtificialSatellite_left.csv,title,Legislature_right.csv,title,0.507889
ArtificialSatellite_left.csv,title,Magazine_right.csv,title,0.507075
ArtificialSatellite_left.csv,title,Amphibian_right.csv,title,0.506837
ArtificialSatellite_left.csv,title,MemberOfParliament_right.csv,title,0.506413
ArtificialSatellite_left.csv,title,Museum_right.csv,title,0.504535
ArtificialSatellite_left.csv,title,Race_right.csv,title,0.503883
ArtificialSatellite_left.csv,title,Legislature_left.csv,title,0.503598
ArtificialSatellite_right.csv,title,ArtificialSatellite_left.csv,title,0.859556
ArtificialSatellite_right.csv,title,Galaxy_right.csv,title,0.729826
ArtificialSatellite_right.csv,title,Galaxy_left.csv,title,0.719513
ArtificialSatellite_right.csv,title,Device_right.csv,title,0.662796
ArtificialSatellite_right.csv,title,Device_left.csv,title,0.645059
ArtificialSatellite_right.csv,title,NaturalEvent_left.csv,title,0.630155
ArtificialSatellite_right.csv,title,NaturalEvent_right.csv,title,0.625680
ArtificialSatellite_right.csv,title,GovernmentAgency_right.csv,title,0.611852
ArtificialSatellite_right.csv,title,RailwayLine_left.csv,title,0.569178
ArtificialSatellite_right.csv,title,Magazine_left.csv,title,0.559919
ArtificialSatellite_right.csv,title,RailwayLine_right.csv,title,0.557913
ArtificialSatellite_right.csv,title,GovernmentAgency_left.csv,title,0.548736
ArtificialSatellite_right.csv,title,MotorsportSeason_left.csv,title,0.547963
ArtificialSatellite_right.csv,title,Award_right.csv,title,0.547543
ArtificialSatellite_right.csv,title,Country_left.csv,title,0.535934
ArtificialSatellite_right.csv,title,SoccerClubSeason_right.csv,title,0.530822
ArtificialSatellite_right.csv,title,Election_right.csv,title,0.530224
ArtificialSatellite_right.csv,title,SoccerTournament_left.csv,title,0.529547
ArtificialSatellite_right.csv,title,GivenName_right.csv,title,0.526886
ArtificialSatellite_right.csv,title,Tournament_left.csv,title,0.524874
ArtificialSatellite_right.csv,title,Monarch_left.csv,title,0.523169
ArtificialSatellite_right.csv,title,GivenName_left.csv,title,0.520025
ArtificialSatellite_right.csv,title,MotorsportSeason_right.csv,title,0.508256
ArtificialSatellite_right.csv,title,Amphibian_left.csv,title,0.502563
ArtificialSatellite_right.csv,title,Reptile_right.csv,title,0.501969
ArtificialSatellite_right.csv,title,TennisTournament_right.csv,title,0.495108
ArtificialSatellite_right.csv,title,Legislature_right.csv,title,0.494064
ArtificialSatellite_right.csv,title,TelevisionStation_right.csv,title,0.488948
ArtificialSatellite_right.csv,title,Tournament_right.csv,title,0.488110
ArtificialSatellite_right.csv,title,Drug_left.csv,title,0.487844
ArtificialSatellite_right.csv,title,TennisTournament_left.csv,title,0.486275
ArtificialSatellite_right.csv,title,TelevisionStation_left.csv,title,0.480760
ArtificialSatellite_right.csv,title,Reptile_left.csv,title,0.477344
ArtificialSatellite_right.csv,title,FootballLeagueSeason_right.csv,title,0.471036
ArtificialSatellite_right.csv,title,MemberOfParliament_left.csv,title,0.470515
ArtificialSatellite_right.csv,title,Amphibian_right.csv,title,0.470256
ArtificialSatellite_right.csv,title,NCAATeamSeason_right.csv,title,0.469794
ArtificialSatellite_right.csv,title,Museum_left.csv,title,0.469199
ArtificialSatellite_right.csv,title,Election_left.csv,title,0.457159
ArtificialSatellite_right.csv,title,Monarch_right.csv,title,0.457131
ArtificialSatellite_right.csv,title,Legislature_left.csv,title,0.452679
ArtificialSatellite_right.csv,title,Song_left.csv,title,0.451465
ArtificialSatellite_right.csv,title,Case_left.csv,title,0.450296
ArtificialSatellite_right.csv,title,UnitOfWork_left.csv,title,0.449675
ArtificialSatellite_right.csv,title,Museum_right.csv,title,0.446619
ArtificialSatellite_right.csv,title,NCAATeamSeason_left.csv,title,0.445763
ArtificialSatellite_right.csv,title,Magazine_right.csv,title,0.444678
ArtificialSatellite_right.csv,title,ShoppingMall_left.csv,title,0.443891
ArtificialSatellite_right.csv,title,Song_right.csv,title,0.442038
Artwork_left.csv,title,Artwork_right.csv,title,0.763190
Artwork_left.csv,title,Song_right.csv,title,0.701254
Artwork_left.csv,title,Magazine_right.csv,title,0.662450
Artwork_left.csv,title,HistoricBuilding_left.csv,title,0.648903
Artwork_left.csv,title,ChristianBishop_left.csv,title,0.633319
Artwork_left.csv,title,Museum_left.csv,title,0.617893
Artwork_left.csv,title,Museum_right.csv,title,0.609914
Artwork_left.csv,title,Song_left.csv,title,0.607011
Artwork_left.csv,title,GivenName_left.csv,title,0.606470
Artwork_left.csv,title,GivenName_right.csv,title,0.605713
Artwork_left.csv,title,Noble_left.csv,title,0.599215
Artwork_left.csv,title,Magazine_left.csv,title,0.593482
Artwork_left.csv,title,ShoppingMall_right.csv,title,0.559584
Artwork_left.csv,title,Device_right.csv,title,0.558342
Artwork_left.csv,title,Noble_right.csv,title,0.556216
Artwork_left.csv,title,GovernmentAgency_left.csv,title,0.554523
Artwork_left.csv,title,Venue_left.csv,title,0.551938
Artwork_left.csv,title,ShoppingMall_left.csv,title,0.548653
Artwork_left.csv,title,Award_left.csv,title,0.547909
Artwork_left.csv,title,ChristianBishop_right.csv,title,0.546962
Artwork_left.csv,title,Device_left.csv,title,0.543166
Artwork_left.csv,title,Election_left.csv,title,0.532194
Artwork_left.csv,title,Tournament_left.csv,title,0.530647
Artwork_left.csv,title,UnitOfWork_left.csv,title,0.522295
Artwork_left.csv,title,ArtificialSatellite_left.csv,title,0.515725
Artwork_left.csv,title,Race_left.csv,title,0.511764
Artwork_left.csv,title,Election_right.csv,title,0.511186
Artwork_left.csv,title,HistoricBuilding_right.csv,title,0.508086
Artwork_left.csv,title,Case_left.csv,title,0.504096
Artwork_left.csv,title,Award_right.csv,title,0.503964
Artwork_left.csv,title,MemberOfParliament_right.csv,title,0.502033
Artwork_left.csv,title,Legislature_left.csv,title,0.500432
Artwork_left.csv,title,Monarch_right.csv,title,0.496833
Artwork_left.csv,title,Tournament_right.csv,title,0.492928
Artwork_left.csv,title,Race_right.csv,title,0.484803
Artwork_left.csv,title,SportsLeague_left.csv,title,0.481695
Artwork_left.csv,title,EthnicGroup_right.csv,title,0.481095
Artwork_left.csv,title,TelevisionStation_left.csv,title,0.480638
Artwork_left.csv,title,MemberOfParliament_left.csv,title,0.478870
Artwork_left.csv,title,RailwayLine_right.csv,title,0.475732
Artwork_left.csv,title,Monarch_left.csv,title,0.475648
Artwork_left.csv,title,Wrestler_left.csv,title,0.473737
Artwork_left.csv,title,SoccerTournament_left.csv,title,0.473003
Artwork_left.csv,title,TennisTournament_left.csv,title,0.464930
Artwork_left.csv,title,Case_right.csv,title,0.464591
Artwork_left.csv,title,UnitOfWork_right.csv,title,0.464591
Artwork_left.csv,title,Reptile_right.csv,title,0.463202
Artwork_left.csv,title,RailwayLine_left.csv,title,0.456655
Artwork_left.csv,title,ClericalAdministrativeRegion_left.csv,title,0.453740
Artwork_right.csv,title,Artwork_left.csv,title,0.763190
Artwork_right.csv,title,HistoricBuilding_left.csv,title,0.626032
Artwork_right.csv,title,Noble_left.csv,title,0.609382
Artwork_right.csv,title,ChristianBishop_left.csv,title,0.603252
Artwork_right.csv,title,ChristianBishop_right.csv,title,0.561797
Artwork_right.csv,title,Song_right.csv,title,0.545040
Artwork_right.csv,title,Noble_right.csv,title,0.512063
Artwork_right.csv,title,HistoricBuilding_right.csv,title,0.507494
Artwork_right.csv,title,GivenName_left.csv,title,0.506040
Artwork_right.csv,title,GivenName_right.csv,title,0.493223
Artwork_right.csv,title,Museum_left.csv,title,0.490686
Artwork_right.csv,title,Venue_left.csv,title,0.487053
Artwork_right.csv,title,Museum_right.csv,title,0.471292
Artwork_right.csv,title,Magazine_left.csv,title,0.469495
Artwork_right.csv,title,Magazine_right.csv,title,0.468591
Artwork_right.csv,title,ShoppingMall_left.csv,title,0.448146
Artwork_right.csv,title,Race_left.csv,title,0.447763
Artwork_right.csv,title,Monarch_right.csv,title,0.444712
Artwork_right.csv,title,ClericalAdministrativeRegion_left.csv,title,0.441932
Artwork_right.csv,title,ShoppingMall_right.csv,title,0.433725
Artwork_right.csv,title,Song_left.csv,title,0.413598
