candidate_table,candidate_column,similarity_score
Award_right,title,0.5743314027786255
Award_left,title,0.5510749816894531
target_009087,title,0.5219181180000305
target_027638,title,0.5046213865280151
target_040364,title,0.5042462348937988
target_067424,title,0.5024126172065735
target_056966,title,0.5001155138015747
target_066408,title,0.49096354842185974
target_082991,title,0.49089816212654114
target_062109,title,0.49020278453826904
target_014158,title,0.4900827407836914
target_076555,title,0.4893052577972412
target_003464,title,0.485792875289917
target_088479,title,0.485792875289917
target_097324,title,0.485792875289917
target_095203,title,0.483846515417099
target_095123,title,0.483846515417099
target_036943,title,0.483846515417099
target_006287,title,0.48353075981140137
target_041339,title,0.48306888341903687
target_041678,title,0.47874295711517334
target_086323,title,0.4784473478794098
target_077295,title,0.4771113097667694
target_001553,title,0.47632551193237305
target_029197,title,0.47632551193237305
target_018255,title,0.47632551193237305
target_018077,title,0.47632551193237305
target_005627,title,0.47510188817977905
target_023032,title,0.47263503074645996
target_046514,title,0.47223812341690063
target_076131,title,0.47209084033966064
target_035702,title,0.4717468023300171
target_053453,title,0.47171732783317566
target_038847,title,0.47171729803085327
target_095907,title,0.471610426902771
target_055016,title,0.471602201461792
target_029169,title,0.47149381041526794
target_092672,title,0.4713384509086609
target_049489,title,0.4712582528591156
target_066410,title,0.4709300994873047
target_063883,title,0.4707907736301422
target_056428,title,0.47078683972358704
target_078089,title,0.47054922580718994
target_065014,title,0.47038543224334717
target_097628,title,0.47026705741882324
target_066774,title,0.4702410399913788
target_018659,title,0.4701491892337799
target_020067,title,0.47007447481155396
target_077926,title,0.4700136184692383
target_013885,title,0.4698761999607086
